IUPAC,CAA 0.1ug/ml,CAA 1ug/ml,CAA 10ug/ml,CAA 100ug/ml
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp9,6.749976994034865,1.9106106275219976,3.610528664429452,4.353452912344398
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,9.372379313128905,4.0885052096293935,3.4993697889762965,4.4231002192089965
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,12.526011609812846,2.412749312851767,18.405290733803504,58.30762562772132
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp0,19.238092824827167,5.364064183915649,10.231920007831699,8.378416673164846
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp8,2.493924523550501,3.5787445405709932,4.169014365130768,2.2083857068003323
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,1.3642264755775195,1.5206096683019394,4.075255924376614,4.0452896892558865
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,7.522795814666692,10.078346416079377,11.683712246934473,1.4952595995344689
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,9.329275190629764,6.017291135275624,12.567149918570767,8.463246015172508
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,5.235759036344848,11.681424863289006,3.2981442391896687,6.897841948993605
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,2.4101261398524367,3.899430393446375,1.616972129990702,8.300854752975741
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,9.351130690768539,5.237051996034283,0.9869243550039676,23.15576250043748
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp0,7.209891101119344,9.089823057087893,3.528165155809268,3.1010955075048314
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp8,4.893322127399749,1.528654822602752,3.094388896454352,12.759947633480596
Fuc(a1-2)Gal(b1-4)Glc(b1-Sp0,2.916878821045997,12.579430428150024,2.9773929250268547,10.862816018379707
Fuc(a1-2)Gal(b1-Sp8,40.815196529673024,4.4128889799276285,6.386955737282047,25.434472268819214
Fuc(a1-3)GlcNAc(b1-Sp8,6.050964962370322,3.4020759107491982,9.743196368877106,3.6688374102023102
Fuc(a1-4)GlcNAc(b1-Sp8,14.283970779746616,2.091350278926672,6.2813071638526585,29.2017431299352
Fuc(b1-3)GlcNAc(b1-Sp8,4.9523447546759725,4.997924934326909,9.40053616431885,10.115171924885896
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,14.232228613725026,1.3961018405426808,2.4460167938575865,12.682496038503912
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,12.111413956642995,5.5322253149915515,9.220721044609332,4.342580508177129
(3S)Gal(b1-4)[Fuc(a1-3)]Glc(b1-Sp0,5.7704087281578245,3.5195925288542522,6.663679740703832,5.820044187904983
