IUPAC,BPL (1ug/ml),BPL (10ug/ml),BPL (100ug/ml)
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,5.014025000000004,11.958800000000005,24.99615000000001
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,11.345249999999998,-3.0898000000000003,-1.7740999999999991
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(a1-Sp0,6.522100000000003,2.498900000000001,11.442424999999998
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,2.049624999999999,5.6576499999999985,3.794974999999996
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,12.508974999999998,5.548724999999999,3.386524999999999
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,14.123874999999998,34.2699,24.573525
Gal(a1-4)[Gal(a1-3)]Gal(b1-4)GlcNAc(b1-Sp8,9.227525000000004,-0.908875,13.328025
Gal(a1-3)GalNAc(a1-Sp8,35.748725,20.42395,20.5821
Gal(a1-3)GalNAc(a1-Sp16,3.736625000000001,4.8277,1.6850749999999994
Gal(a1-3)GalNAc(b1-Sp8,-0.2452999999999994,8.256574999999998,5.951025
Gal(a1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,5.596525,8.56377499999999,44.8152
Gal(a1-3)Gal(b1-3)GlcNAc(b1-Sp0,2.1029500000000008,18.5423,418.53712499999983
Gal(a1-3)Gal(b1-4)GlcNAc(b1-Sp8,3.836675,95.95730000000002,1376.7641750000007
Gal(a1-3)Gal(b1-4)Glc(b1-Sp0,7.2319999999999975,21.649675,166.00275000000005
Gal(a1-3)Gal(b1-4)Glc(a1-Sp10,9.687325,17.234874999999995,44.2075
Gal(a1-3)Gal(b1-Sp8,-1.502324999999999,12.838775000000002,980.26135
Gal(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,3.233775,4.789050000000001,14.621125000000005
Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,13.269075,15.3539,23.69245
