IUPAC,VGA(EY Lab) (1ug/ml),VGA(EY Lab) (10ug/ml),VGA(EY Lab) (100ug/ml)
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,8.880299999999998,11.126049999999998,18.382100000000005
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,6.258300000000002,13.23895,16.554399999999994
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,5.815499999999999,6.255,28.266200000000005
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,9.226324999999996,5.361025,22.51755
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,9.475825,12.562949999999995,14.055275000000005
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp0,11.989775,17.609075,7.9433000000000025
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp8,3.2025500000000005,14.994175,33.663125
Fuc(a1-2)Gal(b1-4)Glc(b1-Sp0,7.102425,6.1221250000000005,33.19175
Fuc(a1-2)Gal(b1-Sp8,5.491075,14.511225000000005,36.9594
Fuc(a1-3)GlcNAc(b1-Sp8,11.325925000000002,2.035775000000001,14.966975
Fuc(a1-4)GlcNAc(b1-Sp8,5.433274999999997,12.8195,18.99865
Fuc(b1-3)GlcNAc(b1-Sp8,6.650900000000003,4.243249999999999,8.177625000000006
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,11.319975,7.090849999999999,29.08572500000001
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,19.6512,21.582825,63.5843
(3S)Gal(b1-4)[Fuc(a1-3)]Glc(b1-Sp0,10.146775000000002,18.669825,70.723275
