IUPAC,DBA (0.1ug/ml),DBA (10ug/ml),DBA (100 ug/ml)
Gal(a1-4)GlcNAc(b1-Sp8,2.23021275,3.551059654,3.402705085
Gal(a1-6)Glc(b1-Sp8,4.3403447810000015,16.73139321,13.85944385
Gal(b1-2)Gal(b1-Sp8,11.95186037,12.43791251,3.998811579
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,5.227347636,7.284198028,13.41670643
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,1.463801956,3.769015647,21.34129564
Gal(b1-3)[Fuc(a1-4)]GlcNAc(a1-Sp0,1.989965706,3.873740024,29.22793291
Gal(b1-3)[Fuc(a1-4)]GlcNAc(a1-Sp8 ,5.320077505,3.250806845,27.63601762
Fuc(a1-4)[Gal(b1-3)]GlcNAc(b1-Sp8,7.672106355,4.129365554,11.93277174
Gal(b1-4)GlcNAc(b1-6)GalNAc(a1-Sp8,7.7261421760000015,5.5008007789999995,9.762050451
Gal(b1-4)GlcNAc(b1-6)GalNAc(a1-Sp14,25.98403481,26.4636273,37.22890175
GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp8,8.612959881,13.51470537,16.78349571
GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp14,7.11403879,7.766929514,14.50310497
Neu5Ac(a2-6)[Gal(b1-3)]GalNAc(a1-Sp8,6.1867416660000005,8.112118415,10.07100128
Neu5Ac(a2-6)[Gal(b1-3)]GalNAc(a1-Sp14,2.9662206789999996,6.120537606,11.80580492
Neu5Ac(b2-6)[Gal(b1-3)]GalNAc(a1-Sp8,4.238704415,13.86875622,8.349457955
Neu5Ac(a2-6)[Gal(b1-3)]GlcNAc(b1-4)Gal(b1-4)Glc(b1-Sp10,1.735490942,2.583769923,4.252297787
Gal(b1-3)GalNAc(a1-Sp8,5.934363591,18.01047696,17.6578932
Gal(b1-3)GalNAc(a1-Sp14,25.42649468,14.34771232,4.278799369
Gal(b1-3)GalNAc(a1-Sp16,21.32524086,5.672384288,2.2287094730000003
Gal(b1-3)GalNAc(b1-Sp8,2.409378669,5.134723683,10.20373269
Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,18.74922448,10.99009532,13.32097423
