IUPAC,GSL-1 (0.1ug/ml),GSL-1 (1ug/ml),GSL-1 (10ug/ml),GSL-1 (100ug/ml)
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(a1-Sp8,-0.4199499999999992,1.2017500000000014,4.7829250000000005,-7.132100000000001
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,-6.26,-1.9064750000000021,7.563125,-8.921824999999998
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,-0.3721500000000022,1.78655,3.3389999999999995,-8.949975
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(a1-Sp0,28.274000000000004,31.04055000000001,8.593425000000002,37.91452500000001
(3S)Gal(b1-4)Glc(b1-Sp8,9.095325,4.755424999999999,8.209150000000001,7.375475000000002
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,2.026274999999999,2.425374999999999,7.3073,15.426449999999996
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,13.947824999999998,6.802674999999999,5.9919499999999974,14.829824999999996
(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,25.122375,18.152200000000004,2.8744000000000023,-0.3655000000000008
(3S)Gal(b1-3)GalNAc(a1-Sp8,-5.0645750000000005,5.3095,3.5628749999999982,-4.172999999999997
(3S)Gal(b1-3)GlcNAc(b1-Sp0,-0.3908749999999994,2.66225,-1.2185999999999986,-2.7187250000000014
(3S)Gal(b1-3)GlcNAc(b1-Sp8,-2.2824750000000007,15.977849999999995,6.435625,-11.082875000000005
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp0 ,6.007825,2.9968000000000012,6.831300000000002,-0.8195250000000005
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp8,10.482475,4.003875000000002,12.3269,-3.326125
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,6.881349999999991,-3.813475,6.752549999999998,-2.56345
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8,-1.1468499999999988,5.019574999999998,8.869250000000003,-7.436125000000002
(3S)Gal(b1-4)GlcNAc(b1-Sp0,3.5098499999999984,1.572425,-2.324649999999999,-4.22635
(3S)Gal(b1-4)GlcNAc(b1-Sp8,6.6946499999999975,9.680025,12.3454,-2.2171499999999984
(3S)Gal(b1-Sp8,3.130675,2.7395250000000004,6.042850000000005,-5.363625000000001
(6S)(4S)Gal(b1-4)GlcNAc(b1-Sp0,-2.746475,1.8406500000000008,4.0508250000000015,-11.659824999999998
(4S)Gal(b1-4)GlcNAc(b1-Sp8,7.756549999999999,1.806875,-3.031150000000001,-10.39075
(6P)Man(a1-Sp8,2.8603999999999985,8.890499999999998,4.8824000000000005,-9.823824999999998
(6S)Gal(b1-4)Glc(b1-Sp0,-1.5616250000000012,5.374749999999999,2.5523749999999987,5.684975000000005
(6S)Gal(b1-4)Glc(b1-Sp8,2.5881499999999997,11.784899999999995,7.513700000000001,-5.721950000000002
(6S)Gal(b1-4)GlcNAc(b1-Sp8,-3.598075000000001,4.133899999999997,-2.435200000000001,-37.0534
(6S)Gal(b1-4)(6S)Glc(b1-Sp8,6.0172500000000015,19.4493,18.911200000000008,14.919650000000004
Neu5Ac(a2-3)(6S)Gal(b1-4)GlcNAc(b1-Sp8,-6.4221,1.6295750000000029,-2.1473250000000004,-3.5641749999999988
(6S)GlcNAc(b1-Sp8,-3.859675000000001,3.282,9.08725,-15.642475
"Neu5,9Ac2(a1-Sp8",-1.0393500000000009,-5.564250000000001,-4.146025000000002,-35.1304
"Neu5,9Ac2(a2-6)Gal(b1-4)GlcNAc(b1-Sp8",6.3591500000000005,0.8795999999999999,1.734,-6.394624999999998
Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,2.2475250000000004,5.097150000000001,11.2689,39.623625
Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,12.500674999999998,4.195800000000003,15.7365,74.84877500000002
GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,9.670275000000004,6.733200000000003,1.1658249999999981,19.233325000000004
GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,-3.737975,0.7084249999999983,7.390025,69.05742500000001
