IUPAC,WFL (0.1ug/ml),WFL (1ug/ml),WFL (10ug/ml),WFL (100ug/ml)
(3S)Gal(b1-4)Glc(b1-Sp8,2.1356012947177163,8.425841762251421,18.072882092124466,18.679315144744113
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,5.5771410890048925,10.56120389866452,10.113042533407047,3.811870995543602
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,10.616634772963607,5.5212679854057685,17.940964845570594,24.23529599714364
(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,5.4298665916699385,0.8938822759923881,27.437941909273487,5.467489763441108
(3S)Gal(b1-3)GalNAc(a1-Sp8,5.6437622918286685,3.010129960095858,7.152330599823159,20.65583224376348
(3S)Gal(b1-3)GlcNAc(b1-Sp0,4.228564534508142,5.419374631818696,9.822552008006882,6.4725527268999565
(3S)Gal(b1-3)GlcNAc(b1-Sp8,9.469644656127985,11.98972817800719,7.172572408139218,2.5623156772731956
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp0 ,13.407162717617275,1.8751759437450168,4.049652810221311,5.3903433279646835
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp8,5.133052608990746,15.02575462431088,2.8989847962979525,7.474217573933744
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,3.7417879759102695,11.557454507337106,13.43049248153867,4.500177387244486
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8,10.512619237968249,15.493616971084151,9.947672911247476,12.044861606926002
(3S)Gal(b1-4)GlcNAc(b1-Sp0,13.366550796019402,29.67139701501268,14.894505468432556,59.399148845328114
(3S)Gal(b1-4)GlcNAc(b1-Sp8,6.582145369862325,3.8764943221936985,8.426711076293845,3.4935090328350342
(3S)Gal(b1-Sp8,5.687370619407528,6.081449396525469,8.327785585366223,2.804122887226352
(6S)(4S)Gal(b1-4)GlcNAc(b1-Sp0,3.3686195217774246,5.884101525863287,4.939382321960914,1.6645572524448289
(4S)Gal(b1-4)GlcNAc(b1-Sp8,1.6904023998247653,13.419997705259366,43.332681313251726,2.369013186082621
(6P)Man(a1-Sp8,3.282931706442687,7.262908206485429,6.678884833251259,3.5844934373632267
(6S)Gal(b1-4)Glc(b1-Sp0,4.4153363069344245,6.010142459972701,10.727351866607153,17.021355199547628
(6S)Gal(b1-4)Glc(b1-Sp8,1.1892832193524578,9.687126331503066,5.116994968647788,12.209496465320209
(6S)Gal(b1-4)GlcNAc(b1-Sp8,6.358462604212332,3.0153127680502148,16.282633499196816,4.190952258039533
(6S)Gal(b1-4)(6S)Glc(b1-Sp8,17.037378942269847,7.398629934600503,9.639373743272946,5.309896453478796
Neu5Ac(a2-3)(6S)Gal(b1-4)GlcNAc(b1-Sp8,3.828533759700521,8.365960648564709,9.569849515361598,8.800689936779579
(6S)GlcNAc(b1-Sp8,6.26411564461949,5.9765599801084015,24.716907048550123,7.032711405697906
"Neu5,9Ac2(a1-Sp8",7.742569211562357,10.197561453071348,5.812715796137513,4.315612170847456
"Neu5,9Ac2(a2-6)Gal(b1-4)GlcNAc(b1-Sp8",3.4676405017196767,9.272011836705127,6.595957762650298,5.229806457460924
Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,3.745153622127313,6.343770482134423,10.872881193248633,19.899016600052537
Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,5.0768586970685154,10.452777235580339,4.76524041855883,13.847136268316754
GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,7.4284311268710495,2.6662567447953465,4.580541466082366,9.264875955771524
GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,2.1211492773179907,4.205802620586627,3.942387833428701,3.298289239388608
Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,7.690104332625687,266.833628620799,1253.5487331955578,939.1808168197967
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,4.157783907624355,11.888792082741926,8.109372345779759,9.958755362828562
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,9.157534219928793,20.04328708343936,5.801341423038871,1.561737221814221
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)M(an-a)(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp21,3.828224142144761,9.900159818028222,24.64123858338536,18.96305040669269
