IUPAC,LTL (0.1ug/ml),LTL (1ug/ml),LTL (10ug/ml),LTL (100ug/ml)
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,5.0964749999999945,13.8689,15.2475,-14.230575000000002
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(a1-Sp0,77.17407500000002,47.87122500000001,61.74030000000001,74.98615000000002
(3S)Gal(b1-4)Glc(b1-Sp8,15.41445,15.454099999999995,1.55625,10.205175000000002
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,4.5873250000000025,17.390275000000006,10.964325,-2.0874749999999995
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,10.104025000000004,11.656325,5.903649999999997,6.774524999999998
(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,8.1558,12.976625,4.021000000000001,-3.430750000000004
(3S)Gal(b1-3)GalNAc(a1-Sp8,7.6323000000000025,14.074399999999995,6.1031,5.137774999999999
(3S)Gal(b1-3)GlcNAc(b1-Sp0,10.185525,10.146525,13.545375000000005,-15.992950000000002
(3S)Gal(b1-3)GlcNAc(b1-Sp8,-3.2677749999999985,16.75705,13.69685,5.269700000000004
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp0 ,14.183349999999995,13.791875,12.59825,10.357375
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp8,14.259049999999998,15.979825000000002,16.895424999999996,13.49615
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,10.2825,5.0504,10.69585,1.8659250000000007
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8,5.039425000000007,7.634925000000001,12.091,0.6522499999999951
(3S)Gal(b1-4)GlcNAc(b1-Sp0,6.354699999999999,13.077600000000002,13.675525,2.0074499999999977
(3S)Gal(b1-4)GlcNAc(b1-Sp8,4.5848,11.936574999999998,12.260424999999998,-3.4354750000000043
(3S)Gal(b1-Sp8,-1.2742750000000005,13.204825000000005,4.0493250000000005,6.645075
(6S)(4S)Gal(b1-4)GlcNAc(b1-Sp0,8.471400000000003,4.453099999999999,8.942750000000009,0.5609749999999991
(4S)Gal(b1-4)GlcNAc(b1-Sp8,10.954250000000002,14.053375000000004,6.001425000000001,16.021749999999994
(6P)Man(a1-Sp8,20.8192,11.623574999999995,13.791524999999998,29.88852500000001
(6S)Gal(b1-4)Glc(b1-Sp0,14.740875,11.913125,9.1297,27.9639
(6S)Gal(b1-4)Glc(b1-Sp8,10.7927,10.791825,24.27075,-0.761875
(6S)Gal(b1-4)GlcNAc(b1-Sp8,8.703050000000001,12.010775000000002,0.8623999999999992,9.334325
(6S)Gal(b1-4)(6S)Glc(b1-Sp8,20.8273,5.095724999999995,7.275525,7.754624999999997
Neu5Ac(a2-3)(6S)Gal(b1-4)GlcNAc(b1-Sp8,21.6157,37.877875,858.0586500000003,8695.564250000001
(6S)GlcNAc(b1-Sp8,2.9279999999999986,9.359725,2.0382249999999997,-8.586775
"Neu5,9Ac2(a1-Sp8",22.501349999999995,9.277699999999996,4.553699999999997,-13.61774999999999
"Neu5,9Ac2(a2-6)Gal(b1-4)GlcNAc(b1-Sp8",3.0926000000000013,3.216899999999999,7.66955,-1.9512749999999992
Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,21.81882500000001,24.3796,7.049049999999999,23.893525
Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,9.876600000000002,11.271675000000005,19.789724999999983,14.614225
GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,13.964250000000002,5.341075000000001,5.770275,15.405625
GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,13.6216,15.167550000000006,20.291075,19.790775
Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,5.6289,15.218875,12.435425000000002,19.366350000000004
