IUPAC,AAL (0.01 ug/ml),AAL (0.1ug/ml),AAL (1ug/ml),AAL (10ug/ml),AAL (100 ug/ml)
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,98.79035,4382.71005,15174.226075,28981.133225000005,27550.59460000001
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp8,-4.657275000000002,1718.3493999999994,7313.55335,23430.74592500001,25659.120275
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp14,7.503800000000003,69.215,759.8159750000003,6382.678799999999,3676.313925
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,-20.846525,12.701224999999996,21.61545000000001,47.73,37.787925
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp9,15.818324999999998,9.214350000000003,20.686775,126.49395,28.311425000000003
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,3.5136499999999984,2010.906575,8310.983575,25456.79835,25453.79935
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,61.38767499999999,3079.9107000000013,11985.882425000005,25414.54992500001,26506.461575
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp0,10.993674999999996,2541.112425,11853.73255,30575.02225,29278.86510000001
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp8,31.497325000000004,2898.3339,10701.57305,23731.848825,28124.261175000003
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,524.94865,6464.5577,33868.239174999995,36679.72215,33218.451424999985
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,870.9278999999997,11088.217749999998,40278.574625,37829.31165,38400.946625
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,539.08305,7380.975075,36420.738349999985,38339.282325000015,36950.96547500001
