IUPAC,MPL (0.1ug/ml),MPL (0.5ug/ml),MPL (1ug/ml),MPL (10ug/ml),MPL (100ug/ml)
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,4.48595,7.8832499999999985,7.437975000000005,9.249425000000002,29.008925000000005
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp8,6.5122,90.84915000000002,2484.2669,12606.513600000002,25829.885375
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp14,12.9661,7.546675,7.923250000000001,1414.10265,5000.915425
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,11.27225,10.397899999999998,-0.983175,9.445425,9.87665
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp9,7.424175000000001,1.9,8.312624999999997,14.661575000000004,-1.4155999999999995
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,9.538175000000004,2.409150000000002,6.24215,4.24765,2.9888000000000012
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,10.503175000000002,13.1687,7.522299999999998,11.209075000000002,10.427975000000004
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp0,4.368049999999998,6.408574999999999,16.36315,-0.11637499999999967,6.309774999999999
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp8,11.4687,0.21602500000000013,5.504775,0.22995000000000146,18.1707
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,9.501850000000003,6.411925,0.4247500000000013,48.262675,483.608175
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,14.085625,8.942749999999998,7.371975000000001,55.5748,399.58855000000005
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,3.091975,-0.21272500000000072,3.248174999999999,20.952224999999988,199.2555
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,14.917875000000002,-2.1929,-1.0151499999999989,3.626725,92.10900000000004
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,0.7079250000000012,-2.965625,13.014475000000004,6.6136500000000025,33.382875
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,25.308100000000003,1.450625,1.1163500000000006,3.9172749999999983,38.13230000000001
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp0,2.8122000000000007,8.4064,1.4505249999999998,6.332600000000002,173.74239999999998
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp8,9.969575,0.2672000000000008,22.372875,10.040225,36.8804
Fuc(a1-2)Gal(b1-4)Glc(b1-Sp0,9.932675,10.002975000000003,10.4601,9.831125000000004,66.66805
Fuc(a1-2)Gal(b1-Sp8,9.765525,9.739924999999998,7.839699999999999,14.337149999999998,3106.6785500000005
Fuc(a1-3)GlcNAc(b1-Sp8,3.9955250000000007,6.801500000000001,11.000825,33.266299999999994,511.89837499999993
Fuc(a1-4)GlcNAc(b1-Sp8,31.03225,11.39655,21.346875,47.56419999999999,480.87235
Fuc(b1-3)GlcNAc(b1-Sp8,14.407174999999995,2.026849999999998,7.465625,20.057025000000007,19.8252
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,27.45225000000001,6.037599999999999,32.36172500000001,17.746049999999997,100.96300000000002
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,12.509800000000002,17.214725,22.08024999999999,18.565675,76.891325
(3S)Gal(b1-4)[Fuc(a1-3)]Glc(b1-Sp0,7.664950000000001,5.251975000000002,1.6559499999999991,10.244149999999998,11.496850000000002
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp0,14.82745,1.4339249999999997,11.669325,10.338425,6.7575999999999965
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,14.4772,9.7933,4.548699999999998,2.0424500000000023,2.6944750000000006
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,11.295,4.667824999999999,6.346025000000001,33.35505000000001,28.780125
GlcNAc(b1-3)Gal(b1-3)GalNAc(a1-Sp8,19.557275,336.48285,12910.00665,32590.963124999995,41715.46285
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,5.0142,-1.250675000000001,13.17905,12.012,17.840425000000003
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,11.114225000000005,-0.558250000000001,20.320075,6.475249999999996,11.57445
GalNAc(a1-3)GalNAc(b1-Sp8,6.779350000000001,5.193450000000006,12.1642,2.92525,13.418500000000002
GalNAc(a1-3)Gal(b1-Sp8,9.183675,-3.66865,15.564775,17.263150000000003,54.4863
GalNAc(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,1.324375,4.971575000000001,2.3749,10.707125,57.03847500000001
GalNAc(b1-3)GalNAc(a1-Sp8,59.65842499999999,1072.93,16131.796500000004,29297.00885,32770.970299999986
GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-Sp8,7.365675000000002,-1.0903249999999989,9.411875,6499.43475,14605.847225
GalNAc(b1-3)Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,32.36257499999999,8.59525,40.505925,19.585575,110.584075
GalNAc(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,22.19045,-1.4073499999999992,25.8544,58.499725,535.8482750000002
GalNAc(b1-4)GlcNAc(b1-Sp0,27.764,4.546925000000002,21.277800000000006,14.551625,53.89325
GalNAc(b1-4)GlcNAc(b1-Sp8,19.775900000000004,29.93587499999999,18.390450000000023,17.48805,32.08977499999998
Gal(a1-2)Gal(b1-Sp8,16.550224999999998,7.6031749999999985,20.909675,25.70502500000001,21.634825
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,10.545474999999998,8.082675000000002,13.348974999999998,16.942924999999995,26.241875
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp8,14.337675000000004,11.030375,17.013525,23.6467,52.07815
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,11.997374999999998,21.839499999999994,6.7800249999999975,36.08137500000001,51.64665
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,13.130300000000005,6.3044249999999975,14.483524999999998,10.68465,56.899625
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(a1-Sp0,15.414249999999996,8.50445,18.354275,11.602799999999995,14.769575000000005
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,2.751825,10.45945,2.1420749999999966,30.83975000000001,13.038524999999995
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,-1.8045749999999992,-4.009100000000003,3.53625,21.778524999999995,5914.101424999999
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,16.198875,4.0077250000000015,8.926125000000003,10.364925000000003,873.0761500000001
Gal(a1-4)[Gal(a1-3)]Gal(b1-4)GlcNAc(b1-Sp8,19.2348,10.121750000000002,12.355,10.405575000000006,11.41705
Gal(a1-3)GalNAc(a1-Sp8,55.93485,54.89595,14480.702525,29234.418275,30971.1216
Gal(a1-3)GalNAc(a1-Sp16,20.56465,10.92165,23.44400000000001,237.0985,2076.552375
Gal(a1-3)GalNAc(b1-Sp8,10.7441,6.559825,11.353725,6994.318025000001,13696.129374999995
Gal(a1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,5.53025,16.11785,5.495,13.116025,287.874925
Gal(a1-3)Gal(b1-3)GlcNAc(b1-Sp0,5.153025000000001,1.3536,5.444350000000001,14.857325000000005,41.3177
Gal(a1-3)Gal(b1-4)GlcNAc(b1-Sp8,24.356525,8.17975,4.590850000000001,8.891174999999997,9.842975
Gal(a1-3)Gal(b1-4)Glc(b1-Sp0,24.71125,5.316000000000002,0.08057500000000051,6.4932500000000015,13.535925
Gal(a1-3)Gal(b1-4)Glc(a1-Sp10,5.173225,4.383475000000002,9.065075,25.378025,30.32275
Gal(a1-3)Gal(b1-Sp8,3.0904750000000005,1.057199999999999,6.205,202.14159999999995,5114.319225000001
