IUPAC,AMA (EY Lab) (0.1ug/ml),AMA(EY Lab) (1ug/ml),AMA(EY Lab) (10ug/ml),AMA (EY Lab) (100ug/ml)
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,14.701875,16.975300000000004,30.80465,56.422275
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,11.0314,2.6269000000000027,7.1045000000000025,9.106375000000003
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(a1-Sp0,5.369674999999999,5.338574999999999,8.462175,7.757575000000001
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,16.182899999999997,9.167275000000002,11.147975000000002,24.966875
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,20.303075,9.1192,4.3917,0.31547500000000017
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,16.410224999999997,19.903125,12.589725,5.021125
Gal(a1-4)[Gal(a1-3)]Gal(b1-4)GlcNAc(b1-Sp8,27.5086,12.974325,60.3018,35.78682499999999
Gal(a1-3)GalNAc(a1-Sp8,32.36045,43.13527499999999,72.275625,37.5406
Gal(a1-3)GalNAc(a1-Sp16,12.080749999999998,11.7758,7.376100000000003,19.808825
Gal(a1-3)GalNAc(b1-Sp8,7.229749999999997,6.132825,11.53525,2.628024999999999
Gal(a1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,6.906674999999996,8.0261,6.2249500000000015,8.9391
Gal(a1-3)Gal(b1-3)GlcNAc(b1-Sp0,13.835375000000004,15.743375000000002,8.056350000000009,37.57025
Gal(a1-3)Gal(b1-4)GlcNAc(b1-Sp8,9.990100000000002,2.6595000000000004,2.3578249999999983,8.102750000000004
Gal(a1-3)Gal(b1-4)Glc(b1-Sp0,12.0838,17.132175,16.913675000000005,27.257950000000008
Gal(a1-3)Gal(b1-4)Glc(a1-Sp10,13.223775000000002,7.476024999999999,5.504724999999998,12.12295
Gal(a1-3)Gal(b1-Sp8,3.688875,9.13495,26.1804,9.983325
Gal(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,19.101025,1.126674999999996,8.183499999999999,16.882774999999995
Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,23.844400000000004,26.80534999999999,39.42965,0.9050000000000012
Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp8,14.8786,22.454950000000004,8.409549999999996,15.585475000000002
Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,6.399149999999992,7.396424999999994,26.165899999999965,35.51315
Gal(a1-4)GlcNAc(b1-Sp8,7.834274999999997,11.02005,1.3369999999999995,-1.3095250000000007
Gal(a1-6)Glc(b1-Sp8,7.664625000000003,8.993674999999998,13.928924999999998,12.403700000000008
Gal(b1-2)Gal(b1-Sp8,11.6801,4.390474999999999,17.773600000000005,17.476175000000005
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,21.369675,10.147125,8.515974999999996,-2.047274999999999
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,14.011299999999993,7.54195,7.098675,1.6194500000000025
Gal(b1-3)[Fuc(a1-4)]GlcNAc(a1-Sp0,16.11235,17.146525,5.993525,-0.7178750000000029
Gal(b1-3)[Fuc(a1-4)]GlcNAc(a1-Sp8 ,15.497625,17.034324999999995,4.484849999999998,-1.2641999999999989
Fuc(a1-4)[Gal(b1-3)]GlcNAc(b1-Sp8,11.687425,13.112975,1.9737750000000007,-1.663825000000001
Gal(b1-4)GlcNAc(b1-6)GalNAc(a1-Sp8,16.381000000000004,19.911,14.94055,12.1695
Gal(b1-4)GlcNAc(b1-6)GalNAc(a1-Sp14,8.59625,17.519924999999994,19.573150000000005,22.712425
GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp8,29.959474999999994,11.829175000000005,7.998000000000001,27.39955
GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp14,4.779150000000003,4.1948500000000015,-1.8556000000000008,1.0001499999999997
Neu5Ac(a2-6)[Gal(b1-3)]GalNAc(a1-Sp8,1.8115500000000009,7.568824999999998,-5.9341,-7.036125
Neu5Ac(a2-6)[Gal(b1-3)]GalNAc(a1-Sp14,10.6236,6.3461250000000025,9.900225,8.396650000000001
Neu5Ac(b2-6)[Gal(b1-3)]GalNAc(a1-Sp8,4.281149999999999,7.624624999999999,-2.3921,12.441275000000005
Neu5Ac(a2-6)[Gal(b1-3)]GlcNAc(b1-4)Gal(b1-4)Glc(b1-Sp10,5.2486,2.328174999999998,-6.365625,5.385674999999999
Gal(b1-3)GalNAc(a1-Sp8,3.651299999999999,-0.7551749999999995,19.375325000000004,9.180250000000004
Gal(b1-3)GalNAc(a1-Sp14,11.911375,13.625850000000002,11.8855,10.514124999999998
Gal(b1-3)GalNAc(a1-Sp16,1.7979999999999985,8.905850000000003,12.7784,0.9394250000000016
Gal(b1-3)GalNAc(b1-Sp8,5.001575,5.38005,8.93375,10.70415
Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,8.028574999999998,3.619149999999999,17.547400000000003,15.796399999999998
Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,5.6066249999999975,7.03,2.9952000000000005,9.657725
Gal(b1-3)GalNAc(b1-4)Gal(b1-4)Glc(b1-Sp8,18.942025,9.091475,7.358875000000002,22.471625
Gal(b1-3)Gal(b1-Sp8,0.988999999999999,7.109725000000001,0.1470249999999993,49.80715000000001
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,6.488125,7.39665,-5.2686250000000046,2.387649999999997
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,4.399950000000001,8.098474999999999,-0.7305249999999983,29.805425
Gal(b1-3)GlcNAc(b1-Sp0,3.6659749999999978,7.227675,6.064400000000001,11.427975
Gal(b1-3)GlcNAc(b1-Sp8,12.0725,7.7225,-1.6663749999999995,25.659150000000004
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,9.269825,2.805374999999999,1.931424999999999,14.799824999999995
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,4.942900000000002,3.546125,3.4557,10.839099999999998
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,21.388550000000006,8.116325,14.646625000000006,8.331625
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,10.6847,8.326725,9.31135,1.171800000000001
Gal(b1-4)(6S)Glc(b1-Sp0,10.47485,7.3602750000000015,32.33569999999999,2.6949500000000004
Gal(b1-4)(6S)Glc(b1-Sp8,16.167075,13.634125,12.715249999999996,8.042774999999997
Gal(b1-4)GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,11.464199999999993,4.931475,-2.517925,3.1709249999999987
Gal(b1-4)GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,4.513225,1.3876999999999995,5.6042250000000005,8.857975000000003
Gal(b1-4)GlcNAc(b1-3)GalNAc(a1-Sp8,7.214050000000001,7.07225,17.721875,0.8493499999999976
Gal(b1-4)GlcNAc(b1-3)GalNAc(a1-Sp14,9.170299999999996,7.659599999999982,23.869675,20.563900000000004
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,17.27245,7.959375,7.102399999999998,12.74605
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,0.4868500000000005,3.630749999999999,2.1553750000000007,10.1172
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,5.495050000000001,5.934800000000001,3.3468500000000017,14.606799999999994
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,11.117399999999995,12.390250000000002,10.491675,14.229950000000004
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,-0.7628500000000021,6.931725,5.231799999999999,7.180800000000001
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp8,15.634225,6.1933000000000025,3.589874999999997,14.711524999999995
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp14,6.170250000000001,6.4685250000000005,4.055574999999998,9.082375
Gal(b1-4)GlcNAc(b1-Sp0,13.8839,10.5307,17.875999999999994,16.016675
Gal(b1-4)GlcNAc(b1-Sp8,-0.6672499999999975,15.497700000000002,2.150475000000001,14.479974999999998
Gal(b1-4)GlcNAc(b1-Sp23,14.878574999999998,1.7641000000000011,-0.5138500000000015,13.289099999999998
Gal(b1-4)Glc(b1-Sp0,15.546075000000007,13.14835,9.325825000000004,73.11452500000001
Gal(b1-4)Glc(b1-Sp8,5.640374999999999,6.544675,13.200750000000005,12.678475000000002
GlcNAc(a1-3)Gal(b1-4)GlcNAc(b1-Sp8,3.3466750000000003,16.970825,7.782475,574.5025
GlcNAc(a1-6)Gal(b1-4)GlcNAc(b1-Sp8,4.867699999999999,5.06875,55.16022499999999,1283.01075
GlcNAc(b1-2)Gal(b1-3)GalNAc(a1-Sp8,9.37385,4.395525000000001,4.771225000000005,7.110999999999999
GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc(a1-Sp8,17.848975000000017,9.485575,9.21055,196.30762500000003
GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc(a1-Sp14,18.268325,14.78625,0.3642750000000001,10.344575
