IUPAC,STL (0.1ug/ml),STL (1ug/ml),STL (10ug/ml),STL (100ug/ml)
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,8.644824999999999,18.475774999999995,7.8574499999999965,113.404125
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,9.483075,7.381624999999999,17.567724999999996,21.79300000000001
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,1926.346475,4765.147825000001,12749.273575,16946.879625
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,1999.910975,4913.269450000002,16873.038225,21077.415275
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp0,197.004425,1104.2232249999997,3430.01445,2027.1848
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp8,2105.3319,5245.262225,14401.663175000005,15562.0714
Fuc(a1-2)Gal(b1-4)Glc(b1-Sp0,6.072375,1.9067750000000008,12.8997,12.369324999999998
Fuc(a1-2)Gal(b1-Sp8,20.5708,7.057625,6.86185,24.06022500000001
Fuc(a1-3)GlcNAc(b1-Sp8,4.405500000000001,6.587075,340.75015000000013,183.17572500000003
Fuc(a1-4)GlcNAc(b1-Sp8,10.054475000000004,16.259475000000002,157.1809000000001,176.38990000000004
Fuc(b1-3)GlcNAc(b1-Sp8,9.232975000000003,20.11375,21.751125,2.16465
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,10.760350000000004,2.1189250000000017,16.284550000000007,7.694899999999995
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,13.859749999999995,20.659750000000006,33.240525,57.79025
(3S)Gal(b1-4)[Fuc(a1-3)]Glc(b1-Sp0,3.438825,14.29985,20.1777,28.95985000000001
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp0,859.7272250000003,1871.090025,7243.391725000001,11204.730449999995
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,1925.93915,4284.4988250000015,13563.868074999995,16496.073275
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,9.189974999999997,10.418675000000007,8.9558,11.225424999999998
GlcNAc(b1-3)Gal(b1-3)GalNAc(a1-Sp8,14.096574999999998,19.60915,134.36787500000003,210.63350000000003
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,10.75635,5.200849999999998,15.065475,11.578449999999995
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,7.283400000000005,4.22125,6.424500000000003,0.3983500000000024
GalNAc(a1-3)GalNAc(b1-Sp8,12.229075,4.0451250000000005,6.096199999999998,4.267099999999999
GalNAc(a1-3)Gal(b1-Sp8,6.432199999999996,4.36945,20.271224999999987,12.067800000000002
GalNAc(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,2841.808299999999,7160.8424,18810.074225,21828.16255
GalNAc(b1-3)GalNAc(a1-Sp8,19.986575,12.259050000000002,101.156175,487.60367500000007
GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-Sp8,8.900250000000002,7.212475000000001,9.133525000000002,17.7543
GalNAc(b1-3)Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,1919.471225,5382.7890499999985,12924.739624999998,13816.972075000005
GalNAc(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,15.202425000000002,11.123199999999995,10.261775,75.441625
GalNAc(b1-4)GlcNAc(b1-Sp0,1796.2683500000005,4936.515125,11803.00315,12989.898825000006
GalNAc(b1-4)GlcNAc(b1-Sp8,3055.119424999999,8680.588325,20766.790650000006,21466.89295
Gal(a1-2)Gal(b1-Sp8,9.743125,11.1911,9.172624999999998,11.616349999999995
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,15.253,21.648375,15.323824999999998,13.194475
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp8,14.672899999999998,26.6072,31.507825000000004,51.760775
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,14.982275,15.4805,30.176075,24.161275000000003
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,14.016750000000002,18.894875,5.983125,49.16257499999999
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(a1-Sp0,2566.920375,6646.721074999998,16045.085175,15600.537175
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,5.779949999999998,8.20205,14.964775,16.110325000000003
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,6.6870499999999975,11.573425000000006,4.0220999999999965,11.25255
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,12.950500000000002,7.629175000000001,10.6401,5.814674999999999
Gal(a1-4)[Gal(a1-3)]Gal(b1-4)GlcNAc(b1-Sp8,3920.19965,10959.073225000002,23389.12265,25406.302975
Gal(a1-3)GalNAc(a1-Sp8,4.852399999999999,13.3187,2.4298500000000023,20.781749999999995
Gal(a1-3)GalNAc(a1-Sp16,7.794675000000002,12.818074999999995,13.83705,25.128325
Gal(a1-3)GalNAc(b1-Sp8,12.179225,6.024799999999999,18.777075,6.022
Gal(a1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,21.369,8.45195,24.9606,15.807524999999995
Gal(a1-3)Gal(b1-3)GlcNAc(b1-Sp0,8.851575,15.416325,5.94205,5.9223
Gal(a1-3)Gal(b1-4)GlcNAc(b1-Sp8,3591.3113749999993,7353.798799999999,18058.69185,22174.24707500001
Gal(a1-3)Gal(b1-4)Glc(b1-Sp0,17.514949999999992,0.07784999999999975,20.508000000000006,7.675350000000003
Gal(a1-3)Gal(b1-4)Glc(a1-Sp10,10.715975000000002,22.203375000000005,18.693575000000006,18.906975000000006
Gal(a1-3)Gal(b1-Sp8,3.8500250000000014,10.60385,6.3673249999999975,15.959075
Gal(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,1438.9649750000005,4376.295825,13570.847175000004,11994.262475000005
Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,2126.480575,5766.980425,10527.788350000004,10297.636925000004
Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp8,2927.489075,6901.35565,16790.009874999996,18508.316425
Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,19.4778,14.258125,24.545975000000034,36.292275
Gal(a1-4)GlcNAc(b1-Sp8,2.4220500000000005,23.231150000000003,2180.882375,623.3437250000002
Gal(a1-6)Glc(b1-Sp8,12.293975,6.378450000000001,12.019724999999998,26.15424999999999
Gal(b1-2)Gal(b1-Sp8,16.369550000000004,16.471375,16.28015,34.882850000000005
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,6.732474999999999,5.834600000000001,10.3502,0.5405750000000005
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,2.1395000000000017,11.945125,6.17875,30.86887500000001
Gal(b1-3)[Fuc(a1-4)]GlcNAc(a1-Sp0,9.56725,9.089200000000003,16.588825,9.628175
Gal(b1-3)[Fuc(a1-4)]GlcNAc(a1-Sp8 ,4.0416500000000015,14.503274999999995,6.583475,17.368949999999984
Fuc(a1-4)[Gal(b1-3)]GlcNAc(b1-Sp8,2.957250000000001,6.0149250000000025,7.0887249999999975,11.146300000000005
Gal(b1-4)GlcNAc(b1-6)GalNAc(a1-Sp8,2596.72555,7085.881625,20129.985725,19298.789
Gal(b1-4)GlcNAc(b1-6)GalNAc(a1-Sp14,11.583975,12.9538,16.195,16.601974999999996
GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp8,17.375025,16.325450000000004,20.723049999999994,159.83530000000005
GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp14,5.065275,-0.8213999999999997,11.533449999999998,7.755949999999999
Neu5Ac(a2-6)[Gal(b1-3)]GalNAc(a1-Sp8,4.5625,7.676350000000001,5.159024999999998,8.073975000000003
Neu5Ac(a2-6)[Gal(b1-3)]GalNAc(a1-Sp14,14.856050000000005,12.819825,25.147425,45.44375
Neu5Ac(b2-6)[Gal(b1-3)]GalNAc(a1-Sp8,8.486450000000001,17.154424999999996,9.377975,13.20525
Neu5Ac(a2-6)[Gal(b1-3)]GlcNAc(b1-4)Gal(b1-4)Glc(b1-Sp10,10.46115,4.126449999999998,16.541150000000002,17.935900000000004
Gal(b1-3)GalNAc(a1-Sp8,16.637175,7.596474999999999,2.946049999999997,11.428424999999995
Gal(b1-3)GalNAc(a1-Sp14,5.380324999999999,9.129025,9.5612,11.676625
Gal(b1-3)GalNAc(a1-Sp16,13.546750000000005,5.589399999999999,1.5164499999999972,7.6874
Gal(b1-3)GalNAc(b1-Sp8,6.54975,9.96825,5.866900000000001,19.530625
Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,21.586425,7.9147500000000015,15.643650000000004,30.457525000000004
Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,4.600249999999999,17.885775,8.393625,10.297200000000004
Gal(b1-3)GalNAc(b1-4)Gal(b1-4)Glc(b1-Sp8,14.348275,20.6231,21.36195,21.100575000000006
Gal(b1-3)Gal(b1-Sp8,7.3279,17.250125,10.52535,42.37110000000001
