IUPAC,VVL (0.1ug/ml),VVL (1ug/ml),VVL (10ug/ml),VVL (100ug/ml)
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,10.964575,6.13085,6.43145,1.346
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,6.534075,6.27725,15.8177,6.6608
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,3.050075,6.7588,15.61335,7.230375
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,15.62275,6.511825,-0.904025,2.812775
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,5.293375,9.3603,3.111525,14.656875
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp0,11.4316,11.4182,6.868575,7.910175
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp8,6.409075,4.68935,15.6333,13.670175
Fuc(a1-2)Gal(b1-4)Glc(b1-Sp0,15.6607,5.780875,5.348375,11.508575
Fuc(a1-2)Gal(b1-Sp8,11.5115,16.7615,15.914375,13.756825
Fuc(a1-3)GlcNAc(b1-Sp8,12.22315,0.2357,8.984825,-3.94665
Fuc(a1-4)GlcNAc(b1-Sp8,-2.1778,14.06325,3.047425,0.266625
Fuc(b1-3)GlcNAc(b1-Sp8,14.79195,8.40695,7.191775,15.68685
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,11.4118,19.563575,-1.067375,17.2764
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,9.0098,7.9646,10.0674,27.1027
(3S)Gal(b1-4)[Fuc(a1-3)]Glc(b1-Sp0,16.295925,8.445275,9.87655,1.894125
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp0,5.76245,7.7862,10.883875,45.48225
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,5.124875,1.784325,11.385975,203.596025
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,3.60615,6.0149,9.018975,15.6521
GlcNAc(b1-3)Gal(b1-3)GalNAc(a1-Sp8,21.295975,9.8643,11.0499,30.124
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,1.58075,4.6598,11.673125,37.10745
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,4.764125,3.46295,26.992625,694.9194
GalNAc(a1-3)GalNAc(b1-Sp8,7.037000000000001,10.74535,219.667125,7950.672925
GalNAc(a1-3)Gal(b1-Sp8,1836.54985,8926.003025,26990.33535,32136.675
GalNAc(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,8.440125,9.341475,127.59255,3982.726425
GalNAc(b1-3)GalNAc(a1-Sp8,3.43795,4.543225,7.3666,13.721475
GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-Sp8,607.9277,6322.886925,30022.22378,28052.48922
GalNAc(b1-3)Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,115.847125,1635.811275,19267.19453,36698.78665
GalNAc(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,6.34755,8.101225,18.514475,5.74415
GalNAc(b1-4)GlcNAc(b1-Sp0,1411.43175,12230.74055,28037.27358,36170.33753
GalNAc(b1-4)GlcNAc(b1-Sp8,1057.45615,9874.485375,24495.45485,30689.5136
Gal(a1-2)Gal(b1-Sp8,10.066,8.339075,5.2115,72.26045
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,18.1349,6.019425,3.195525,37.5155
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp8,44.864025,24.233675,41.74935,46.526525
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,20.3418,20.495975,20.553675,24.186325
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,1.471575,6.053975,4.692125,16.83245
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(a1-Sp0,3.387175,13.465725,3.380025,5.400525
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,0.009025,10.723325,11.36365,8.482225
