IUPAC,UDA 0.1ug/ml,UDA 1ug/ml,UDA 10ug/ml,UDA 100ug/ml
(3S)Gal(b1-3)GalNAc(a1-Sp8,4.330681034202352,62.9878817452744,13.320298488272204,8.77855290746532
(3S)Gal(b1-3)GlcNAc(b1-Sp0,7.212838272310005,7.390469474205703,3.010514521362309,6.729261878975585
(3S)Gal(b1-3)GlcNAc(b1-Sp8,4.088124681215899,6.390447224503673,3.2553606666543025,5.473061568872295
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp0 ,5.346642592864533,9.817888624130603,1.4835860662035392,6.248800681997509
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp8,1.3121848990011495,2.113614441937479,4.4987421111350665,15.684918221229804
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,8.371642238931775,21.397854338305358,58.26904494146034,1471.8679659943716
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8,19.543608358147853,17.838028379653995,23.288391787037096,581.2524667995588
(3S)Gal(b1-4)GlcNAc(b1-Sp0,3.4263346392318472,9.869971029803825,45.86900070574171,274.10014416479356
(3S)Gal(b1-4)GlcNAc(b1-Sp8,3.4704409358418213,13.981714229276974,64.16909863064261,544.9904811856134
(3S)Gal(b1-Sp8,35.47359837160588,8.18508619176773,5.755860687088133,31.806718130438515
(6S)(4S)Gal(b1-4)GlcNAc(b1-Sp0,7.089246971999217,3.456744391644641,18.604522638035267,5.717922297696995
(4S)Gal(b1-4)GlcNAc(b1-Sp8,7.267993581220797,5.460093274768001,58.13447481075656,307.5482874660952
(6P)Man(a1-Sp8,3.4200729888653782,7.680489136061998,3.048936921289123,4.97700512657961
(6S)Gal(b1-4)Glc(b1-Sp0,9.718816002819821,3.4009957732993423,11.047132918054745,8.654102542725035
(6S)Gal(b1-4)Glc(b1-Sp8,3.195937404998205,5.092483049472687,6.982191837513009,13.805614071818766
(6S)Gal(b1-4)GlcNAc(b1-Sp8,4.707487704356396,5.247200885789809,9.087263022861539,9.903416935919976
(6S)Gal(b1-4)(6S)Glc(b1-Sp8,3.42104671348306,3.305979245120372,45.013029431367606,19.83536575435821
Neu5Ac(a2-3)(6S)Gal(b1-4)GlcNAc(b1-Sp8,9.131764508023627,14.298007578767743,3.981816317021664,12.052030457700205
(6S)GlcNAc(b1-Sp8,4.6936459112293525,7.983961266762643,1.613202910103582,4.028753944149481
"Neu5,9Ac2(a1-Sp8",9.983488198353651,7.503237011228332,1.5443840700529567,4.157320805017736
"Neu5,9Ac2(a2-6)Gal(b1-4)GlcNAc(b1-Sp8",2.3560934183162883,3.990095579891124,3.6018881890845336,9.95655069924653
Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,96.50450319465376,448.7453492980011,1318.4409555342274,1711.1405746055982
Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,123.96920495496296,1900.437423264547,3309.9136596026815,885.1353334456597
GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,4.273344433422923,4.6255213359324765,9.476342757449547,9.18442384529368
GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,6.091449438899293,2.997518785456849,6.261473613828193,34.43892432529525
Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,4.869524908037746,7.488460678047744,7.565816495043133,21.223435491357936
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,6.230725443785285,4.653405078004714,6.612015706966116,10.09952396184262
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,3.1586196630543166,7.6322828935166385,6.238988845090736,20.71236470782604
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)M(an-a)(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp21,6.45325780536467,11.38175625727418,3.5895350324473507,38.55546686817057
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp24,10.717072507919314,5.5032149673319735,5.097924439743429,8.134859584682435
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-Sp9,6.231701878566799,17.58165669763043,2.0664561232134946,7.090162348399866
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp9,6.740877438620287,4.575220523920131,5.9235850413833,5.388204251495414
