IUPAC,MNA-M (10ug/ml),MNA-M (50ug/ml),MNA-M (100ug/ml)
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,1.6927427300096411,19.246180778079065,5.4827932552668805
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,12.861147634251013,4.3358289690861485,6.467910446388384
GalNAc(a1-3)GalNAc(b1-Sp8,12.293327865960467,4.567712947325675,7.45838366068681
GalNAc(a1-3)Gal(b1-Sp8,13.30350345999127,10.706738639559367,8.890906998726278
GalNAc(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,11.137054835996812,7.410563533677216,7.8308594821492425
GalNAc(b1-3)GalNAc(a1-Sp8,8.244087724899185,19.783589890677053,12.65673970562058
GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-Sp8,12.790080423515716,6.20392729540463,22.29527630753129
GalNAc(b1-3)Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,10.295159506089904,15.712920600257595,10.956527077196206
GalNAc(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,14.656250596560044,16.369249943389782,38.92148430284572
GalNAc(b1-4)GlcNAc(b1-Sp0,30.27433799892796,17.398233260305506,56.44480772884841
GalNAc(b1-4)GlcNAc(b1-Sp8,14.722172120620199,24.52075508224275,15.600790728971619
Gal(a1-2)Gal(b1-Sp8,6.333243140432355,10.737302116880507,14.432413950202518
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,3.902336959972793,6.673871452662767,6.345867481545235
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp8,23.49654302083607,16.601990615184288,13.286238928430238
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,37.036433602017546,16.97327785164587,8.266027022699635
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,2.606034283478772,6.012418853437167,7.095909392683001
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(a1-Sp0,12.25794848533669,8.708983715107058,2.2039020168782364
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,5.5115426566282935,3.0210976585506137,9.253582210645057
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,10.335799775013363,13.64736255349992,8.647520073167414
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,5.413422859276132,9.899011882842993,16.393234866325184
Gal(a1-4)[Gal(a1-3)]Gal(b1-4)GlcNAc(b1-Sp8,10.095853229585561,9.426852091189721,21.92937664023232
Gal(a1-3)GalNAc(a1-Sp8,15.35935511786438,21.454307507099045,85.07082851570912
Gal(a1-3)GalNAc(a1-Sp16,10.855567824047704,10.525901967052516,18.8709406192652
Gal(a1-3)GalNAc(b1-Sp8,6.5102633517521085,7.233595270852518,4.557814421682849
Gal(a1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,6.143277091463482,4.836933994794638,11.101354762482824
Gal(a1-3)Gal(b1-3)GlcNAc(b1-Sp0,4.419830209691339,4.674158467128958,1.7291522342369543
Gal(a1-3)Gal(b1-4)GlcNAc(b1-Sp8,12.522836675816176,7.160279094362638,7.1162193438065575
Gal(a1-3)Gal(b1-4)Glc(b1-Sp0,5.015450154854826,11.250073280650218,6.867346851768891
Gal(a1-3)Gal(b1-4)Glc(a1-Sp10,3.663890621889074,7.989739843230192,9.764563581304314
Gal(a1-3)Gal(b1-Sp8,13.430065305469228,10.201932732085622,15.26275201058665
Gal(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,17.155927771157288,15.933867531037981,19.232570786818897
Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,6.847396700145702,4.011956587086491,58.5399622538029
Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp8,28.09955671601721,11.841853910459529,15.411639979871365
