IUPAC,RCAI (Vector) (0.1 ug/ml),RCAI (Vector) (1 ug/ml),RCAI (Vector) (10 ug/ml),RCAI (Vector) (100ug/ml)
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,23.525499549833665,372.0004019123671,3110.6541472608155,1012.6725947635257
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(a1-Sp8,12.22598310525579,11.942437511943163,14.466248550563009,11.38496774215818
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,32.968266907993005,15.545960509486036,58.91534487371821,350.94264383917283
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,2.4870704077957564,16.072272400913516,14.461605880024758,179.7016030063728
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(a1-Sp0,28.84372360543395,20.39401389803718,47.96692742820302,83.03023644281528
(3S)Gal(b1-4)Glc(b1-Sp8,8.121637804654933,24.34123281941913,6.702694299061169,16.975447206087576
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,22.876898520031805,16.528694539774367,13.210111985899287,24.42601175911996
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,8.52649517562756,20.643607723679658,13.097372247484175,28.054946205437712
(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,11.797339586922414,8.85735371259385,19.557758876551613,46.78303076490451
(3S)Gal(b1-3)GalNAc(a1-Sp8,9.03844005249247,9.666075221964018,19.605651091692078,43.09612208265767
(3S)Gal(b1-3)GlcNAc(b1-Sp0,11.104091651391391,13.652621880643782,22.3575173407626,36.86582417265577
(3S)Gal(b1-3)GlcNAc(b1-Sp8,8.125889724618876,2.0567399146869945,13.744607356190038,102.82051112291424
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp0 ,23.67239823808521,14.0022666242529,11.183248886467087,169.41171153284142
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp8,12.648087400736387,14.869082988845234,10.24172529947957,43.183121802929755
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,19.518916461132427,9.42410318598009,9.858844554468195,55.957134011670064
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8,5.9326761523924985,11.573470921321173,11.464638489285214,52.08769540339314
(3S)Gal(b1-4)GlcNAc(b1-Sp0,10.617215627578632,14.089313862285824,14.204982797830743,89.53817983390766
(3S)Gal(b1-4)GlcNAc(b1-Sp8,16.75975750190019,14.290940116585519,6.4470354352472174,88.17445182700787
(3S)Gal(b1-Sp8,9.04097180114874,42.26099769924786,9.210040943448623,44.20658830267839
(6S)(4S)Gal(b1-4)GlcNAc(b1-Sp0,5.333247816840442,6.844338971977737,16.686149483628625,60.9850798016135
(4S)Gal(b1-4)GlcNAc(b1-Sp8,14.458078524017875,8.914803544058994,9.531160449284227,27.138047505347558
(6P)Man(a1-Sp8,5.368193339166064,9.037117657011377,3.0200701680590227,21.891270170016767
(6S)Gal(b1-4)Glc(b1-Sp0,80.13520022853373,724.8089751429558,2127.486140579679,1973.6316881425064
(6S)Gal(b1-4)Glc(b1-Sp8,155.00184828709706,1831.3286788360035,3462.0765107634693,2244.0432983555083
(6S)Gal(b1-4)GlcNAc(b1-Sp8,143.54982666768387,457.0236147649135,1198.8143773369914,679.4058913499326
(6S)Gal(b1-4)(6S)Glc(b1-Sp8,27.579112909897155,1254.0253735550634,1246.7299319595022,2839.2295762649474
Neu5Ac(a2-3)(6S)Gal(b1-4)GlcNAc(b1-Sp8,7.828826376496883,2.2201362728445333,44.612308141214406,25.869250226266065
(6S)GlcNAc(b1-Sp8,16.691179022665438,22.503955657765303,9.621018606632392,14.16151656459029
"Neu5,9Ac2(a1-Sp8",10.536830105673783,15.046134275038893,44.075679114327535,8.431910241210673
"Neu5,9Ac2(a2-6)Gal(b1-4)GlcNAc(b1-Sp8",4.297491426693021,5.656740767364781,11.455181894962173,314.80333754211034
Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,7.066589566403309,9.930217010384684,4.80680430041623,16.577656166760462
Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,6.907991161148084,4.5265000131632265,11.68123336610194,285.1548491623624
GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,11.937910875686473,6.155830803595897,0.5425761720717179,29.22828879178241
