IUPAC,GNL (0.1ug/ml),GNL (1ug/ml),GNL (10 ug/ml),GNL (100ug/ml)
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp9,-9.4725,-4.617600000000001,2.8282749999999983,15.128175
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,36.02605,5.834225,-3.0580749999999988,14.921375000000005
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,-22.176749999999966,-1.3510500000000043,-2.437350000000002,2.174275000000001
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp0,-7.245325000000001,-7.283274999999996,11.3167,-1.800349999999998
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp8,-0.7804999999999982,-3.4156499999999994,6.4867750000000015,14.038999999999998
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,-10.441599999999998,4.343075000000007,-3.789600000000004,-1.7426250000000003
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,-1.9199000000000024,3.512825000000001,32.370475000000006,18.046125
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,7.152250000000002,10.781950000000005,7.900024999999998,0.3957249999999988
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,12.169949999999998,5.203825,3.816525,8.758375
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,2.616574999999999,-14.00685,9.9546,-0.6044
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,5.447874999999998,-5.923200000000002,8.277099999999997,14.699075000000002
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp0,-2.6267250000000004,-4.903575000000002,-1.570975000000001,4.1641999999999975
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp8,-5.02745,-1.832675,6.732275000000001,0.6041249999999998
Fuc(a1-2)Gal(b1-4)Glc(b1-Sp0,9.261775,-0.2453249999999985,-2.56935,1.2794499999999989
Fuc(a1-2)Gal(b1-Sp8,12.664925000000002,3.2229750000000017,7.744674999999997,8.943825
Fuc(a1-3)GlcNAc(b1-Sp8,1.7478499999999997,0.4186249999999987,4.510224999999998,2.068875
Fuc(a1-4)GlcNAc(b1-Sp8,8.913499999999997,-0.3658749999999973,-0.29015000000000235,-5.885025000000002
Fuc(b1-3)GlcNAc(b1-Sp8,1.225475000000003,1.7680499999999988,2.3361250000000027,5.527999999999999
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,-6.424874999999997,-4.047874999999999,6.51585,-1.4558749999999971
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,8.015125,12.590274999999995,26.01367500000001,17.27995
(3S)Gal(b1-4)[Fuc(a1-3)]Glc(b1-Sp0,5.0886749999999985,-8.313949999999998,1.4032999999999998,4.512825000000001
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp0,-4.000874999999999,-1.7650749999999975,1.3354250000000008,-0.22627500000000025
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,2.5449000000000046,-2.983900000000002,0.20695000000000266,1.484350000000001
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,7.5383749999999985,-8.023875,-1.0018999999999991,3.337724999999999
GlcNAc(b1-3)Gal(b1-3)GalNAc(a1-Sp8,-6.666325000000002,-6.966199999999998,-3.840575,2.373099999999999
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,-16.248300000000004,3.1087750000000014,-6.171775,-2.1554
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,-16.313625000000002,-4.022724999999999,5.268375000000002,-1.1218000000000004
GalNAc(a1-3)GalNAc(b1-Sp8,-36.003,-20.135375,-6.632674999999995,-8.808099999999998
GalNAc(a1-3)Gal(b1-Sp8,4.407774999999997,-4.780175,-4.817300000000002,4.950324999999999
