IUPAC,CTB 0.001ug/ml,CTB 0.01ug/ml,CTB 0.1ug/ml,CTB 1ug/ml,CTB 10ug/ml
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,48.86334654,48.01764304,60.28186582,27.33439449,39.77493058
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,43.57866087,22.27515049,16.01206954,92.90049544,46.13978911
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp0,30.37764026,43.92824453,17.98506606,24.55581157,225.8618343
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp8,32.12624608,52.85710714,51.74811935,27.8136013,19.30216652
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,104.496636,19.93967477,37.66195445,73.57884302,120.1160215
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,9.877357196,45.59603714,86.59631624,304.5951931,153.4029736
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,65.82336548,8.34265593,25.94814394,73.29614749,40.36613801
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,64.80262857,50.93657692,58.76323309,49.11956314,62.0130857
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,60.01128572,28.54064571,42.99184422,26.38217426,25.02112196
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,44.95515138,5.298100152,16.19891729,35.65005838,115.669484
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp0,18.01660418,33.06732968,40.42107912,57.74982389,67.9268003
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp8,25.34460234,109.5877368,34.21980817,35.50590228,109.5225606
Fuc(a1-2)Gal(b1-4)Glc(b1-Sp0,21.07953722,37.11592936,68.26406608,58.05341219,451.2690486
Fuc(a1-2)Gal(b1-Sp8,96.24089084,34.50023279,42.29384694,40.97100804,75.69715102
Fuc(a1-3)GlcNAc(b1-Sp8,30.41005827,73.48005445,29.32292623,26.18149513,33.58510482
Fuc(a1-4)GlcNAc(b1-Sp8,39.89503835,22.42801494,27.60220959,36.13501208,52.53631708
Fuc(b1-3)GlcNAc(b1-Sp8,12.5643995,15.32754682,27.46501647,14.53802915,58.67150544
