IUPAC,PNA 0.1ug/ml,PNA 1ug/ml,PNA 10ug/ml,PNA 100ug/ml
Neu5Ac(a2-6)[Gal(b1-3)]GalNAc(a1-Sp14,9.540125,106.19085,3684.134575,11606.8443
Neu5Ac(b2-6)[Gal(b1-3)]GalNAc(a1-Sp8,32.207125,2835.471575,16937.61292,34203.08013
Neu5Ac(a2-6)[Gal(b1-3)]GlcNAc(b1-4)Gal(b1-4)Glc(b1-Sp10,3.697625,23.5965,8.489525,9.514075
Gal(b1-3)GalNAc(a1-Sp8,421.288975,5691.411475,23551.93235,31091.96063
Gal(b1-3)GalNAc(a1-Sp14,15.502325,1216.63345,7750.46125,28746.10478
Gal(b1-3)GalNAc(a1-Sp16,4.747975,549.54155,3862.379025,15653.06923
Gal(b1-3)GalNAc(b1-Sp8,648.0261,5669.557175,29219.9895,32215.66737
Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,182.706325,4686.236075,21456.41625,39167.24438
Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,6.26435,2608.6363,24013.38925,35671.07415
Gal(b1-3)GalNAc(b1-4)Gal(b1-4)Glc(b1-Sp8,607.8764,8535.426,33399.3827,34554.4553
Gal(b1-3)Gal(b1-Sp8,7.649925,11.40535,783.51125,7397.38585
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,17.6415,0.8559,-0.379275,31.424825
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,1.445825,17.062425,4.290125,29.182775
Gal(b1-3)GlcNAc(b1-Sp0,7.664725,17.6908,2.529925,19.170075
Gal(b1-3)GlcNAc(b1-Sp8,1.300725,0.90565,6.799625,12.900625
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,6.093625,10.299125,2.40765,2.06095
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,22.13275,7.606125,0.18215,2.66595
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,5.6366,14.447675,16.66905,-0.774
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,12.022675,4.145125,6.197975,-8.824175
Gal(b1-4)(6S)Glc(b1-Sp0,5.777875,20.15245,6.0422,-5.64925
Gal(b1-4)(6S)Glc(b1-Sp8,19.076275,22.43855,21.213625,13.7116
Gal(b1-4)GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,2.8599,2.564275,601.6481,7494.48895
Gal(b1-4)GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,0.936025,14.093825,3.15905,30.3103
Gal(b1-4)GlcNAc(b1-3)GalNAc(a1-Sp8,18.11255,19.9482,6.3824,1.93805
Gal(b1-4)GlcNAc(b1-3)GalNAc(a1-Sp14,11.363175,11.95995,6.0715,28.633625
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,-1.38995,17.8998,7.861525,-5.0755
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,2.118325,11.544425,10.026125,9.085625
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,9.073225,7.6698,7.766025,12.0509
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,4.92665,13.107225,20.38285,51.39415
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,2.939525,21.4577,8.121825,14.8566
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp8,804.5277,8473.063475,30265.98325,38105.81873
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp14,123.6326,4439.501425,24475.0214,35851.7788
Gal(b1-4)GlcNAc(b1-Sp0,13.543425,0.633625,7.7469,5.949825
Gal(b1-4)GlcNAc(b1-Sp8,9.73935,2.710975,7.418325,11.513175
Gal(b1-4)GlcNAc(b1-Sp23,4.722225,4.23705,4.55495,14.54
Gal(b1-4)Glc(b1-Sp0,6.461875,6.659175,15.180725,686.606475
Gal(b1-4)Glc(b1-Sp8,3.993925,11.574925,10.439025,1006.66115
GlcNAc(a1-3)Gal(b1-4)GlcNAc(b1-Sp8,19.643,9.4326,10.64575,308.642275
GlcNAc(a1-6)Gal(b1-4)GlcNAc(b1-Sp8,4.238125,9.4701,2.7187,12.97515
GlcNAc(b1-2)Gal(b1-3)GalNAc(a1-Sp8,11.7324,16.439925,8.848025,-7.249625
GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc(a1-Sp8,4.3723,17.04385,15.6353,446.358075
GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc(a1-Sp14,-1.5134,22.1123,2.174475,2.963075
GlcNAc(b1-6)[GlcNAc(b1-3)]Gal(b1-4)GlcNAc(b1-Sp8,-1.139725,37.818675,2648.623675,23177.2166
GlcNAc(b1-3)GalNAc(a1-Sp8,13.31225,10.6124,20.883575,13.090175
GlcNAc(b1-3)GalNAc(a1-Sp14,5.7224,-2.041375,0.9238,7.514225
GlcNAc(b1-3)Gal(b1-Sp8,8.401725,10.55115,9.7787,237.19785
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,3.66765,16.565575,4.95605,1607.2053
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp8,1.8525,12.730075,11.6285,2476.84635
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,13.7268,3.7694,18.706325,2432.52315
GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,10.035725,17.081875,14.90795,575.4567
GlcNAc(b1-4)(a1-MDPLys,-7.373325,27.653625,7.193475,29.05695
GlcNAc(b1-6)[GlcNAc(b1-4)]GalNAc(a1-Sp8,-2.4144,28.336875,1.06745,49.779675
GlcNAc(b1-4)Gal(b1-4)GlcNAc(b1-Sp8,-8.027475,15.562075,3.675275,-7.2675
GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,26.85105,15.27565,7.478525,559.24895
GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,35.723125,20.56465,10.903175,623.97195
GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,22.125625,7.332000000000002,6.749425,531.86085
GlcNAc(b1-6)GalNAc(a1-Sp8,11.512225,9.080725,11.994475,226.140075
GlcNAc(b1-6)GalNAc(a1-Sp14,2.11115,20.98425,0.374475,-9.81175
GlcNAc(b1-6)Gal(b1-4)GlcNAc(b1-Sp8,17.854475,18.853325,10.063875,287.913175
Glc(a1-4)Glc(b1-Sp8,22.8522,9.91875,10.8599,13.946575
Glc(a1-4)Glc(a1-Sp8,9.086975,11.912475,11.140925,11.21875
Glc(a1-6)Glc(a1-6)Glc(b1-Sp8,10.040275,23.130675,9.4873,6.14295
Glc(b1-4)Glc(b1-Sp8,-2.1324,22.26245,17.737000000000005,0.308775
Glc(b1-6)Glc(b1-Sp8,8.911,12.45705,9.3023,6.570775
G-ol(a1-Sp8,14.413775,9.7467,27.6965,9.04925
GlcA(a1-Sp8,7.448825,26.30365,8.552075,10.980175
GlcA(b1-Sp8,22.595175,53.6726,53.931025,83.97705
GlcA(b1-3)Gal(b1-Sp8,16.222925,21.607975,7.04005,-27.043925
