IUPAC,VVL (0.1ug/ml),VVL (1ug/ml),VVL (10ug/ml),VVL (100ug/ml)
Fuc(a1-3)GlcNAc(b1-Sp8,8.308327242,2.6441512680000003,10.19258649,5.962865721
Fuc(a1-4)GlcNAc(b1-Sp8,3.567302752,13.69818116,3.7457099169999997,3.8953528110000004
Fuc(b1-3)GlcNAc(b1-Sp8,9.487147551,7.425983679,5.331926157,14.23444194
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,14.19289954,14.55410539,4.991183005,13.68891445
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,1.989636206,8.44522172,8.647606993,3.705752135
(3S)Gal(b1-4)[Fuc(a1-3)]Glc(b1-Sp0,3.0931542010000004,8.095671474,10.60380467,2.143931888
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp0,5.472428262999999,9.158862112000001,10.42143414,15.04685418
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,7.600048523,2.378880517,4.79953406,68.29454701
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,2.732303822,2.2785399319999997,4.438985445,19.69976471
GlcNAc(b1-3)Gal(b1-3)GalNAc(a1-Sp8,16.68130337,3.5861405239999997,5.5564080260000015,10.54381624
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,3.854235977,3.3092050410000002,7.664383097999999,21.67011161
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,5.08388535,2.365039012,9.868184999,134.4162498
GalNAc(a1-3)GalNAc(b1-Sp8,4.073411753999999,12.65891994,16.03631822,1300.344637
GalNAc(a1-3)Gal(b1-Sp8,127.88302069999999,697.4252061000003,2338.369062,2883.725149
GalNAc(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,10.94775835,5.688089286,32.00787227,654.8069555
GalNAc(b1-3)GalNAc(a1-Sp8,1.488082857,2.942773442,5.302502355,9.555722456
GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-Sp8,38.75398781,410.96056960000004,1462.324404,5670.125057
GalNAc(b1-3)Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,25.41621163,151.5416095,1445.187134,2042.3199670000001
GalNAc(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,4.078891135,7.10156922,2.8792792510000003,2.755963847
GalNAc(b1-4)GlcNAc(b1-Sp0,119.9373102,759.5639437000003,815.47684,1330.672695
GalNAc(b1-4)GlcNAc(b1-Sp8,166.94079490000001,769.7464269,1368.263884,889.1756298
Gal(a1-2)Gal(b1-Sp8,13.96273609,1.6694526840000001,7.829525867999999,20.22930699
