IUPAC,LCA (0.1ug/ml),LCA (1ug/ml),LCA (10ug/ml),LCA (100 ug/ml)
(6S)Gal(b1-4)(6S)Glc(b1-Sp8,30.17679999999996,2.4735499999999995,11.935525,17.50524999999999
Neu5Ac(a2-3)(6S)Gal(b1-4)GlcNAc(b1-Sp8,0.6982000000000035,6.6927499999999975,1.1402499999999964,11.58605
(6S)GlcNAc(b1-Sp8,6.570100000000003,7.037874999999998,6.792925000000002,3.853300000000001
"Neu5,9Ac2(a1-Sp8",3.64495,-0.7808750000000009,12.999699999999995,7.2028250000000025
"Neu5,9Ac2(a2-6)Gal(b1-4)GlcNAc(b1-Sp8",8.830075000000003,2.901025,-3.780124999999998,-3.396625000000001
Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,19.707225,16.44525,198.0614,437.742525
Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,41.77142500000001,29.745325,1298.6712749999995,4535.5852
GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,20.202175000000004,14.644925000000002,346.35385,5240.134674999998
GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,21.115375,118.929875,6195.444575000001,27791.816525
Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,1.900249999999998,6.336399999999998,33.344500000000004,74.29317499999998
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,-3.698575,9.082375,17.3238,34.026774999999994
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,4.043249999999997,1.8542500000000004,33.3472,237.65075
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)M(an-a)(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp21,1.2789,1.936375,17.913549999999994,55.28862500000001
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp24,29.73860000000001,14.828325,36.00870000000001,186.305425
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-Sp9,33.154599999999995,15.393500000000005,20.0059,40.089125
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp9,5.875225,3.173,13.685625,40.9372
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,8.866849999999998,2.2658,3.060850000000001,2.185175
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp8,10.259549999999997,11.155225000000002,7.831325000000008,0.724400000000001
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp14,0.6135999999999981,6.080400000000001,6.915725,13.696075
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,14.266375000000005,8.27545,-1.0019750000000016,0.9555000000000008
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp9,14.402074999999995,3.261700000000001,7.534474999999995,6.294449999999998
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,5.93895,4.7954500000000015,3.3723500000000013,7.5207
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,-10.38795,17.3602,14.24625,3.690675000000008
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp0,1.3697750000000006,-1.12115,12.649925,-8.0128
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp8,17.636749999999992,9.016324999999998,15.634799999999998,4.441474999999999
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,2.402925,-0.4628250000000014,4.064299999999999,9.430250000000004
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,10.982825,6.238374999999998,16.155699999999996,19.276225
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,10.362925000000002,17.891800000000007,11.838499999999998,-0.16537500000000094
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,6.172675000000003,9.598924999999994,10.93265,21.110375
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,-6.934824999999997,0.8071249999999974,10.57285,10.927825
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,6.560974999999999,9.67375,8.64795,11.273649999999998
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp0,1.605224999999999,8.037624999999998,14.240375,5.539050000000001
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp8,12.321150000000005,6.091375000000008,5.656150000000002,-2.108575
Fuc(a1-2)Gal(b1-4)Glc(b1-Sp0,52.012,12.256725,12.225524999999996,12.766950000000007
Fuc(a1-2)Gal(b1-Sp8,7.788125,8.892000000000003,6.7082250000000005,5.9202749999999975
Fuc(a1-3)GlcNAc(b1-Sp8,7.974050000000003,-2.904674999999997,4.772450000000003,-0.07442499999999974
Fuc(a1-4)GlcNAc(b1-Sp8,9.25065,-0.646374999999999,-2.4273750000000014,2.0715000000000003
Fuc(b1-3)GlcNAc(b1-Sp8,9.676799999999997,4.072075,-2.149500000000001,3.124675
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,-4.360150000000001,1.9377000000000013,2.6415000000000006,-4.362075000000001
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,31.143525000000004,17.851049999999994,16.983675,48.29787500000001
(3S)Gal(b1-4)[Fuc(a1-3)]Glc(b1-Sp0,8.992424999999997,8.362425000000002,11.671924999999995,1.3255000000000017
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp0,-2.6004249999999995,3.5491750000000013,-0.6011250000000006,18.084924999999995
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,-8.357599999999998,3.1976,-1.1401250000000012,2.694025
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,5.6971250000000015,3.234,8.926300000000003,0.5696249999999985
GlcNAc(b1-3)Gal(b1-3)GalNAc(a1-Sp8,2.1735500000000005,-0.15004999999999846,-3.034724999999998,12.542550000000002
