IUPAC,Gal-3C (0.5ug/ml),Gal-3C (2ug/ml),Gal-3C (5ug/ml),Gal-3C (20ug/ml),Gal-3C (50ug/ml)
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,9.35115,12.408775,18.347275,10.453949999999997,16.32835
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,21.0676,329.672025,912.745375,3423.999325000001,6750.6264500000025
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,45.30925000000001,613.2848999999999,1437.6598749999994,5577.478125000002,9892.960325
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp0,7.0202,9.081125,25.165975,14.381125,6.604975
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp8,16.263675,12.363799999999996,37.40002500000001,102.68245,101.665975
Fuc(a1-2)Gal(b1-4)Glc(b1-Sp0,7.677824999999999,17.53315,16.0068,24.89245,29.789800000000003
Fuc(a1-2)Gal(b1-Sp8,19.230525,21.793075,30.056175,45.02914999999999,42.03434999999999
Fuc(a1-3)GlcNAc(b1-Sp8,8.975750000000003,24.854099999999995,16.283974999999998,9.18475,16.900274999999993
Fuc(a1-4)GlcNAc(b1-Sp8,26.422825,15.055250000000004,45.481350000000006,22.523825,34.78627500000002
Fuc(b1-3)GlcNAc(b1-Sp8,6.0054250000000025,10.274425,34.298125,25.116825,19.751875
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,18.700250000000004,31.5984,56.462775,343.552375,1302.498725
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,41.23690000000001,43.494325,37.950575,32.997775,70.69967500000001
(3S)Gal(b1-4)[Fuc(a1-3)]Glc(b1-Sp0,14.08195,13.800825,29.140325,14.205449999999995,11.601875
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp0,36.2201,221.48580000000004,415.67975,1549.9777250000006,4286.684975
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,13.98135,246.97352500000005,765.234075,3022.161375,6412.7707999999975
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,22.353525000000005,16.056525,78.60055,322.59262499999994,1187.650475
