IUPAC,LFA(EY Lab) (1ug/ml),LFA (EY Lab)  (10ug/ml),LFA(EY Lab) (100ug/ml)
GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp14,194.7373,32.526824999999995,385.22855
Neu5Ac(a2-6)[Gal(b1-3)]GalNAc(a1-Sp8,92.34635,70.7663,101.87914999999998
Neu5Ac(a2-6)[Gal(b1-3)]GalNAc(a1-Sp14,48.18117500000001,60.20335000000001,284.20099999999996
Neu5Ac(b2-6)[Gal(b1-3)]GalNAc(a1-Sp8,93.87165000000002,89.36097500000002,91.608725
Neu5Ac(a2-6)[Gal(b1-3)]GlcNAc(b1-4)Gal(b1-4)Glc(b1-Sp10,48.07965,33.96455,56.710475
Gal(b1-3)GalNAc(a1-Sp8,951.9200500000003,5.855050000000006,1020.271825
Gal(b1-3)GalNAc(a1-Sp14,72.347275,49.098725000000016,109.53825
Gal(b1-3)GalNAc(a1-Sp16,153.18402500000005,50.1271,202.865525
Gal(b1-3)GalNAc(b1-Sp8,10.273200000000003,38.824425,78.88885000000002
Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,38.9717,38.58150000000001,58.40135000000002
Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,15.137749999999995,14.157300000000005,66.37527499999999
Gal(b1-3)GalNAc(b1-4)Gal(b1-4)Glc(b1-Sp8,24.23129999999999,38.29830000000001,17.962049999999987
Gal(b1-3)Gal(b1-Sp8,22.77185000000001,16.815925,64.03015
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,16.545325,11.7387,33.087275000000005
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,12.550075000000005,26.71045,160.20789999999994
Gal(b1-3)GlcNAc(b1-Sp0,7.602474999999997,12.847250000000004,16.999799999999997
Gal(b1-3)GlcNAc(b1-Sp8,29.902725,27.03055,75.5052
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,55.580750000000016,11.881849999999995,94.12125
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,28.50015,12.526699999999998,64.757075
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,27.009775000000005,59.41475,44.3282
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,54.89989999999999,33.38204999999999,36.54217499999999
