IUPAC,AOL (Mahal Lab) (0.1ug/ml),AOL (Mahal Lab) (1ug/ml),AOL (Mahal Lab) (10ug/ml),AOL (100ug/ml)
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,222.5643,1152.7489,4504.8158250000015,8191.797325
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,1200.299175,5878.105225,16566.609375,21030.037875
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(a1-Sp0,17.79795,84.414925,404.16487500000005,1606.16355
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,118.3725,695.2476499999997,1027.803775,2374.1912
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,2141.951525,9929.771275,18902.634025,16760.662074999997
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,2373.1991499999995,14359.06485,21789.970775,21976.454125
Gal(a1-4)[Gal(a1-3)]Gal(b1-4)GlcNAc(b1-Sp8,40.873225,20.908525,28.715050000000005,29.435725
Gal(a1-3)GalNAc(a1-Sp8,69.72115000000001,92.250325,73.99097499999998,61.955075
Gal(a1-3)GalNAc(a1-Sp16,13.443074999999995,29.078575000000008,31.5468,27.054425000000005
Gal(a1-3)GalNAc(b1-Sp8,7.576224999999999,6.0606500000000025,7.625874999999998,14.520025000000002
Gal(a1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,575.2739750000002,3551.237475,13965.178675,14530.590525
Gal(a1-3)Gal(b1-3)GlcNAc(b1-Sp0,12.625475,8.796975,15.198475000000002,47.66589999999999
Gal(a1-3)Gal(b1-4)GlcNAc(b1-Sp8,3.95055,14.673099999999994,8.025974999999999,12.595275
Gal(a1-3)Gal(b1-4)Glc(b1-Sp0,22.345274999999994,18.344375,19.175925,26.452425
Gal(a1-3)Gal(b1-4)Glc(a1-Sp10,6.586050000000002,17.039074999999997,10.635925000000002,18.380175
Gal(a1-3)Gal(b1-Sp8,6.527899999999998,10.84815,16.968650000000004,17.464574999999996
Gal(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,1505.2594749999994,9142.5775,17774.8399,22417.181
Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,18.592575,83.35239999999997,484.313325,933.644225
Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp8,16.776099999999992,15.939700000000002,8.009475000000002,18.556775
Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,42.63142500000001,26.378325,21.52905,70.48304999999998
Gal(a1-4)GlcNAc(b1-Sp8,18.32405,15.510125000000002,21.998200000000004,16.804049999999997
Gal(a1-6)Glc(b1-Sp8,12.613825,13.0752,23.606925,15.8457
Gal(b1-2)Gal(b1-Sp8,7.8688249999999975,4.974500000000001,16.516399999999994,68.173875
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,1941.196375,10148.3434,17576.930699999994,15129.2
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,1550.7985,6605.45095,16530.475250000003,19612.632275000004
Gal(b1-3)[Fuc(a1-4)]GlcNAc(a1-Sp0,1783.6046250000006,7851.7669,15000.444399999995,13824.900125000006
Gal(b1-3)[Fuc(a1-4)]GlcNAc(a1-Sp8 ,1704.7352749999993,8240.17785,14333.837450000005,16090.542325
Fuc(a1-4)[Gal(b1-3)]GlcNAc(b1-Sp8,1949.6173,9321.80565,16670.912125,14716.417199999994
Gal(b1-4)GlcNAc(b1-6)GalNAc(a1-Sp8,26.128725,29.32815,20.608325000000008,19.382900000000006
Gal(b1-4)GlcNAc(b1-6)GalNAc(a1-Sp14,31.519675,27.035375,22.206225000000003,47.00310000000002
GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp8,51.977,145.246125,204.01505,733.23035
GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp14,2.58145,3.836100000000002,-1.243450000000001,2.1517750000000007
Neu5Ac(a2-6)[Gal(b1-3)]GalNAc(a1-Sp8,8.301175,0.3986749999999999,11.088449999999998,13.823825000000005
Neu5Ac(a2-6)[Gal(b1-3)]GalNAc(a1-Sp14,14.453674999999995,10.090075000000002,7.564449999999999,4.023225
Neu5Ac(b2-6)[Gal(b1-3)]GalNAc(a1-Sp8,-0.16335000000000302,3.63865,6.2532,12.916925
Neu5Ac(a2-6)[Gal(b1-3)]GlcNAc(b1-4)Gal(b1-4)Glc(b1-Sp10,13.4129,12.630225,4.530125,43.771325
Gal(b1-3)GalNAc(a1-Sp8,11.888525000000007,4.6045250000000015,16.796750000000007,31.28197500000001
Gal(b1-3)GalNAc(a1-Sp14,1.5204750000000002,4.5619,9.289224999999998,4.008175000000001
Gal(b1-3)GalNAc(a1-Sp16,29.9011,4.1691249999999975,10.94925,26.887699999999995
Gal(b1-3)GalNAc(b1-Sp8,13.271375,18.40905,21.105075,14.052125000000006
Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,19.080725,21.452825,4.342575000000002,36.514575
