IUPAC,LEL (0.1ug/ml),LEL (1ug/ml),LEL (10ug/ml),LEL (100 ug/ml)
Gal(b1-3)GalNAc(b1-4)Gal(b1-4)Glc(b1-Sp8,11.530675000000002,6.5612,18.683975,84.4046
Gal(b1-3)Gal(b1-Sp8,7.78335,4.896575,4.164050000000001,2.9243500000000004
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,-2.676875,1342.9622,11961.048475000005,19838.77125
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,2.162699999999999,2.0630499999999987,3.2368999999999986,20.567375
Gal(b1-3)GlcNAc(b1-Sp0,5.612424999999997,14.521124999999998,3.641175,5.209000000000001
Gal(b1-3)GlcNAc(b1-Sp8,6.187775,7.0385500000000025,0.8527750000000003,6.689025000000001
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,5.3248750000000005,-2.4799500000000005,5.3658,12.601175
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,11.02135,5.509550000000001,6.57615,13.224724999999996
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,13.242925,16.1726,20.01765,16.524575000000006
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,3.1671000000000005,14.393675,7.0905000000000005,22.759275
Gal(b1-4)(6S)Glc(b1-Sp0,16.584150000000008,3.82185,1.1328749999999983,56.56385
Gal(b1-4)(6S)Glc(b1-Sp8,6.443224999999997,12.39625,13.498699999999996,26.11325
Gal(b1-4)GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,7.414524999999998,522.421425,13300.582825,23393.08462500001
Gal(b1-4)GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,2.8529249999999986,856.58215,12319.274775000002,23262.76115
Gal(b1-4)GlcNAc(b1-3)GalNAc(a1-Sp8,4.777999999999999,2.99325,4.461574999999995,14.694675000000005
Gal(b1-4)GlcNAc(b1-3)GalNAc(a1-Sp14,6.251200000000001,-1.827275,7.844925,30.3213
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,19.094449999999995,24.923874999999995,18.983625000000004,24.03987500000001
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,21.299175000000005,3038.568075,27367.615625,32375.888750000016
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,29.071274999999986,4999.239099999999,35120.867875,31540.618975000005
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,6.488225000000003,6.034849999999999,113.228025,3355.333225000001
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,13.818225000000005,13.864975,63.12897500000001,2193.7926250000005
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp8,5.666899999999997,8.192900000000005,300.7712,5683.457725
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp14,8.956324999999998,8.420725000000003,9.082225,63.12725000000001
Gal(b1-4)GlcNAc(b1-Sp0,5.582799999999999,916.7022499999997,6117.215149999997,16466.813175000007
Gal(b1-4)GlcNAc(b1-Sp8,70.97707500000001,5830.3864749999975,24561.88647500001,30778.777375
Gal(b1-4)GlcNAc(b1-Sp23,19.630075,1758.8932,18517.776975,24487.33135
Gal(b1-4)Glc(b1-Sp0,15.432625000000002,1.5328999999999997,2.7057750000000014,7.429275
Gal(b1-4)Glc(b1-Sp8,7.017724999999999,4.41375,8.097649999999998,25.87565
GlcNAc(a1-3)Gal(b1-4)GlcNAc(b1-Sp8,47.60875,5346.354224999999,28035.684225000005,30270.45975
GlcNAc(a1-6)Gal(b1-4)GlcNAc(b1-Sp8,6.970424999999999,9.08655,0.07792500000000048,14.407325
GlcNAc(b1-2)Gal(b1-3)GalNAc(a1-Sp8,12.849549999999995,1.544499999999999,3.5584999999999987,6.2375
GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc(a1-Sp8,-2.1503749999999995,10.880475000000002,8.954699999999997,13.752049999999995
GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc(a1-Sp14,15.6987,10.98475,2.8627749999999987,24.61900000000001
GlcNAc(b1-6)[GlcNAc(b1-3)]Gal(b1-4)GlcNAc(b1-Sp8,3.823800000000001,0.3078000000000003,-1.075,51.93397499999999
GlcNAc(b1-3)GalNAc(a1-Sp8,-1.0915749999999995,0.9230500000000008,14.465199999999996,6.398925
GlcNAc(b1-3)GalNAc(a1-Sp14,4.412624999999999,6.741200000000003,4.579675000000003,14.089450000000005
GlcNAc(b1-3)Gal(b1-Sp8,10.784125,6.2201,6.119550000000002,4.300999999999998
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,6.993625,2919.541725,20749.578975000004,28183.340575
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp8,65.00605,3868.476225,25878.213499999994,27595.188275
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,23.786149999999992,3175.17225,29534.0549,33112.9386
GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,2.131275,0.22314999999999865,21.12905,7.073825000000001
GlcNAc(b1-4)(a1-MDPLys,7.987099999999997,0.2788999999999984,1.7876499999999993,7.0724750000000025
GlcNAc(b1-6)[GlcNAc(b1-4)]GalNAc(a1-Sp8,1.9403249999999987,-0.4548750000000013,7.899899999999998,3.9163249999999987
GlcNAc(b1-4)Gal(b1-4)GlcNAc(b1-Sp8,9.045649999999998,4737.729475,26158.005175,32880.43635
GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,400.61322500000006,8047.805474999997,28435.598474999995,27836.16625
GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,442.71585,10596.538275,26518.09745,27843.035375
GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,364.88765,10705.532475000004,34262.1724,34021.948274999995
GlcNAc(b1-6)GalNAc(a1-Sp8,1.334375,7.4594,8.183525,15.630750000000004
GlcNAc(b1-6)GalNAc(a1-Sp14,2.6563750000000006,6.26295,13.15365,12.445549999999995
GlcNAc(b1-6)Gal(b1-4)GlcNAc(b1-Sp8,13.587775,7.05625,20.93625,21.752475000000004
Glc(a1-4)Glc(b1-Sp8,17.39745,10.0947,17.167025,14.918249999999995
Glc(a1-4)Glc(a1-Sp8,16.546075,8.185150000000002,11.964275,11.800925
Glc(a1-6)Glc(a1-6)Glc(b1-Sp8,3.2189999999999994,9.200650000000003,2.9066000000000014,3.1827500000000017
Glc(b1-4)Glc(b1-Sp8,16.163849999999996,17.453725,5.172599999999999,10.679125
Glc(b1-6)Glc(b1-Sp8,20.3949,2.6484749999999977,10.578874999999996,21.66767500000001
G-ol(a1-Sp8,9.034600000000003,10.741949999999996,14.273700000000002,6.993125
GlcA(a1-Sp8,9.668924999999998,0.7709750000000026,6.299924999999997,7.88625
GlcA(b1-Sp8,29.202275,52.702625,55.27507500000001,186.975325
GlcA(b1-3)Gal(b1-Sp8,6.517674999999999,8.792925000000002,3.235925,23.236374999999995
GlcA(b1-6)Gal(b1-Sp8,-0.5550250000000005,22.861725,2.5498999999999974,28.004375
KDN(a2-3)Gal(b1-3)GlcNAc(b1-Sp0,32.13465,10.736625,106.84962499999996,117.32067500000002
KDN(a2-3)Gal(b1-4)GlcNAc(b1-Sp0,173.506625,13852.362925,31406.882524999994,30333.896899999985
Man(a1-2)Man(a1-2)Man(a1-3)Man(a1-Sp9,10.66245,7.8735,14.956649999999998,19.199175000000004
Man(a1-2)Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-Sp9,5.744649999999997,2.04325,17.438100000000002,11.25745
Man(a1-2)Man(a1-3)Man(a1-Sp9,2.363575000000001,5.663125,20.25645,0.9606499999999976
