IUPAC,AAA (0.1ug/ml),AAA (1ug/ml),AAA (10ug/ml),AAA (100ug/ml)
Fuc(a1-3)GlcNAc(b1-Sp8,9.785275,-5.7223000000000015,14.50965,64.950725
Fuc(a1-4)GlcNAc(b1-Sp8,1.3717499999999996,-3.136875,5.751225,8.89175
Fuc(b1-3)GlcNAc(b1-Sp8,8.107075,0.6279249999999994,5.3629999999999995,9.1109
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,8.579749999999999,-2.108925,10.731775000000004,17.957750000000004
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,12.724474999999998,12.144925,71.356925,21.74535
(3S)Gal(b1-4)[Fuc(a1-3)]Glc(b1-Sp0,4.211825000000002,1.6106500000000017,12.440049999999998,135.981325
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp0,0.5691499999999996,-5.641400000000001,11.243075,1336.0258
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,10.266000000000002,3.127200000000001,63.186325,3262.66425
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,6.191824999999998,-2.4420249999999983,16.486774999999998,28.632300000000004
GlcNAc(b1-3)Gal(b1-3)GalNAc(a1-Sp8,23.79450000000001,8.313099999999999,24.644625,21.6344
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,9.300525,0.09135000000000026,-3.36055,39.957525
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,11.905625,-2.8615000000000013,2.586824999999997,27.404249999999994
GalNAc(a1-3)GalNAc(b1-Sp8,9.249074999999998,-1.8232749999999989,-1.9860749999999987,38.88627500000001
GalNAc(a1-3)Gal(b1-Sp8,0.18469999999999945,-1.7840499999999988,3.157425,261.199375
GalNAc(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,60.750825000000006,1485.6860000000001,3529.748025,37602.8418
GalNAc(b1-3)GalNAc(a1-Sp8,1.895150000000001,-6.946499999999999,7.005825000000002,21.351550000000003
GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-Sp8,12.104350000000007,-0.9577249999999982,16.811275000000002,34.53577500000001
GalNAc(b1-3)Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,2.2211,-7.672725,10.965650000000005,114.271275
GalNAc(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,40.88319999999999,71.69502500000002,198.47755,3614.850525
GalNAc(b1-4)GlcNAc(b1-Sp0,53.7815,627.2527999999999,5929.2534,36597.37390000001
GalNAc(b1-4)GlcNAc(b1-Sp8,170.581975,1563.458125,3220.452200000001,38146.04205
Gal(a1-2)Gal(b1-Sp8,14.377724999999998,3.496725,11.570949999999993,89.525175
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,8.532750000000002,8.6248,7.706174999999997,236.16285
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp8,47.7731,21.616375,29.7689,228.57514999999995
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,41.445275,19.279875,33.398875,65.88659999999999
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,12.234849999999998,17.466949999999994,32.69415,326.08517499999994
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(a1-Sp0,4.3543,12.7381,10.595775,196.301425
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,5.9098500000000005,2.349899999999998,12.747800000000002,74.5666
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,7.516925,4.671575000000002,13.849299999999998,72.49360000000001
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,5.552949999999997,-4.52445,3.3519750000000013,38.85617500000001
Gal(a1-4)[Gal(a1-3)]Gal(b1-4)GlcNAc(b1-Sp8,13.4332,-1.0551500000000011,51.041500000000006,2636.158100000001
Gal(a1-3)GalNAc(a1-Sp8,7.651824999999995,1.070525,48.170975,100.684625
Gal(a1-3)GalNAc(a1-Sp16,10.23685,-7.30265,48.474775,27.199200000000005
Gal(a1-3)GalNAc(b1-Sp8,10.025749999999997,-1.2696000000000005,11.172524999999998,34.088775
Gal(a1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,9.139500000000002,0.8335250000000007,11.333725000000005,69.94915000000002
Gal(a1-3)Gal(b1-3)GlcNAc(b1-Sp0,7.169749999999999,0.13409999999999833,8.005975000000001,162.62655
Gal(a1-3)Gal(b1-4)GlcNAc(b1-Sp8,4.5262750000000045,-4.033350000000002,4.21,63.324125
Gal(a1-3)Gal(b1-4)Glc(b1-Sp0,6.42775,-3.8086249999999975,3.924025,60.607675
Gal(a1-3)Gal(b1-4)Glc(a1-Sp10,17.505225000000006,-9.163775,17.57405,29.945950000000003
Gal(a1-3)Gal(b1-Sp8,10.767575,-2.4400250000000003,8.639575,95.32545
Gal(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,17.436099999999996,-3.643275000000002,5.346449999999999,335.1892749999999
Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,24.048950000000005,2.372850000000001,38.508125,39.11257499999999
Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp8,10.961875,-4.6175250000000005,20.617549999999994,174.286225
Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,26.76665000000001,-3.373899999999999,32.80985,26.374274999999994
Gal(a1-4)GlcNAc(b1-Sp8,0.07752500000000051,0.13587499999999775,3.989674999999997,67.97392499999998
Gal(a1-6)Glc(b1-Sp8,8.4852,3.2989,15.585449999999998,46.790625
Gal(b1-2)Gal(b1-Sp8,13.2706,-0.9304750000000012,13.363500000000007,100.24957500000002
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,15.74565,3.73385,29.987025,-1.4418000000000006
