IUPAC,TL(EY Lab) (1ug/ml),TL(EY Lab) (3ug/ml),TL(EY Lab) (10ug/ml),TL(EY Lab) (100ug/ml)
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp0 ,6.391899999999998,1.4890249999999998,0.7263750000000009,31.466
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp8,1.7037749999999994,6.285999999999996,-2.171499999999999,1.4314500000000008
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,-0.9784249999999995,-7.224025000000001,6.46525,12.443525
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8,6.137474999999999,1.1278750000000013,0.06082499999999946,7.557749999999999
(3S)Gal(b1-4)GlcNAc(b1-Sp0,7.375024999999999,3.2181749999999987,6.122575,2.2292750000000003
(3S)Gal(b1-4)GlcNAc(b1-Sp8,2.9843499999999987,3.160375,-2.700575,6.901200000000002
(3S)Gal(b1-Sp8,5.8143499999999975,-2.0470750000000004,-1.017974999999999,-0.9720249999999988
(6S)(4S)Gal(b1-4)GlcNAc(b1-Sp0,7.1091000000000015,5.189950000000001,2.085625,5.284950000000001
(4S)Gal(b1-4)GlcNAc(b1-Sp8,2.5289750000000017,1.9108750000000008,4.243175000000001,3.9646
(6P)Man(a1-Sp8,7.761899999999999,1.6411250000000006,2.980299999999999,3.631425
(6S)Gal(b1-4)Glc(b1-Sp0,5.357999999999999,4.397424999999998,7.252749999999999,6.498000000000001
(6S)Gal(b1-4)Glc(b1-Sp8,4.347874999999998,1.5069499999999998,7.255675,5.8875
(6S)Gal(b1-4)GlcNAc(b1-Sp8,7.830599999999999,1.335725,8.169849999999999,-3.750075
(6S)Gal(b1-4)(6S)Glc(b1-Sp8,1.874175,1.0651500000000012,-5.4477249999999975,-0.29157499999999903
Neu5Ac(a2-3)(6S)Gal(b1-4)GlcNAc(b1-Sp8,2.4902999999999977,0.39215,14.323349999999998,1.6691000000000011
(6S)GlcNAc(b1-Sp8,-0.1530749999999994,5.3392750000000015,2.12665,11.095625
"Neu5,9Ac2(a1-Sp8",4.428075,-4.645199999999999,3.427525000000001,-1.3088500000000003
"Neu5,9Ac2(a2-6)Gal(b1-4)GlcNAc(b1-Sp8",9.258875000000002,-8.20075,1.1759499999999985,1.94125
Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,1.9696250000000008,12.1052,3.624225,94.66402499999998
Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,24.541000000000004,6.430850000000002,40.97109999999999,394.0142000000001
GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,20.409524999999995,7.0751250000000026,1178.660875,6588.295725
GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,1041.5970250000003,11349.40285,31473.902074999984,40206.857525
Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,303.77855,2596.64905,18212.4346,31521.034200000016
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,7.306175,18.487800000000007,4303.0384749999985,21659.043625
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,16.68875,856.3212749999999,11024.014024999995,31115.6158
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)M(an-a)(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp21,11.283025000000002,490.15985,10912.4863,28790.64285
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp24,30.72929999999999,390.86005,6983.184449999998,28237.24245
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-Sp9,10.837775,3.335024999999998,13.057750000000004,27.365475
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp9,8.891124999999997,12.270275000000002,-0.5500749999999996,8.671725
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,5.632675,1.5570999999999993,5.184075000000003,5.656500000000001
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp8,1.9119000000000008,-1.375,-1.4410499999999995,3.835049999999999
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp14,-0.16487500000000033,9.5817,0.481725,-2.7026250000000003
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,6.8773500000000025,-1.8160750000000003,-1.0947749999999998,11.914450000000002
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp9,0.7650999999999999,-2.371925,1.0146499999999996,2.628524999999999
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,6.011625,6.1085249999999975,4.92385,5.83245
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,1.974525,-0.6970500000000008,5.999624999999997,0.1974750000000008
