IUPAC,ConA 0.1ug/ml,ConA 0.5ug/ml,ConA 1ug/ml,ConA 10ug/ml,ConA 50ug/ml,ConA 100ug/ml 
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp9,5.458325000000002,-10.75775,14.52835,26.440149999999992,-43.0553,-3.910475000000005
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,3.928975,-2.446274999999999,1.4097250000000008,12.71735,-9.482525,-6.5227
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp8,-8.18645,2.710049999999999,1.0732999999999997,-0.9290499999999896,-6.310225000000006,-10.718150000000003
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp14,10.6321,0.8599750000000004,9.678874999999998,94.708275,326.398125,602.6974
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,3.4366499999999984,5.9113250000000015,9.676474999999998,34.24652500000002,69.72534999999999,167.11849999999995
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp9,-3.2341499999999983,-1.5896749999999995,0.13837499999999991,15.427975000000005,37.679800000000014,-31.11162499999999
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,3.95955,7.231024999999999,10.09015,287.530475,-8.869125,43.19777500000001
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,-2.7088250000000014,-1.2013250000000006,-6.6748749999999974,37.175525,27.674225,24.279349999999994
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp0,0.13792500000000274,1.9052250000000013,7.058575000000001,8.880849999999997,-28.483699999999995,34.709650000000074
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp8,-3.5355500000000024,-6.5916000000000015,7.025949999999997,20.88295,-27.92685,-42.620975
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,2.422200000000002,3.621174999999997,4.637125000000001,6.3739500000000024,-27.14102500000001,61.88350000000001
