IUPAC,PSL 0.1ug/ml,PSL 1ug/ml,PSL 10ug/ml,PSL 100ug/ml
Fuc(b1-3)GlcNAc(b1-Sp8,3.4317749999999987,17.962874999999997,0.1700499999999998,23.701699999999967
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,3.767224999999999,2.424475,4.030849999999998,19.204875
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,12.978324999999998,11.494700000000002,8.344450000000002,18.54735
(3S)Gal(b1-4)[Fuc(a1-3)]Glc(b1-Sp0,3.2073500000000017,3.91015,-2.069825,6.589050000000004
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp0,8.608274999999999,3.537075,1.863225,4.655500000000002
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,3.2438499999999992,2.623775,7.598775000000002,2.328025
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,1.8481499999999984,3.3812750000000005,8.097324999999996,20.891525
GlcNAc(b1-3)Gal(b1-3)GalNAc(a1-Sp8,9.103,3.2077500000000008,8.300175000000001,29.185524999999995
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,2.6404,16.989224999999998,7.016374999999999,-0.5540999999999991
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,-2.35755,1.6816750000000011,1.4820749999999996,3.860625
GalNAc(a1-3)GalNAc(b1-Sp8,6.207925,8.532799999999998,-5.539299999999997,-4.034500000000001
GalNAc(a1-3)Gal(b1-Sp8,4.1305000000000005,-1.6987249999999996,27.90152500000002,32.268100000000004
GalNAc(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,1.4587749999999997,2.453825,-2.6345250000000022,10.19847500000003
GalNAc(b1-3)GalNAc(a1-Sp8,3.970649999999999,6.519300000000001,4.619024999999999,15.395475000000005
GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-Sp8,5.810324999999999,3.5175,4.2665000000000015,7.024700000000001
GalNAc(b1-3)Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,-0.5604499999999994,1.4308250000000022,2.8765250000000013,6.206
GalNAc(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,6.2377499999999975,8.520575000000001,-1.8693499999999983,24.2947
GalNAc(b1-4)GlcNAc(b1-Sp0,1.844975,4.327225000000001,1.6629999999999994,45.706100000000006
GalNAc(b1-4)GlcNAc(b1-Sp8,4.66305,3.0765000000000016,-1.5290499999999991,6.209
Gal(a1-2)Gal(b1-Sp8,8.2494,6.983475000000006,9.678999999999998,32.374175
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,5.6515,7.3974,2.883250000000001,7.977550000000001
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp8,9.421575,8.726925000000001,3.629550000000002,14.855050000000006
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,4.671800000000003,3.68595,4.771499999999998,5.952124999999998
