IUPAC,EEL (0.1ug/ml),EEL (1ug/ml),EEL (10ug/ml),EEL (100ug/ml)
GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,4.727837449528767,1.7080912843970857,7.160546504748548,3.2714237128758885
GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,5.286222068106237,10.9998949149526,8.854313607502279,8.210057885707426
Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,3.5846289258210997,3.792287998359297,7.69170358952857,4.713913272696053
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,2.2240729070408944,6.545757276982296,2.7089649688580346,7.878215467138902
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,5.577461451233883,7.514470510510591,2.2693742081610635,3.3558783424264176
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)M(an-a)(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp21,8.464811304256381,2.9248596923613297,5.315232780728733,3.343864021731944
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp24,6.340691937267837,2.9808623461452712,4.766215848028717,3.65941104129704
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-Sp9,0.8435260176781714,7.616477553742706,7.9688507483827316,0.9359055343177906
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp9,6.3260718970516505,2.4970431212068966,5.9038310061490336,4.331969463092551
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,3.0129436154697604,4.026980858741034,6.3234778281021775,6.267394369472853
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp8,5.979479848267182,4.871219213913491,5.736034223805385,10.01024998834528
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp14,5.19981399499058,19.277684601351034,3.3006557574467936,4.396866085823703
