IUPAC,DBA (0.1ug/ml),DBA (10ug/ml),DBA (100 ug/ml)
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,23.353575,24.593575,12.74695
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,34.4713,6.616725,15.84205
Gal(b1-4)(6S)Glc(b1-Sp0,-2.46645,-8.32615,-8.878325
Gal(b1-4)(6S)Glc(b1-Sp8,10.040575,16.89045,15.148475
Gal(b1-4)GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,8.872175,-6.293325,-5.668525
Gal(b1-4)GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,-8.82145,36.48695,-5.567
Gal(b1-4)GlcNAc(b1-3)GalNAc(a1-Sp8,1.8371,-3.990125,5.120175
Gal(b1-4)GlcNAc(b1-3)GalNAc(a1-Sp14,-15.456725,-4.844475,-9.645575
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,8.040925,13.248175,18.814475
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,-11.031225,-6.90465,-29.334025
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,3.91955,5.112675,9.975125
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,2.51205,-15.2668,-22.49925
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,7.657475,-0.64015,6.947425
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp8,1.8519,40.291375,5.905625
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp14,3.188875,4.12275,6.61155
Gal(b1-4)GlcNAc(b1-Sp0,22.708025,20.06885,3.4533
Gal(b1-4)GlcNAc(b1-Sp8,4.140625,-4.527925,-4.6008
Gal(b1-4)GlcNAc(b1-Sp23,1.052175,-9.0025,-10.327075
Gal(b1-4)Glc(b1-Sp0,3.738575,-1.673675,7.661025
Gal(b1-4)Glc(b1-Sp8,12.205825,-1.50495,10.530325
GlcNAc(a1-3)Gal(b1-4)GlcNAc(b1-Sp8,-7.733125,-9.743925,-4.633125
GlcNAc(a1-6)Gal(b1-4)GlcNAc(b1-Sp8,2.559325,-4.118925,14.180425
GlcNAc(b1-2)Gal(b1-3)GalNAc(a1-Sp8,10.217,12.634125,7.4446
GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc(a1-Sp8,5.067175,-5.049275,7.47715
GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc(a1-Sp14,9.966,10.3523,5.2994
GlcNAc(b1-6)[GlcNAc(b1-3)]Gal(b1-4)GlcNAc(b1-Sp8,-15.0236,-16.16495,-31.934175
GlcNAc(b1-3)GalNAc(a1-Sp8,17.5396,4.496925,-9.178075
GlcNAc(b1-3)GalNAc(a1-Sp14,9.830975,1.90515,8.931475
GlcNAc(b1-3)Gal(b1-Sp8,-3.896775,21.58845,1.5306
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,3.741025,10.35505,6.829425
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp8,-3.39215,-5.18635,-11.705625
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,7.580375,-4.123425,0.17545
GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,-12.4465,1.21695,-14.047675
GlcNAc(b1-4)(a1-MDPLys,9.258525,1.017875,-5.8698
GlcNAc(b1-6)[GlcNAc(b1-4)]GalNAc(a1-Sp8,-18.43585,-12.8755,-11.7553
GlcNAc(b1-4)Gal(b1-4)GlcNAc(b1-Sp8,-6.49995,-0.201725,-8.805575
GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,15.607125,19.80135,3.6687
GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,-2.291825,-12.418425,11.943125
GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,11.645375,3.127575,12.4499
GlcNAc(b1-6)GalNAc(a1-Sp8,3.525975,-13.223325,-9.0633
GlcNAc(b1-6)GalNAc(a1-Sp14,0.345125,20.326675,8.456075
GlcNAc(b1-6)Gal(b1-4)GlcNAc(b1-Sp8,2.892725,3.51065,-0.55075
Glc(a1-4)Glc(b1-Sp8,3.592525,15.62185,31.365
Glc(a1-4)Glc(a1-Sp8,-1.0273,10.2603,9.09845
Glc(a1-6)Glc(a1-6)Glc(b1-Sp8,8.76535,30.30855,-4.738325
Glc(b1-4)Glc(b1-Sp8,4.78835,8.888375,27.449475
Glc(b1-6)Glc(b1-Sp8,18.946025,5.898625,-6.161925
G-ol(a1-Sp8,21.251825,5.111425,13.362675
GlcA(a1-Sp8,-6.44255,34.45495,-10.56495
GlcA(b1-Sp8,33.377775,29.43325,11.542725
GlcA(b1-3)Gal(b1-Sp8,0.240975,2.23575,32.615375
GlcA(b1-6)Gal(b1-Sp8,18.2606,24.29135,5.6825
KDN(a2-3)Gal(b1-3)GlcNAc(b1-Sp0,-12.0413,-14.573875,-65.266325
KDN(a2-3)Gal(b1-4)GlcNAc(b1-Sp0,12.58775,18.95825,-9.211125
Man(a1-2)Man(a1-2)Man(a1-3)Man(a1-Sp9,3.84825,4.023925,-4.096525
Man(a1-2)Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-Sp9,-2.2178,19.930275,-2.418625
Man(a1-2)Man(a1-3)Man(a1-Sp9,4.93665,-7.312575,16.1616
Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,-2.960525,2.027375,-10.3056
Man(a1-2)Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,13.3156,-0.474925,11.222975
Man(a1-2)Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,11.84105,19.327675,38.649825
Man(a1-6)[Man(a1-3)]Man(a1-Sp9,6.63845,-2.117625,1.13625
Man(a1-2)Man(a1-2)Man(a1-6)[Man(a1-3)]Man(a1-Sp9,25.4787,10.78875,19.9081
Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,42.3941,57.719975,40.303
Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,17.279425,36.86345,27.5091
Man(b1-4)GlcNAc(b1-Sp0,11.995625,6.9633,1.444325
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,-1.85765,14.984825,-9.46275
(3S)Gal(b1-4)[Fuc(a1-3)](6S)GlcNAc(b1-Sp8,4.609825,2.74215,1200.05025
Fuc(a1-2)(6S)Gal(b1-4)GlcNAc(b1-Sp0,16.84145,-7.782325,614.81085
Fuc(a1-2)Gal(b1-4)(6S)GlcNAc(b1-Sp8,6.058725,19.949125,1494.4864
Fuc(a1-2)(6S)Gal(b1-4)(6S)Glc(b1-Sp0,28.490975,23.959925,72.778875
Neu5Ac(a2-3)Gal(b1-3)GalNAc(a1-Sp8,-0.052775,-19.45045,-19.139525
Neu5Ac(a2-3)Gal(b1-3)GalNAc(a1-Sp14,-27.503825,-1.72955,-20.1475
GalNAc(b1-4)[Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,13.827225,6.878475,0.05195
GalNAc(b1-4)[Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,7.278,2.93395,8.328725
Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)Glc(b1-Sp0,3.0112,13.822525,-31.1955
GalNAc(b1-4)[Neu5Ac(a2-8)Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,8.305275,-24.152575,-49.8847
Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a1-Sp8,2.350375,7.819975,-5.011975
Neu5Ac(a2-3)(6S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,3.418275,-12.5283,-10.943625
GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)GlcNAc(b1-Sp0,28.794375,577.9273,20901.45118
GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)GlcNAc(b1-Sp8,16.283725,7663.999525,16240.0182
GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,57.59915,10826.00295,22707.84568
Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,3.384025,-4.664925,-3.3886
Neu5Ac(a2-6)[Neu5Ac(a2-3)]GalNAc(a1-Sp8,-5.94665,-28.38745,-10.88845
Neu5Ac(a2-3)GalNAc(a1-Sp8,-10.627225,-28.874875,-21.6203
Neu5Ac(a2-3)GalNAc(b1-4)GlcNAc(b1-Sp0,-2.28775,-14.7805,-18.04825
Neu5Ac(a2-3)Gal(b1-3)(6S)GlcNAc(a1-Sp8,23.7151,42.36985,17.179000000000002
Neu5Ac(a2-3)Gal(b1-3)[ Fuc(a1-4)]GlcNAc(b1-Sp8,12.22845,21.581425,19.468225
Neu5Ac(a2-3)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,14.385375,-1.3039,-6.8787
Neu5Ac(a2-3)Gal(b1-4)[Neu5Ac(a2-3)Gal(b1-3)]GlcNAc(b1-Sp8,1.5377,17.79855,8.007075
Neu5Ac(a2-3)Gal(b1-3)(6S)GalNAc(a1-Sp8,-2.703175,-4.36095,-4.914125
Neu5Ac(a2-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc(a1-Sp8,-1.370875,-5.254825,-2.5977
Neu5Ac(a2-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc(a1-Sp14,25.553425,-2.95275,23.605025
Neu5Ac(a2-3)Gal(b1-Sp8,10.96765,-9.1979,4.003425
Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,31.0521,6.018925,5.643975
