IUPAC,CA 0.1ug/ml,CA 1ug/ml,CA 10ug/ml,CA 100ug/ml
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,6.339974999999997,10.3598,10.08825,6.3179000000000025
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp0,6.592600000000003,1.7737999999999987,4.960224999999999,8.877900000000002
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp8,8.45855,6.734174999999998,9.198900000000002,32.939049999999995
Fuc(a1-2)Gal(b1-4)Glc(b1-Sp0,21.47867500000001,16.257925,3.4600500000000025,13.70625
Fuc(a1-2)Gal(b1-Sp8,12.572599999999998,9.48645,7.2990499999999985,8.455974999999997
Fuc(a1-3)GlcNAc(b1-Sp8,13.955725,4.590400000000002,9.794625,-2.699449999999997
Fuc(a1-4)GlcNAc(b1-Sp8,8.183524999999998,3.763775,9.81645,-3.966725
Fuc(b1-3)GlcNAc(b1-Sp8,8.109325,6.353250000000001,4.45075,-0.3660500000000013
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,4.5951,6.5063999999999975,7.932224999999997,1.6714750000000027
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,33.78042500000001,22.368500000000004,14.944375,21.56267499999999
(3S)Gal(b1-4)[Fuc(a1-3)]Glc(b1-Sp0,17.962974999999993,8.895249999999997,6.4536,18.798450000000006
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp0,-0.20592500000000147,2.23265,3.373375000000001,-15.429424999999998
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,10.48375,3.3651500000000008,0.6882999999999995,7.384474999999995
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,8.124125000000001,17.67175,6.649624999999999,-3.935799999999997
GlcNAc(b1-3)Gal(b1-3)GalNAc(a1-Sp8,13.255975,19.677475,15.823275000000004,4.395050000000001
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,10.9986,5.081575000000001,5.415724999999999,-49.412275
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,16.048474999999996,1.69355,9.543725,42.801800000000014
GalNAc(a1-3)GalNAc(b1-Sp8,12.39155,9.133025,4.667325,-79.11170000000001
GalNAc(a1-3)Gal(b1-Sp8,12.6518,9.8453,9.134825,-1.8598750000000024
GalNAc(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,3.782525,2.7632000000000003,11.831925000000002,-148.2838
GalNAc(b1-3)GalNAc(a1-Sp8,11.27865,7.591174999999996,3.9684999999999984,-11.329675
GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-Sp8,6.8755000000000015,20.186825,14.8154,-107.0722
GalNAc(b1-3)Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,6.678875,4.530550000000002,8.057925000000001,-1.493575
GalNAc(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,20.032725,17.123349999999995,18.939475,15.82125
GalNAc(b1-4)GlcNAc(b1-Sp0,6.903824999999999,18.759599999999995,16.4133,25.66885
GalNAc(b1-4)GlcNAc(b1-Sp8,13.34505,23.93772500000001,3.1087749999999987,42.847975
Gal(a1-2)Gal(b1-Sp8,9.143425,6.975650000000001,9.0733,14.2647
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,4.958625,1.8022999999999991,13.099225,32.50360000000001
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp8,30.711775,26.506475,21.850975,21.982600000000005
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,30.240675000000003,11.879074999999998,12.871174999999996,38.02295
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,23.748200000000004,12.91855,5.0703,17.9585
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(a1-Sp0,12.583325,11.5642,6.422275,13.896299999999998
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,8.117700000000005,15.204925,12.409875000000005,8.581824999999995
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,7.0061500000000025,5.844400000000001,7.132749999999998,13.041225
