IUPAC,ABA 1ug/ml,ABA 10ug/ml,ABA 100ug/ml
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,-5.124100000000002,23.1466,4.85425
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,29.85240000000001,-3.8330499999999983,10.702724999999996
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp0,-0.4453750000000021,0.5422000000000011,39.9033
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp8,-6.456725000000002,-5.006350000000001,22.26560000000001
Fuc(a1-2)Gal(b1-4)Glc(b1-Sp0,80.55600000000003,32.30445,124.55245000000002
Fuc(a1-2)Gal(b1-Sp8,49.06815000000002,8.86099999999999,55.2265
Fuc(a1-3)GlcNAc(b1-Sp8,-9.7913,-0.9283499999999982,7.341575000000002
Fuc(a1-4)GlcNAc(b1-Sp8,-13.32945,-24.81257500000001,10.774200000000004
Fuc(b1-3)GlcNAc(b1-Sp8,-0.17625,7.782874999999998,166.2222000000001
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,1.466549999999998,-27.897624999999994,21.07345000000001
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,139.83035,180.799025,130.95955
(3S)Gal(b1-4)[Fuc(a1-3)]Glc(b1-Sp0,10.346225,15.752275,59.706225
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp0,14.890174999999996,-2.3712750000000007,10.050625
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,9.107599999999998,3.806849999999997,8.168700000000001
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,18.10127500000001,-3.3115249999999983,2.8342500000000013
GlcNAc(b1-3)Gal(b1-3)GalNAc(a1-Sp8,57.303125,1792.690725,4750.9711499999985
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,0.7312750000000001,-9.9979,14.029625
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,17.791749999999997,-27.542925,39.98440000000001
GalNAc(a1-3)GalNAc(b1-Sp8,7.969775000000002,-16.166050000000002,7.284650000000001
GalNAc(a1-3)Gal(b1-Sp8,6.50085,3.955,27.654125
GalNAc(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,-6.018374999999999,-20.2666,16.3812
GalNAc(b1-3)GalNAc(a1-Sp8,-3.339075000000003,-7.07095,1306.70115
GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-Sp8,-1.6880750000000009,-4.35915,11.854400000000002
GalNAc(b1-3)Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,-30.253675,-26.49352499999999,6.557324999999992
GalNAc(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,27.43867500000001,22.19242500000001,26.478525000000005
GalNAc(b1-4)GlcNAc(b1-Sp0,-15.4305,-4.587975,37.082325
GalNAc(b1-4)GlcNAc(b1-Sp8,-7.085099999999999,-12.567825000000004,17.145725000000002
Gal(a1-2)Gal(b1-Sp8,19.843525,25.38242500000001,25.080125
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,18.131825,55.08789999999999,471.007925
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp8,173.78127499999997,113.4686,260.02612500000004
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,104.37585,104.27235,40.39512500000001
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,14.515449999999998,5.525749999999999,37.8169
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(a1-Sp0,10.429724999999998,15.77715,179.11782500000004
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,71.39067499999999,33.341525,88.63332500000001
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,39.28787500000001,24.949349999999995,36.618550000000006
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,7.4998749999999985,2.058200000000004,27.7185
Gal(a1-4)[Gal(a1-3)]Gal(b1-4)GlcNAc(b1-Sp8,-16.8564,-3.5307499999999976,15.719399999999998
Gal(a1-3)GalNAc(a1-Sp8,-0.1885249999999985,-0.14252499999999554,736.6229500000003
Gal(a1-3)GalNAc(a1-Sp16,89.65257499999996,91.04885,60.25252500000001
Gal(a1-3)GalNAc(b1-Sp8,30.67377500000001,13.251275,5.20725
Gal(a1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,9.033199999999997,18.506525,32.2546
Gal(a1-3)Gal(b1-3)GlcNAc(b1-Sp0,24.70025000000001,52.87429999999999,38.854425000000006
Gal(a1-3)Gal(b1-4)GlcNAc(b1-Sp8,15.719949999999995,6.654175000000002,133.83042500000005
Gal(a1-3)Gal(b1-4)Glc(b1-Sp0,34.321125,29.71670000000001,19.588899999999995
Gal(a1-3)Gal(b1-4)Glc(a1-Sp10,12.953249999999995,47.38742499999999,43.42212500000001
Gal(a1-3)Gal(b1-Sp8,36.68769999999999,40.977875,32.65822500000001
Gal(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,-32.54492499999999,-24.032425,7.535825000000003
Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,57.7115,25.10282500000001,36.3368
Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp8,6.704950000000004,-6.296625000000002,29.552225
Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,31.15535000000001,32.265275,44.76804999999999
Gal(a1-4)GlcNAc(b1-Sp8,9.750899999999998,6.278299999999994,219.5125
Gal(a1-6)Glc(b1-Sp8,49.614075,31.92825,75.814925
Gal(b1-2)Gal(b1-Sp8,62.65347500000001,94.28045000000004,385.7025
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,15.363324999999994,14.708000000000002,14.385099999999998
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,19.8198,-5.865725000000001,15.979225
Gal(b1-3)[Fuc(a1-4)]GlcNAc(a1-Sp0,27.98360000000001,19.57915,155.04020000000003
Gal(b1-3)[Fuc(a1-4)]GlcNAc(a1-Sp8 ,34.102625,-4.854175000000026,39.634725
Fuc(a1-4)[Gal(b1-3)]GlcNAc(b1-Sp8,13.472150000000005,-7.200299999999995,18.436975000000004
Gal(b1-4)GlcNAc(b1-6)GalNAc(a1-Sp8,1.9057499999999976,-6.7272250000000025,27.86950000000001
Gal(b1-4)GlcNAc(b1-6)GalNAc(a1-Sp14,53.49445,61.15072500000001,41.851725
GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp8,1.1747499999999995,49.18489999999999,2264.8897500000007
GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp14,-1.0091249999999974,-7.590024999999998,3526.1951000000013
Neu5Ac(a2-6)[Gal(b1-3)]GalNAc(a1-Sp8,-2.0383500000000008,2.6174499999999963,63.3415
Neu5Ac(a2-6)[Gal(b1-3)]GalNAc(a1-Sp14,68.06477500000001,37.708775,806.197875
Neu5Ac(b2-6)[Gal(b1-3)]GalNAc(a1-Sp8,4.217100000000002,7.251075,10.4122
Neu5Ac(a2-6)[Gal(b1-3)]GlcNAc(b1-4)Gal(b1-4)Glc(b1-Sp10,-3.3053500000000007,-0.7493499999999997,25.50515
Gal(b1-3)GalNAc(a1-Sp8,-5.7035,27.03057500000002,584.9877500000002
Gal(b1-3)GalNAc(a1-Sp14,21.658275,37.32935,2429.555625
Gal(b1-3)GalNAc(a1-Sp16,25.394375,49.11005,381.6901
Gal(b1-3)GalNAc(b1-Sp8,-1.5199749999999987,9.137875,384.89455000000015
Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,32.407374999999995,34.8998,36.80842499999999
Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,-0.025099999999998342,5.230899999999998,11.044674999999998
Gal(b1-3)GalNAc(b1-4)Gal(b1-4)Glc(b1-Sp8,14.725124999999998,-1.5020500000000006,16.435449999999996
Gal(b1-3)Gal(b1-Sp8,39.48882500000001,22.988225000000003,45.04422500000001
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,26.438649999999992,6.367425000000001,21.991175
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,8.660849999999991,11.5078,2.587175000000002
Gal(b1-3)GlcNAc(b1-Sp0,-5.073125,-4.196149999999999,8.503875000000004
Gal(b1-3)GlcNAc(b1-Sp8,8.643974999999998,7.712150000000001,2.1149750000000007
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,5.5502249999999975,25.71402500000001,50.81920000000001
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,19.682700000000004,4.33720000000001,22.9941
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,19.784475,23.56807500000001,77.34395
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,-4.866849999999996,11.159600000000005,20.17365
Gal(b1-4)(6S)Glc(b1-Sp0,18.467825,28.20305,15.215275000000005
Gal(b1-4)(6S)Glc(b1-Sp8,35.405,29.35532499999999,23.85912500000001
Gal(b1-4)GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,19.4294,-4.338474999999999,24.968499999999995
Gal(b1-4)GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,9.405699999999996,6.783025000000002,10.56375
Gal(b1-4)GlcNAc(b1-3)GalNAc(a1-Sp8,17.456599999999998,-7.06935,26.452125
Gal(b1-4)GlcNAc(b1-3)GalNAc(a1-Sp14,157.334375,164.08982499999996,58.53567500000001
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,39.914,20.959274999999995,81.014125
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,-1.3832749999999976,-2.53725,16.217774999999996
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,10.6872,12.703275,29.824725
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,40.614825,43.00597500000001,22.637725000000003
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,22.568475,13.383625000000002,40.54260000000001
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp8,-0.4274750000000012,-1.43985,10703.879900000004
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp14,38.666625,30.22284999999998,11995.864825
Gal(b1-4)GlcNAc(b1-Sp0,35.93462500000001,52.14100000000001,13.688325000000004
Gal(b1-4)GlcNAc(b1-Sp8,-4.262349999999998,-3.800250000000004,15.918599999999998
Gal(b1-4)GlcNAc(b1-Sp23,-8.899300000000002,0.6671749999999967,22.015499999999967
Gal(b1-4)Glc(b1-Sp0,48.19012500000001,34.371950000000005,75.473625
Gal(b1-4)Glc(b1-Sp8,53.606775000000006,45.92004999999999,72.564275
GlcNAc(a1-3)Gal(b1-4)GlcNAc(b1-Sp8,4.603100000000001,3505.3352750000013,9728.803575000002
GlcNAc(a1-6)Gal(b1-4)GlcNAc(b1-Sp8,-8.49265,71.531275,8786.065749999998
GlcNAc(b1-2)Gal(b1-3)GalNAc(a1-Sp8,2.8497249999999994,-3.19125,41.16357500000002
GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc(a1-Sp8,-7.793649999999999,4.634300000000003,3454.02325
GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc(a1-Sp14,21.785150000000005,5.4111250000000055,394.177875
GlcNAc(b1-6)[GlcNAc(b1-3)]Gal(b1-4)GlcNAc(b1-Sp8,-19.307875000000006,384.28772500000014,321.965325
GlcNAc(b1-3)GalNAc(a1-Sp8,-3.2267750000000035,24.788125,644.8426749999999
GlcNAc(b1-3)GalNAc(a1-Sp14,16.954375,30.1375,1295.998675
GlcNAc(b1-3)Gal(b1-Sp8,20.30822499999999,4.426299999999999,2.3674250000000026
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,12.63345,52.01490000000001,2394.710150000001
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp8,-0.08650000000000091,40.56202499999999,644.1581
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,25.839575,12.167625,2687.05085
GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,12.411125000000002,12.2125,149.1803
GlcNAc(b1-4)(a1-MDPLys,1.9987749999999984,-6.251875,13.868725
GlcNAc(b1-6)[GlcNAc(b1-4)]GalNAc(a1-Sp8,1.304425000000002,-7.410525,19.065075
GlcNAc(b1-4)Gal(b1-4)GlcNAc(b1-Sp8,-35.1907,-68.32515000000001,-10.43847500000004
GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,53.600549999999984,48.5022,1476.9639250000007
GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,16.069150000000004,20.46525,631.5384750000002
GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,0.016250000000006537,-3.399275000000003,2084.1317750000007
GlcNAc(b1-6)GalNAc(a1-Sp8,2.7347500000000053,3.634599999999992,938.9585000000003
GlcNAc(b1-6)GalNAc(a1-Sp14,8.563150000000004,-2.454225000000001,771.2412750000003
GlcNAc(b1-6)Gal(b1-4)GlcNAc(b1-Sp8,10.326475000000006,20.17735,5.064749999999998
Glc(a1-4)Glc(b1-Sp8,38.903525,14.187674999999995,5.900749999999999
Glc(a1-4)Glc(a1-Sp8,53.284300000000016,19.396675000000013,48.71055
Glc(a1-6)Glc(a1-6)Glc(b1-Sp8,50.57652500000002,56.231875,74.32027500000002
Glc(b1-4)Glc(b1-Sp8,48.798225,20.59745,20.232125
Glc(b1-6)Glc(b1-Sp8,52.28665,22.64342500000001,91.941875
G-ol(a1-Sp8,35.63527500000001,54.00502499999999,45.68722500000001
GlcA(a1-Sp8,48.60767500000001,80.992,25.28895
GlcA(b1-Sp8,1299.9338750000004,1794.358575,452.26099999999997
GlcA(b1-3)Gal(b1-Sp8,49.5125,29.74125,19.4914
GlcA(b1-6)Gal(b1-Sp8,69.12202500000001,38.93877499999999,24.969950000000004
KDN(a2-3)Gal(b1-3)GlcNAc(b1-Sp0,27.08462500000001,1.8552750000000024,16.344424999999998
KDN(a2-3)Gal(b1-4)GlcNAc(b1-Sp0,-9.319225,9.171,43.170425000000016
Man(a1-2)Man(a1-2)Man(a1-3)Man(a1-Sp9,20.688374999999994,3.5701249999999973,19.643249999999995
Man(a1-2)Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-Sp9,16.070449999999994,22.006825,9.108524999999998
Man(a1-2)Man(a1-3)Man(a1-Sp9,0.4887499999999961,15.56935,28.82065
Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,6.86055,-0.7845999999999975,7.044424999999999
Man(a1-2)Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,8.10105,-68.78285,22.453000000000003
Man(a1-2)Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,561.7829750000002,591.7370249999999,214.561475
Man(a1-6)[Man(a1-3)]Man(a1-Sp9,12.147125,-9.917874999999997,30.396875
Man(a1-2)Man(a1-2)Man(a1-6)[Man(a1-3)]Man(a1-Sp9,98.720525,155.080675,96.1159
Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,1261.2654,1310.1280999999994,622.1931249999999
Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,26.97842500000001,2.334699999999998,63.123925
Man(b1-4)GlcNAc(b1-Sp0,26.986775,13.36935,49.662825
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,31.574375,29.86442499999999,18.494525000000007
(3S)Gal(b1-4)[Fuc(a1-3)](6S)GlcNAc(b1-Sp8,-1.8364499999999992,-7.649449999999997,10.615100000000002
Fuc(a1-2)(6S)Gal(b1-4)GlcNAc(b1-Sp0,5.378274999999999,-0.5923750000000005,8.657725000000003
Fuc(a1-2)Gal(b1-4)(6S)GlcNAc(b1-Sp8,-2.1083250000000042,-13.6808,22.3362
Fuc(a1-2)(6S)Gal(b1-4)(6S)Glc(b1-Sp0,19.551625000000016,13.754625,86.65372499999998
