IUPAC,UEA I (0.01ug/ml),UEA I (0.1 ug/ml),UEA I (0.5ug/ml),UEA I (1ug/ml),UEA I (10ug/ml),UEA I (50 ug/ml),UEA I (100 ug/ml)
GlcNAc(b1-Sp0,16.980625,-4.534125,-2.9354749999999985,11.531224999999996,2.497325,-18.617850000000004,-3.80255
GlcNAc(b1-Sp8,13.84665,-8.763925,-11.609074999999995,4.358974999999997,5.8279250000000005,-23.38065,-15.025850000000005
GlcN[Gc](b1-Sp8,12.1362,5.312700000000003,3.8763999999999967,-9.473949999999997,-8.433075000000002,-11.0461,-18.479
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,22.931175,1.1889999999999965,-11.983075,-0.6167250000000033,-2.683899999999994,-20.991100000000007,3.593049999999998
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,4.4783500000000025,-0.15667499999999634,-13.651425000000005,-7.313925000000001,18.81065,-20.576375,-13.22905
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(a1-Sp8,5.565174999999997,1.1049750000000031,-10.769175000000002,-5.982900000000001,-2.4321250000000045,-23.410775,-24.54785
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,-13.1751,-19.666124999999987,-4.966000000000003,-2.8198250000000007,-26.630475000000004,-31.742725,-5.108475000000002
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,-4.689800000000001,-10.296675,-11.7746,-11.542100000000119,-20.813175,-41.79260000000001,-15.446575000000005
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(a1-Sp0,27.566875,26.974625,8.642375000000001,15.082124999999998,36.39555,-10.792875000000004,-7.234924999999999
(3S)Gal(b1-4)Glc(b1-Sp8,4.772574999999996,-6.375125000000002,0.2394500000000015,0.9690000000000012,-7.619600000000004,-2.6000750000000004,-13.840650000000005
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,7.46265,-2.9579749999999976,2.7586249999999986,2.3710000000000013,0.6162749999999999,-9.6538,-13.552425
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,8.861875,-7.729225000000002,-0.2627000000000006,-3.958400000000001,0.9675499999999992,-12.828875,-18.044275
(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,-4.137400000000001,-8.035775,0.18622499999999853,-9.341625,-8.949024999999997,-13.774799999999995,-8.598675000000004
(3S)Gal(b1-3)GalNAc(a1-Sp8,0.4855750000000008,-13.766749999999998,-9.34765,-5.980824999999999,-14.8004,-23.87980000000001,-30.312649999999994
(3S)Gal(b1-3)GlcNAc(b1-Sp0,-2.7838000000000003,-2.595675,-11.314349999999996,-7.902624999999999,-12.676875,-17.591025000000002,-10.066075
(3S)Gal(b1-3)GlcNAc(b1-Sp8,5.9435249999999975,-9.546525000000004,-4.421099999999997,5.175874999999998,-19.15205,-20.23,-20.05
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp0 ,7.565475000000001,-1.5535750000000004,-0.6542999999999992,7.162325000000001,-1.7173249999999989,-12.790675,-16.220275
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp8,-5.5701750000000025,-6.454875000000001,-3.5016250000000007,0.18450000000000166,-4.526125,-22.90442500000001,-24.12397499999999
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,8.627899999999999,-7.755400000000002,-2.535024999999999,0.6281750000000006,-7.712575000000001,-19.7004,-7.025050000000002
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8,-2.713125,-14.057349999999998,-14.638299999999996,-9.673575,-15.793475,-34.325675000000004,-9.627924999999998
(3S)Gal(b1-4)GlcNAc(b1-Sp0,-1.6688499999999955,-6.54105,0.06777499999999925,0.11602499999999873,-9.447725000000002,-14.058325000000005,-15.356775
(3S)Gal(b1-4)GlcNAc(b1-Sp8,10.6221,1.033949999999999,-0.6501000000000037,-5.300274999999999,7.672999999999997,-3.5868499999999965,-1.3237999999999968
(3S)Gal(b1-Sp8,5.3849750000000025,-2.6610249999999978,2.3321750000000008,-15.465199999999998,-10.669275000000004,-8.7865,-5.4597750000000005
(6S)(4S)Gal(b1-4)GlcNAc(b1-Sp0,-1.0713499999999978,-2.2572749999999977,12.169775000000005,0.4853000000000005,10.131449999999996,-14.62885,-9.543175000000002
(4S)Gal(b1-4)GlcNAc(b1-Sp8,-3.594275000000001,-7.933100000000001,-9.8839,-7.776524999999999,-13.170050000000005,-18.4769,-14.161875
(6P)Man(a1-Sp8,15.200025,10.897825000000005,2.9083250000000014,14.526375000000005,5.860674999999999,-19.1411,-15.392225
(6S)Gal(b1-4)Glc(b1-Sp0,3.254475,-2.917049999999996,-5.907250000000001,-6.1110000000000015,-7.467524999999997,-2.209125,-17.214475
(6S)Gal(b1-4)Glc(b1-Sp8,15.794975000000004,-3.8465000000000025,1.222925,-8.323275,14.118674999999996,-10.609600000000004,-11.214475
(6S)Gal(b1-4)GlcNAc(b1-Sp8,-7.20655,-17.98305,-8.063600000000001,-13.176049999999998,-12.170725000000004,-32.1985,-10.616875
(6S)Gal(b1-4)(6S)Glc(b1-Sp8,4.096899999999998,0.1088749999999834,15.251425000000005,6.508199999999999,-3.307574999999998,-21.153450000000007,-13.0525
Neu5Ac(a2-3)(6S)Gal(b1-4)GlcNAc(b1-Sp8,-0.251100000000001,-16.529100000000003,-10.29705,0.3096999999999994,-13.888799999999994,-21.854125,-17.347849999999994
(6S)GlcNAc(b1-Sp8,4.43675,-8.333374999999998,-0.43972500000000103,-3.9197500000000014,-8.411650000000002,-24.862775,-16.684150000000002
"Neu5,9Ac2(a1-Sp8",-8.337699999999998,-22.25050000000001,-5.558649999999997,-3.414600000000002,-25.060625,-9.257375,-26.8825
"Neu5,9Ac2(a2-6)Gal(b1-4)GlcNAc(b1-Sp8",-5.5154250000000005,-8.184625,2.3936750000000035,-6.618249999999998,-17.7897,-8.244225,-20.988325
