IUPAC,HAA 0.1ug/ml,HAA 1ug/ml,HAA 10ug/ml,HAA 100ug/ml
Gal(a1-3)Gal(b1-4)Glc(b1-Sp0,-1.335,-2.05335,0.7104499999999989,9.721225
Gal(a1-3)Gal(b1-4)Glc(a1-Sp10,7.9742000000000015,4.7245500000000025,4.2414999999999985,-9.354175
Gal(a1-3)Gal(b1-Sp8,5.398650000000001,-2.1233499999999994,4.875,6.882949999999999
Gal(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,27.76860000000001,7.041375,-2.8199000000000005,79.94604999999999
Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,13.212625,7.059175,8.380450000000002,-0.3091749999999962
Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp8,6.85885,5.1423,6.899650000000001,3.244749999999998
Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,9.15345,4.55105,7.952224999999998,6.844199999999997
Gal(a1-4)GlcNAc(b1-Sp8,2.211850000000001,1.2148499999999989,0.01639999999999997,12.35475000000001
Gal(a1-6)Glc(b1-Sp8,4.54595,15.14375,3.5736,10.773525000000005
Gal(b1-2)Gal(b1-Sp8,3.0973750000000004,2.954675,9.870450000000002,12.990325
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,9.372749999999998,26.87147499999999,4.053425,2.421675
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,18.415675,20.597175,11.104675,5.295425000000002
Gal(b1-3)[Fuc(a1-4)]GlcNAc(a1-Sp0,3.207825000000001,4.534025,5.8131999999999975,-4.849475000000001
Gal(b1-3)[Fuc(a1-4)]GlcNAc(a1-Sp8 ,1.6643,-0.6801500000000011,-0.2257499999999997,5.888300000000001
Fuc(a1-4)[Gal(b1-3)]GlcNAc(b1-Sp8,-3.0954999999999995,1.0549,11.755875000000005,-2.3870250000000004
Gal(b1-4)GlcNAc(b1-6)GalNAc(a1-Sp8,5.3022,-0.632950000000001,6.650324999999998,-5.404400000000001
Gal(b1-4)GlcNAc(b1-6)GalNAc(a1-Sp14,11.764449999999995,8.554299999999998,5.45135,50.989775000000016
GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp8,6.6222249999999985,6.880224999999999,5.602475,-1.888600000000002
GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp14,4.613500000000001,3.2094500000000004,-1.580750000000001,5.423725000000001
Neu5Ac(a2-6)[Gal(b1-3)]GalNAc(a1-Sp8,0.3833749999999996,-0.7983249999999997,0.2826749999999993,6.4910000000000005
Neu5Ac(a2-6)[Gal(b1-3)]GalNAc(a1-Sp14,7.159674999999997,5.436875,14.343925000000011,23.137699999999995
