IUPAC,MOA (0.1ug/ml),MOA (1ug/ml),MOA (10ug/ml)
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,5.398175,10.1259,10.927575
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,11.6194,1.447675,13.618575
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp0,7.316225,26.726475,14.76505
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp8,4.39785,15.277175,-2.163575
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,13.0908,9.9687,3.770725
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,18.4682,14.952225,12.9993
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,6.694175,23.012875,5.410825
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,13.207275,15.417875,5.835075
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,8.67025,8.93515,70.64615
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,8.57595,28.348075,106.346675
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp0,10.17775,6.896975,5.089375
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp8,10.31055,11.1083,42.711475
Fuc(a1-2)Gal(b1-4)Glc(b1-Sp0,14.185525,22.64415,10.06285
Fuc(a1-2)Gal(b1-Sp8,11.237175,22.496875,18.91135
Fuc(a1-3)GlcNAc(b1-Sp8,9.944675,20.2793,6.75545
Fuc(a1-4)GlcNAc(b1-Sp8,11.80225,5.0802,19.040025
Fuc(b1-3)GlcNAc(b1-Sp8,6.6017,15.035425,10.767725
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,14.1366,12.389375,15.320225
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,47.73275,79.495,34.22405
(3S)Gal(b1-4)[Fuc(a1-3)]Glc(b1-Sp0,13.9782,19.859575,10.9609
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp0,9.4428,9.038875,1.22295
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,8.791425,1.7065,11.15385
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,1.39645,6.89595,7.779075
GlcNAc(b1-3)Gal(b1-3)GalNAc(a1-Sp8,11.6454,19.208975,16.305375
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,10.6811,25.083825,15.0129
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,15.421725,27.65255,10.9489
GalNAc(a1-3)GalNAc(b1-Sp8,7.4305,13.30935,5.19755
GalNAc(a1-3)Gal(b1-Sp8,1.664825,27.74825,17.4829
GalNAc(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,8.11865,11.25955,17.017
GalNAc(b1-3)GalNAc(a1-Sp8,9.26265,14.5673,15.9267
GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-Sp8,10.20405,6.0654,14.837625
GalNAc(b1-3)Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,20.1662,17.26535,18.06485
GalNAc(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,19.82745,25.965125,17.15775
GalNAc(b1-4)GlcNAc(b1-Sp0,20.13415,21.500425,20.1194
GalNAc(b1-4)GlcNAc(b1-Sp8,34.0235,22.33595,15.5599
Gal(a1-2)Gal(b1-Sp8,7.7856,10.020425,13.457175
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,841.475075,2910.742375,35136.27583
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp8,791.7757,5819.034025,32452.59295
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,33.9712,53.088325,52.136125
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,21.1545,9.48235,24.573375
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(a1-Sp0,1512.74115,6484.31285,36665.92308
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,1049.619125,5992.607425,37110.56705
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,1324.65755,6147.077575,35540.00628
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,1202.620275,6852.724175,44532.34895
Gal(a1-4)[Gal(a1-3)]Gal(b1-4)GlcNAc(b1-Sp8,19.53875,16.4051,17.626875
Gal(a1-3)GalNAc(a1-Sp8,390.18515,4018.84115,35141.81308
Gal(a1-3)GalNAc(a1-Sp16,8.21585,20.73035,23.224775
Gal(a1-3)GalNAc(b1-Sp8,192.208025,2390.042275,32634.56183
Gal(a1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,21.101575,6.4201,34.756475
Gal(a1-3)Gal(b1-3)GlcNAc(b1-Sp0,241.782475,4221.133,32714.81223
Gal(a1-3)Gal(b1-4)GlcNAc(b1-Sp8,661.00145,2382.3093,34512.8442
Gal(a1-3)Gal(b1-4)Glc(b1-Sp0,116.832925,2796.993675,36256.03025
Gal(a1-3)Gal(b1-4)Glc(a1-Sp10,126.3632,342.8579,34643.752
Gal(a1-3)Gal(b1-Sp8,149.900225,3833.45955,38509.7873
Gal(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,18.82535,8.963125,16.73035
Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,15.269875,23.313625,17.47195
Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp8,13.8503,6.158725,157.935325
Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,29.284875,35.896475,23.7202
Gal(a1-4)GlcNAc(b1-Sp8,8.728175,-0.07735,9.21725
Gal(a1-6)Glc(b1-Sp8,9.043975,14.65745,11.137875
Gal(b1-2)Gal(b1-Sp8,17.3735,31.48085,17.778875
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,2.069825,5.605875,9.820325
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,21.198825,9.257725,2.3426
Gal(b1-3)[Fuc(a1-4)]GlcNAc(a1-Sp0,20.208825,36.973275,19.5295
Gal(b1-3)[Fuc(a1-4)]GlcNAc(a1-Sp8 ,-1.12055,-1.534525,10.316275
Fuc(a1-4)[Gal(b1-3)]GlcNAc(b1-Sp8,12.1389,21.6301,4.643375
Gal(b1-4)GlcNAc(b1-6)GalNAc(a1-Sp8,8.812825,12.662,9.8095
Gal(b1-4)GlcNAc(b1-6)GalNAc(a1-Sp14,45.332,37.57235,22.54805
GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp8,8.495025,22.374,19.2313
GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp14,5.46765,8.70775,-1.111475
Neu5Ac(a2-6)[Gal(b1-3)]GalNAc(a1-Sp8,1.6216,2.5871,1.494
Neu5Ac(a2-6)[Gal(b1-3)]GalNAc(a1-Sp14,18.75485,31.0013,32.12755
Neu5Ac(b2-6)[Gal(b1-3)]GalNAc(a1-Sp8,12.469375,11.948775,3.9421
Neu5Ac(a2-6)[Gal(b1-3)]GlcNAc(b1-4)Gal(b1-4)Glc(b1-Sp10,4.528425,-8.060825,6.89505
Gal(b1-3)GalNAc(a1-Sp8,2.11395,-0.620275,4.365275
Gal(b1-3)GalNAc(a1-Sp14,3.39015,17.40525,10.4041
Gal(b1-3)GalNAc(a1-Sp16,7.453175,20.94135,10.945825
