IUPAC,WGA 0.01ug,WGA 0.1ug/ml,WGA 1ug/ml,WGA 10ug/ml,WGA 100ug/ml
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,11.267225,8.77765,2.799175,16.60265,89.67155
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,48.598575,16.493575,33.983025,43.304,413.233325
(3S)Gal(b1-4)[Fuc(a1-3)]Glc(b1-Sp0,13.350225,48.617475,127.29145,102.9756,172.346425
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp0,24.512,1673.600625,389.8109,8807.016575,2848.9054
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,311.152075,7666.1722,32701.96595,30990.41455,22450.96593
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,8.235275,7.77675,11.39655,25.6895,1150.669775
GlcNAc(b1-3)Gal(b1-3)GalNAc(a1-Sp8,18.856875,879.167475,2239.692,2905.3462,7893.67205
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,14.582825,1614.024375,5638.8711,12883.33252,13013.6062
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,5.223125,47.3462,1318.095325,7085.7823,17991.95758
GalNAc(a1-3)GalNAc(b1-Sp8,-1.8617,15.748075,87.01545,771.9728,9135.2417
GalNAc(a1-3)Gal(b1-Sp8,117.06035,6500.548975,13285.92115,21136.34995,30198.7121
GalNAc(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,227.71875,5263.358225,26100.92275,39924.49265,38238.76197
GalNAc(b1-3)GalNAc(a1-Sp8,12.785975,8.93195,7.9977,27.967125,41.74205
GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-Sp8,10.4606,12.52355,21.3598,37.09825,550.77595
GalNAc(b1-3)Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,73.677675,1373.32055,8588.859775,28137.08978,34270.82635
GalNAc(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,265.58465,10070.96908,35298.08273,33390.11413,35755.2478
GalNAc(b1-4)GlcNAc(b1-Sp0,355.3621,6043.7704,28496.73178,32928.38373,35477.4303
GalNAc(b1-4)GlcNAc(b1-Sp8,725.52165,8129.885325,34644.66638,38601.50423,37501.98765
Gal(a1-2)Gal(b1-Sp8,13.948575,20.7702,35.327125,49.357525,150.2055
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,-0.980925,89.11045,121.685225,293.334725,286.586575
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp8,25.2559,51.03755,71.28475,50.225625,122.53225
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,25.887725,17.6639,19.000725,33.0061,201.787775
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,10.635575,5.361175,7.669475,19.251575,23.8392
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(a1-Sp0,39.3348,813.017525,25875.05268,33737.38305,35736.27313
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,13.427075,15.80825,15.6734,1.612,38.69165
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,10.987875,6.07595,10.595075,13.19285,36.15065
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,23.3831,5.568475,12.98395,6.97835,48.839325
Gal(a1-4)[Gal(a1-3)]Gal(b1-4)GlcNAc(b1-Sp8,145.3217,7114.14125,34221.59323,38570.15345,38026.19083
Gal(a1-3)GalNAc(a1-Sp8,51.915275,26.59225,26.9816,55.16855,87.639975
Gal(a1-3)GalNAc(a1-Sp16,7.4626,10.428775,14.496375,26.4058,59.366075
Gal(a1-3)GalNAc(b1-Sp8,10.27535,0.87045,5.0434,22.159125,47.307975
Gal(a1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,10.9262,6.47525,30.3437,24.8418,108.565975
Gal(a1-3)Gal(b1-3)GlcNAc(b1-Sp0,10.707925,27.1927,41.076425,78.4692,118.71405
Gal(a1-3)Gal(b1-4)GlcNAc(b1-Sp8,17.750375,276.7258,4812.500825,18080.0925,32478.6734
Gal(a1-3)Gal(b1-4)Glc(b1-Sp0,12.23425,28.418525,12.606175,10.443075,48.472025
Gal(a1-3)Gal(b1-4)Glc(a1-Sp10,8.73235,6.752075,13.86585,1.8203,24.56405
Gal(a1-3)Gal(b1-Sp8,29.522575,12.90085,16.59545,12.23485,462.39575
Gal(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,25.919975,3159.2513,27268.89583,35501.1784,34662.50872
Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,33.92195,534.197925,13507.3219,29035.28553,29567.81283
Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp8,30.686125,1528.948325,16993.48218,33188.43593,35938.4625
Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,11.6243,10.8705,15.9435,60.46395,75.56515
Gal(a1-4)GlcNAc(b1-Sp8,54.94515,31.278825,19.196525,25.3211,337.20935
Gal(a1-6)Glc(b1-Sp8,15.519825,15.013975,23.697175,-3.548025,143.162725
Gal(b1-2)Gal(b1-Sp8,13.50345,27.65575,50.4763,147.64255,334.314975
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,13.164425,8.813625,15.54405,13.436175,116.17335
