IUPAC,CTB 0.001ug/ml,CTB 0.01ug/ml,CTB 0.1ug/ml,CTB 1ug/ml,CTB 10ug/ml
Fuc(a1-4)GlcNAc(b1-Sp8,-6.65925,62.39955,85.23695,23.882475,123.751375
Fuc(b1-3)GlcNAc(b1-Sp8,46.932825,72.05815,153.5903,98.9237,71.6231
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,97.293225,49.9382,59.31125,52.022175,30.270975
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,198.297675,205.8221,173.6811,280.90305,207.16785
(3S)Gal(b1-4)[Fuc(a1-3)]Glc(b1-Sp0,116.044025,59.0498,51.9731,100.03765,61.439275
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp0,40.955825,142.106425,31.60735,299.59365,43.54755
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,43.96105,201.2315,80.001075,82.962975,20.87985
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,98.4462,90.216925,63.2717,242.063675,81.4297
GlcNAc(b1-3)Gal(b1-3)GalNAc(a1-Sp8,77.419275,55.237775,75.157525,119.0109,191.796875
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,46.008475,126.754425,55.9226,159.77685,54.92505
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,47.99305,94.586725,36.56545,106.572475,144.12875
GalNAc(a1-3)GalNAc(b1-Sp8,58.81215,137.131075,75.0676,130.93145,68.459775
GalNAc(a1-3)Gal(b1-Sp8,103.480075,169.561625,37.66515,66.520425,80.416775
GalNAc(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,89.08005,233.8868,43.205725,106.826325,68.899575
GalNAc(b1-3)GalNAc(a1-Sp8,45.7942,13.66825,29.934925,-17.1493,31.504575
GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-Sp8,142.259825,122.669425,60.7208,5.422675,55.704925
GalNAc(b1-3)Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,129.351075,73.36795,162.62765,155.426525,136.827425
GalNAc(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,172.8091,90.069575,176.078125,207.5743,99.32145
GalNAc(b1-4)GlcNAc(b1-Sp0,130.345025,26.47645,102.520175,161.52205,771.56065
GalNAc(b1-4)GlcNAc(b1-Sp8,56.8697,102.7341,47.52555,83.737425,127.380975
Gal(a1-2)Gal(b1-Sp8,91.63765,76.56405,85.398825,48.8787,119.284325
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,92.305825,17.226725,125.283275,74.641175,42.1035
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp8,239.669425,302.955525,263.196975,157.623025,862.26415
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,167.321525,249.91635,177.82325,109.0504,333.529225
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,126.805175,107.456975,66.517625,89.197575,56.63505
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(a1-Sp0,85.57205,60.623075,70.414575,54.660225,77.903575
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,109.091975,134.33865,94.162575,204.802975,197.69345
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,103.46955,59.85495,197.24195,175.073225,136.4329
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,119.760725,75.641775,52.8178,44.971475,180.812125
Gal(a1-4)[Gal(a1-3)]Gal(b1-4)GlcNAc(b1-Sp8,133.623575,153.4351,191.756925,41.115375,120.340275
Gal(a1-3)GalNAc(a1-Sp8,76.912025,100.993,63.72355,93.369575,136.026175
Gal(a1-3)GalNAc(a1-Sp16,149.06285,148.579775,145.05945,86.983625,76.013775
Gal(a1-3)GalNAc(b1-Sp8,39.15065,31.036425,81.45125,30.180975,43.833875
Gal(a1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,188.733625,127.34815,50.722075,65.7379,52.386975
Gal(a1-3)Gal(b1-3)GlcNAc(b1-Sp0,207.492275,256.972675,53.3281,93.304425,178.5242
Gal(a1-3)Gal(b1-4)GlcNAc(b1-Sp8,42.202875,64.258275,38.832775,78.498,147.665075
Gal(a1-3)Gal(b1-4)Glc(b1-Sp0,131.808575,72.880475,63.9106,53.92585,118.620075
Gal(a1-3)Gal(b1-4)Glc(a1-Sp10,109.205425,44.912925,85.168075,154.2803,170.198925
Gal(a1-3)Gal(b1-Sp8,93.9621,97.607175,38.05725,99.9365,42.295625
Gal(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,47.947275,97.9583,97.4146,56.6807,195.98245
Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,129.5185,185.10495,110.04045,120.464875,159.763875
Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp8,76.741325,49.001775,122.8622,204.89235,646.08905
Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,187.459175,85.107325,172.441475,209.211675,208.007075
Gal(a1-4)GlcNAc(b1-Sp8,83.861725,114.56605,54.799175,69.353425,36.863775
Gal(a1-6)Glc(b1-Sp8,79.588675,202.91385,64.22795,49.753725,45.816125
Gal(b1-2)Gal(b1-Sp8,98.2852,77.3686,65.68435,77.995975,116.486225
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,23.899775,102.446425,73.506375,27.1545,103.530975
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,71.116075,136.4561,39.717325,34.41055,36.59295
Gal(b1-3)[Fuc(a1-4)]GlcNAc(a1-Sp0,126.82475,114.984925,82.419475,110.1202,414.5887
Gal(b1-3)[Fuc(a1-4)]GlcNAc(a1-Sp8 ,73.4161,69.544425,56.372375,27.297475,40.994
Fuc(a1-4)[Gal(b1-3)]GlcNAc(b1-Sp8,53.42425,64.397425,42.129925,42.9196,99.16715
Gal(b1-4)GlcNAc(b1-6)GalNAc(a1-Sp8,77.1585,87.76105,71.9353,153.5718,81.44855
Gal(b1-4)GlcNAc(b1-6)GalNAc(a1-Sp14,206.3089,136.426625,97.951025,157.319875,91.944925
GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp8,96.630775,188.452525,50.212525,361.832675,128.66605
GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp14,57.213325,79.326075,80.495075,14.55835,-7.56635
Neu5Ac(a2-6)[Gal(b1-3)]GalNAc(a1-Sp8,57.24005,27.45895,16.781775,48.96245,14.7403
Neu5Ac(a2-6)[Gal(b1-3)]GalNAc(a1-Sp14,135.9265,88.773825,114.255125,110.32915,114.51515
Neu5Ac(b2-6)[Gal(b1-3)]GalNAc(a1-Sp8,49.57675,23.5138,24.85125,80.134975,64.2925
Neu5Ac(a2-6)[Gal(b1-3)]GlcNAc(b1-4)Gal(b1-4)Glc(b1-Sp10,36.799025,69.7838,82.2072,33.133475,167.45895
Gal(b1-3)GalNAc(a1-Sp8,35.0733,52.14025,97.430125,48.076825,26.784175
Gal(b1-3)GalNAc(a1-Sp14,146.684875,88.91035,27.116975,48.369725,102.841775
Gal(b1-3)GalNAc(a1-Sp16,49.248375,81.817075,33.0782,54.104275,29.64895
Gal(b1-3)GalNAc(b1-Sp8,42.5135,116.4323,75.9714,13.67075,231.598125
Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,94.707575,42.6152,119.315625,68.2873,213.665375
Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,594.858325,7068.738375,40760.71967,43817.82262,46029.71415
Gal(b1-3)GalNAc(b1-4)Gal(b1-4)Glc(b1-Sp8,71.909875,118.740975,149.707125,45.382,212.95365
Gal(b1-3)Gal(b1-Sp8,96.3359,109.2399,112.48205,104.256025,150.038675
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,13.659125,86.0468,107.972675,68.990125,26.829875
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,50.173225,20.34225,25.69905,57.839975,201.598175
Gal(b1-3)GlcNAc(b1-Sp0,3.17355,117.8054,30.88265,107.45035,121.026375
Gal(b1-3)GlcNAc(b1-Sp8,145.88375,25.5543,115.9808,142.704525,146.510275
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,148.626675,58.7087,82.7647,62.40255,349.22165
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,94.81585,79.00815,58.7355,13.6309,82.00575
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,117.823575,102.13655,75.33335,125.6895,152.326025
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,31.522175,34.9743,76.207925,48.971475,271.478425
Gal(b1-4)(6S)Glc(b1-Sp0,82.07265,50.8113,74.421525,54.647675,56.89605
Gal(b1-4)(6S)Glc(b1-Sp8,108.792925,70.491225,87.698125,47.9624,53.961425
Gal(b1-4)GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,66.8204,142.80155,16.430025,47.97115,49.0391
Gal(b1-4)GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,28.179825,25.2698,6.619,46.474425,36.61465
Gal(b1-4)GlcNAc(b1-3)GalNAc(a1-Sp8,95.1388,84.105525,34.143125,92.81305,33.959
Gal(b1-4)GlcNAc(b1-3)GalNAc(a1-Sp14,111.513725,161.088125,212.437125,109.063225,159.42665
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,34.909025,118.744025,146.54075,134.641525,102.548525
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,78.25525,114.073175,60.644925,57.61985,37.627175
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,29.6235,75.228125,121.2071,37.14855,67.06165
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,86.463225,77.222625,68.652925,86.753025,86.201
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,105.266575,72.130325,78.67885,49.96515,82.642175
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp8,42.651375,-19.0492,16.430675,51.105425,99.941
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp14,85.289325,69.1206,133.3468,115.460075,39.997125
Gal(b1-4)GlcNAc(b1-Sp0,103.11485,57.742325,51.154825,163.66385,72.606375
Gal(b1-4)GlcNAc(b1-Sp8,69.53755,33.43075,106.836575,81.543475,74.234375
Gal(b1-4)GlcNAc(b1-Sp23,42.502675,62.017975,29.73795,61.0404,7.61735
Gal(b1-4)Glc(b1-Sp0,101.553525,104.422275,89.176825,143.9391,78.645275
Gal(b1-4)Glc(b1-Sp8,71.97455,194.76845,64.0237,77.3981,147.179675
GlcNAc(a1-3)Gal(b1-4)GlcNAc(b1-Sp8,55.9408,16.157075,68.517675,17.9597,191.790025
GlcNAc(a1-6)Gal(b1-4)GlcNAc(b1-Sp8,45.328125,64.690825,12.61505,25.375975,159.242475
GlcNAc(b1-2)Gal(b1-3)GalNAc(a1-Sp8,29.9484,26.88875,73.983325,50.56525,178.99495
GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc(a1-Sp8,25.457625,105.309625,46.1906,37.7631,79.4099
GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc(a1-Sp14,86.513675,127.8176,40.760175,214.9603,31.67495
GlcNAc(b1-6)[GlcNAc(b1-3)]Gal(b1-4)GlcNAc(b1-Sp8,-1.05905,24.866225,23.20145,-43.62965,135.104575
GlcNAc(b1-3)GalNAc(a1-Sp8,-14.619675,76.4074,84.6755,91.03005,71.87045
GlcNAc(b1-3)GalNAc(a1-Sp14,109.261275,44.9291,59.402175,72.60245,23.7243
GlcNAc(b1-3)Gal(b1-Sp8,82.237575,81.14815,82.336075,65.365775,30.297225
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,58.94245,94.38925,47.0644,132.82485,63.3905
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp8,73.3358,40.345225,40.7556,55.92995,0.725475
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,16.82255,26.933475,44.822825,30.91515,145.57095
GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,110.550075,54.90355,95.029025,98.9057,176.087325
GlcNAc(b1-4)(a1-MDPLys,3.523225,42.73735,56.7135,19.624725,47.526525
GlcNAc(b1-6)[GlcNAc(b1-4)]GalNAc(a1-Sp8,62.4071,37.269075,33.595525,95.5558,42.23735
GlcNAc(b1-4)Gal(b1-4)GlcNAc(b1-Sp8,6.31265,3.830075,38.680325,31.466625,-20.96515
GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,49.2486,71.288775,107.9684,93.0039,107.28995
GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,46.11095,59.137075,62.466175,24.22625,46.8764
GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,49.01795,58.806575,22.62985,69.8429,84.820675
GlcNAc(b1-6)GalNAc(a1-Sp8,93.1325,88.80015,107.739725,22.368775,37.799725
GlcNAc(b1-6)GalNAc(a1-Sp14,74.158225,155.3754,73.367,105.7577,75.5471
GlcNAc(b1-6)Gal(b1-4)GlcNAc(b1-Sp8,12.562425,8.20035,63.552125,20.010125,63.230075
Glc(a1-4)Glc(b1-Sp8,99.741775,129.360275,95.822425,180.352925,123.0547
Glc(a1-4)Glc(a1-Sp8,96.860475,143.213475,80.17135,58.7775,590.4733
Glc(a1-6)Glc(a1-6)Glc(b1-Sp8,106.568425,83.04725,117.025325,51.2794,50.8612
Glc(b1-4)Glc(b1-Sp8,41.81385,112.030725,105.923675,79.313025,800.421475
Glc(b1-6)Glc(b1-Sp8,150.05185,101.043075,62.1258,41.8068,67.17175
G-ol(a1-Sp8,38.5802,83.812025,80.76415,150.454475,98.31445
GlcA(a1-Sp8,46.483,81.74115,146.313375,195.11885,127.436
GlcA(b1-Sp8,549.180675,622.830525,726.712125,641.0967,741.72375
GlcA(b1-3)Gal(b1-Sp8,108.081125,98.8071,67.458675,65.361,57.57965
GlcA(b1-6)Gal(b1-Sp8,147.645125,174.9612,45.0445,102.56375,109.715875
KDN(a2-3)Gal(b1-3)GlcNAc(b1-Sp0,31.0962,68.386175,64.3515,151.390425,145.490775
KDN(a2-3)Gal(b1-4)GlcNAc(b1-Sp0,92.922675,68.541425,93.4815,63.1679,68.802125
Man(a1-2)Man(a1-2)Man(a1-3)Man(a1-Sp9,83.451125,51.748525,28.606925,117.6047,100.057475
Man(a1-2)Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-Sp9,48.675575,49.490225,35.823775,48.357025,96.70835
Man(a1-2)Man(a1-3)Man(a1-Sp9,114.140875,66.5966,42.42265,49.215625,149.2929
Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,66.084325,50.3608,45.697275,31.051175,25.517975
Man(a1-2)Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,34.451275,128.36515,66.70475,54.844325,190.15995
Man(a1-2)Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,439.8323,376.7268,362.8997,270.057325,434.1801
Man(a1-6)[Man(a1-3)]Man(a1-Sp9,115.5141,24.28245,28.66985,73.9577,26.916225
Man(a1-2)Man(a1-2)Man(a1-6)[Man(a1-3)]Man(a1-Sp9,155.916225,154.4694,92.06035,163.28225,179.46945
Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,1100.44485,1258.83045,1065.86505,926.6178,1209.221875
