IUPAC,DSL (0.1ug/ml),DSL (1ug/ml),DSL (10ug/ml),DSL (100ug/ml)
Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,6.025974999999999,1.6562749999999982,9.720899999999997,2.1380000000000017
Gal(b1-3)GalNAc(b1-4)Gal(b1-4)Glc(b1-Sp8,12.79005,8.808649999999995,4.189500000000002,1.320074999999992
Gal(b1-3)Gal(b1-Sp8,1.2260500000000008,7.791099999999991,8.836325000000002,32.20715
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,4.656675,22.664475000000003,44.14655000000001,459.069825
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,7.9102999999999986,-1.6821000000000008,0.19907500000000145,4.488875000000002
Gal(b1-3)GlcNAc(b1-Sp0,0.5139000000000014,10.694249999999998,2.115025,6.663125
Gal(b1-3)GlcNAc(b1-Sp8,11.364724999999998,6.3817999999999975,1.3179749999999988,12.2576
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,-0.08170000000000144,8.183050000000003,16.853724999999994,9.303549999999994
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,-1.877699999999999,3.4353750000000005,1.4358999999999966,13.421625
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,8.810949999999998,8.030399999999998,10.211475,-1.7943250000000042
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,13.177225,13.641275000000006,10.680725,-1.342175000000001
Gal(b1-4)(6S)Glc(b1-Sp0,9.8803,12.667000000000007,7.842525000000002,-5.482449999999997
Gal(b1-4)(6S)Glc(b1-Sp8,2.75875,0.9634999999999998,7.262675,2.795024999999999
Gal(b1-4)GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,9.171075,109.6721,971.788625,3731.372375
Gal(b1-4)GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,-1.4712750000000003,2.226074999999999,9.040275,10.635
Gal(b1-4)GlcNAc(b1-3)GalNAc(a1-Sp8,-1.8468249999999973,2.67225,5.68625,69.93152499999998
Gal(b1-4)GlcNAc(b1-3)GalNAc(a1-Sp14,1.8052999999999968,13.535125,5.450375000000002,-0.07564999999999777
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,-3.062025,11.63795,1.6187750000000012,4.8518500000000016
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,32.596599999999995,103.9632,700.4294249999997,4533.288624999999
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,14.150449999999998,142.093125,1151.3584,4255.4216000000015
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,4.58605,0.9625749999999976,-0.7654250000000005,2.9345750000000006
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,12.813350000000005,9.02125,7.624250000000003,122.877775
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp8,9.604874999999996,10.9248,9.801225,31.154250000000008
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp14,2.5514749999999977,6.132074999999999,6.405,-5.3042250000000015
Gal(b1-4)GlcNAc(b1-Sp0,-0.306300000000002,0.10669999999999824,18.1594,729.592975
Gal(b1-4)GlcNAc(b1-Sp8,3.413400000000001,31.276650000000004,419.19085,1725.3406249999994
Gal(b1-4)GlcNAc(b1-Sp23,-2.329825,0.6598750000000004,36.732725,335.01537500000006
