IUPAC,MOA (0.1ug/ml),MOA (1ug/ml),MOA (10ug/ml)
Gal(a1-6)Glc(b1-Sp8,4.840485831,8.307770317,7.337942495
Gal(b1-2)Gal(b1-Sp8,8.229051879,7.450246695,6.503744874
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,5.319922761,4.356572463,9.501648921
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,3.861968966,4.622290017,6.710789972
Gal(b1-3)[Fuc(a1-4)]GlcNAc(a1-Sp0,1.90449327,17.37815669,17.60062117
Gal(b1-3)[Fuc(a1-4)]GlcNAc(a1-Sp8 ,5.635712134,2.925530922,8.969875916
Fuc(a1-4)[Gal(b1-3)]GlcNAc(b1-Sp8,6.275136468,6.739247893,6.456912266
Gal(b1-4)GlcNAc(b1-6)GalNAc(a1-Sp8,6.456746028,7.258958423,8.631920273
Gal(b1-4)GlcNAc(b1-6)GalNAc(a1-Sp14,18.77256766,17.08689947,20.50628099
GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp8,7.47050545,12.21547426,25.97676979
GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp14,4.345975523,10.0002783,4.129611674
Neu5Ac(a2-6)[Gal(b1-3)]GalNAc(a1-Sp8,3.771619626,2.722785614,6.181710984
Neu5Ac(a2-6)[Gal(b1-3)]GalNAc(a1-Sp14,8.096268392,12.02110059,6.22382133
Neu5Ac(b2-6)[Gal(b1-3)]GalNAc(a1-Sp8,9.553788256,5.639581648,5.084090865
Neu5Ac(a2-6)[Gal(b1-3)]GlcNAc(b1-4)Gal(b1-4)Glc(b1-Sp10,6.522165621,3.714265958,5.262742089
Gal(b1-3)GalNAc(a1-Sp8,2.227454838,3.038290592,9.019744125
Gal(b1-3)GalNAc(a1-Sp14,4.833123301,8.507480698,2.370013859
Gal(b1-3)GalNAc(a1-Sp16,4.862922017,15.9367666,6.401474734
Gal(b1-3)GalNAc(b1-Sp8,3.351437641,5.581766844,6.891509674
Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,12.38548103,23.21927314,18.02094611
Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,5.860490939,14.23974047,5.58783421
Gal(b1-3)GalNAc(b1-4)Gal(b1-4)Glc(b1-Sp8,5.83054424,32.34627063,4.963255387
Gal(b1-3)Gal(b1-Sp8,3.053475877,8.062209796,4.777842931
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,3.334696019,18.44908861,9.25760063
