IUPAC,WGA 0.01ug,WGA 0.1ug/ml,WGA 1ug/ml,WGA 10ug/ml,WGA 100ug/ml
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp8,2.922246246,68.23040896,454.7192444,1676.127786,4412.7951
Fuc(a1-2)Gal(b1-4)Glc(b1-Sp0,30.94733128,7.792760673,15.41827224,2.261320184,12.38162538
Fuc(a1-2)Gal(b1-Sp8,17.65581724,3.914720339,9.738420293,7.876216857,25.93928199
Fuc(a1-3)GlcNAc(b1-Sp8,7.997085248,8.74093424,10.47306846,11.47458976,19.95071696
Fuc(a1-4)GlcNAc(b1-Sp8,5.49225266,16.71840199,3.593794081,12.65679611,7.878841485
Fuc(b1-3)GlcNAc(b1-Sp8,15.72884756,8.362112093,14.35017291,11.07655751,12.10990638
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,6.241106011,11.41842869,2.761246893,4.554468081,108.6798823
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,48.50914427,13.11791515,8.150250891,14.17253747,73.19034574
(3S)Gal(b1-4)[Fuc(a1-3)]Glc(b1-Sp0,6.03301846,38.16837447,9.595613926,20.32639106,55.28986732
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp0,9.67680355,226.6367292,132.651141,4317.032761,371.7298374
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,23.47179065,915.8725091,3386.947227,1444.446539,10757.88841
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,8.624184842,6.346041989,9.591372657,7.451766753,415.7577866
GlcNAc(b1-3)Gal(b1-3)GalNAc(a1-Sp8,5.366025141,365.7728755,1045.85829,1108.823074,2094.889869
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,10.62518227,373.2229865,406.2298312,730.3202186,4857.602408
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,4.374673942,10.14437604,244.203334,553.6490682,1151.463792
GalNAc(a1-3)GalNAc(b1-Sp8,2.128229121,9.143007759,37.30474646,357.2759565,1122.231715
GalNAc(a1-3)Gal(b1-Sp8,45.6194925,871.4109511,1681.248432,2314.410851,5264.37747
GalNAc(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,34.96423952,371.859159,2222.303858,1910.957465,1810.021565
GalNAc(b1-3)GalNAc(a1-Sp8,17.69453044,11.94368989,5.90084298,9.685817569,11.68755467
GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-Sp8,9.299069882,11.72987596,13.2256178,22.11325305,74.73622287
GalNAc(b1-3)Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,86.71473623,159.5921135,835.9458846,548.5357589,2656.222618
GalNAc(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,39.66334293,683.326056,3783.154838,1484.028056,916.0045504
GalNAc(b1-4)GlcNAc(b1-Sp0,36.07595743,587.2526961,2372.179875,1373.253582,1702.905207
GalNAc(b1-4)GlcNAc(b1-Sp8,8.873887204,753.7839978,1775.325387,1395.69614,398.8014405
Gal(a1-2)Gal(b1-Sp8,12.09459338,14.69022001,7.105469726,2.474406024,73.96111893
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,2.32103675,18.83401157,15.41999889,68.1164541,123.6696533
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp8,8.654735408,12.71047878,12.51659174,2.025317441,28.55585824
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,6.578182624,5.976224334,8.063040204,5.502735484,58.57495015
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,8.19529308,1.428683059,7.278021373,5.452279283,22.00785502
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(a1-Sp0,14.99768085,449.3519203,5650.816063,789.9639325,1218.580709
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,4.215730453,17.03782772,7.425473266,5.475850985,27.87724992
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,3.1218155,3.465220256,5.033610812,1.942964857,18.54379204
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,17.91889821,4.932677959,8.515978338,12.49633676,13.77986886
Gal(a1-4)[Gal(a1-3)]Gal(b1-4)GlcNAc(b1-Sp8,24.11747273,1081.978303,3204.779003,2391.47598,1172.891426
Gal(a1-3)GalNAc(a1-Sp8,33.7229594,7.716444738,5.522061169,16.96746836,61.062212
Gal(a1-3)GalNAc(a1-Sp16,2.252492468,3.075497186,10.5545419,6.555598314,9.191848784
Gal(a1-3)GalNAc(b1-Sp8,9.778798543,5.022738685,5.572989128,12.19579523,30.11226745
Gal(a1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,3.333606552,4.609663757,23.17515564,9.987919932,44.4935018
Gal(a1-3)Gal(b1-3)GlcNAc(b1-Sp0,5.256471456,13.84648809,21.34412518,39.82267592,19.03320351
Gal(a1-3)Gal(b1-4)GlcNAc(b1-Sp8,16.65233286,45.20668383,257.392881,3228.369584,1843.733023
Gal(a1-3)Gal(b1-4)Glc(b1-Sp0,1.959649902,4.138597196,6.275665121,8.592534264,48.38527919
Gal(a1-3)Gal(b1-4)Glc(a1-Sp10,8.886277892,8.329910804,7.515834393,5.276855879,14.89295737
Gal(a1-3)Gal(b1-Sp8,16.06625937,10.21869457,3.562608807,12.0882056,538.62545
Gal(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,23.59993127,503.9001984,3307.753864,1813.094728,1901.901112
Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,23.21199522,58.56267262,725.4768681,2406.581048,1497.535052
Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp8,20.48549521,232.8369678,1304.552784,1854.330865,3117.230144
Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,5.843996244,11.88201275,21.1195581,26.04473026,24.74043147
Gal(a1-4)GlcNAc(b1-Sp8,48.14007005,15.8863877,6.601332845,14.93617402,139.4771954
Gal(a1-6)Glc(b1-Sp8,11.83859786,12.57984143,10.34091433,5.008330254,17.83524391
Gal(b1-2)Gal(b1-Sp8,14.48212612,9.023844714,11.50307243,46.62578217,78.6926779
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,8.111699269,12.12355246,9.832312255,8.244198768,52.87633981
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,4.648263549,12.53145855,2.616795661,6.034548545,8.388837611
Gal(b1-3)[Fuc(a1-4)]GlcNAc(a1-Sp0,7.762107382,12.50164543,17.59965997,26.24959479,24.32760595
