IUPAC,CF-05/27/2011 (0.1ug/ml),CF-(05/27/2011) (1ug/ml),CF-05/27/2011 (10ug/ml),CF-(05/27/2011) (100ug/ml)
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(a1-Sp8,10.719446773504703,16.801819003781524,38.90521643451771,246.8980227999211
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,33.64392798127425,16.672784178014926,38.654295330359716,12.349295431555312
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,23.88479312275212,19.34047645196896,28.494081383625414,8.063141020047068
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(a1-Sp0,16.19740810397339,11.572272285762539,44.19449822164029,24.84590912341856
(3S)Gal(b1-4)Glc(b1-Sp8,25.566865991030873,19.68902841051336,210.9136757869812,39.18725347527996
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,10.533826600844863,23.227963661124054,90.84700857442972,9.826409783333881
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,12.101490620683892,3.3910339479033764,84.48784951900889,26.66586617199037
(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,12.771510432599595,41.60454065334496,19.258442797099853,60.51443864960385
(3S)Gal(b1-3)GalNAc(a1-Sp8,99.38180732838468,569.0758631996464,654.1247233725487,787.3420694565292
(3S)Gal(b1-3)GlcNAc(b1-Sp0,8.58737354001986,5.6874320921220685,362.4640834464659,3526.834230066931
(3S)Gal(b1-3)GlcNAc(b1-Sp8,4.4214870300072695,19.922570328398926,1241.4043185116216,1529.255566169288
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp0 ,49.478743767290474,72.91019781417775,43.29154025014757,21.313565111986808
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp8,12.565607527791883,47.20146275293455,16.840749011054506,30.59034082593175
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,14.824710804233804,23.600532477756147,42.228772967137004,17.722324075395182
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8,23.299691928363906,11.201498193656935,18.124436522252648,42.992311529156
(3S)Gal(b1-4)GlcNAc(b1-Sp0,21.25884436683546,6.3509082135287365,25.518903632797784,18.12038065420628
(3S)Gal(b1-4)GlcNAc(b1-Sp8,24.297558648349852,35.334147953785425,57.913869986177254,31.89101413903037
(3S)Gal(b1-Sp8,28.395889615855303,20.010069967893692,116.71948470894884,47.09703244724288
(6S)(4S)Gal(b1-4)GlcNAc(b1-Sp0,18.585210361714008,5.445767942479137,14.334737790038815,24.104011102027545
(4S)Gal(b1-4)GlcNAc(b1-Sp8,9.672892067482566,30.41140077442175,17.309272326968753,24.600196167307416
(6P)Man(a1-Sp8,22.657221420903074,13.80519770312978,121.23885386886428,59.809724127018
(6S)Gal(b1-4)Glc(b1-Sp0,8.216724737742574,44.74541988501913,82.88065313437134,56.18983098823725
(6S)Gal(b1-4)Glc(b1-Sp8,2.1009915379414186,24.050191389675067,47.20540148517593,32.43393933874153
(6S)Gal(b1-4)GlcNAc(b1-Sp8,10.748865241969003,59.312323658656,9.095427962626776,62.276308472002476
(6S)Gal(b1-4)(6S)Glc(b1-Sp8,9.667277218190318,25.62665105385082,53.20573853915283,48.970423550572825
Neu5Ac(a2-3)(6S)Gal(b1-4)GlcNAc(b1-Sp8,21.569908375172442,30.878789656817823,56.337884784360114,38.29024064210096
(6S)GlcNAc(b1-Sp8,24.750132141381265,15.452258375045602,44.77320051730168,7.900828318811477
"Neu5,9Ac2(a1-Sp8",40.33420597717481,19.631876402656147,13.043172003868511,29.304928482011924
"Neu5,9Ac2(a2-6)Gal(b1-4)GlcNAc(b1-Sp8",20.069701660857678,5.3336102354159145,29.07873854283401,42.62509883463611
Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,50.64719445434232,119.06137812230487,293.1905464031068,56.868645598813146
Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,31.76313142350277,80.63733605546828,67.42338047103911,135.5551540467663
GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,13.779149506016795,16.421350826160236,40.80546680732071,25.08501663070009
