IUPAC,ECL 0.01ug/ml,ECL 0.5ug/ml,ECL 1ug/ml,ECL 5ug/ml,ECL 50ug/ml
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,17.910301800000006,12.2720619,9.941978459,38.07464501,34.15256534
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp0,14.51918813,9.173745491,3.5362575360000004,9.991674494,15.76831928
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp8,35.66536344,15.81230723,27.42434266,18.75848779,16.38727399
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,27.048590100000002,8.543830932999999,18.02740967,1.487063178,10.58559417
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,3.954415735,11.97451797,9.734807242,21.01351892,37.83728755
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,26.38392924,25.70897074,18.77803502,9.770082845,48.53786844
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,6.200335839,6.157600269,9.463164635,7.918375201,8.202359568
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,4.867065425,13.55818835,27.4984316,75.32169152,494.9240611000001
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,4.21177869,15.66933314,16.501832500000006,64.25910209,446.82543480000004
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp0,5.8647288170000005,6.912686091,10.67512564,9.910126696,5.664050989
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp8,5.709187768,15.14935241,23.37351578,45.47897441,416.8593647
Fuc(a1-2)Gal(b1-4)Glc(b1-Sp0,3.98569515,11.82244135,19.35216889,3.4909605530000003,10.47307527
Fuc(a1-2)Gal(b1-Sp8,12.42529827,3.937807986,3.171540527,4.315378486,19.65217277
Fuc(a1-3)GlcNAc(b1-Sp8,4.399088583999999,11.93705754,19.73196432,0.7058846790000001,8.584079881000001
Fuc(a1-4)GlcNAc(b1-Sp8,7.82467085,8.791380655,6.774078702000001,14.49698108,7.8589667720000005
Fuc(b1-3)GlcNAc(b1-Sp8,5.079520669,12.27144217,7.17735257,4.829579097,11.60789787
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,8.831995476,9.801956094,7.167343392,7.756347525,7.678947099
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,6.042533914,11.20119729,12.41168522,23.02170104,6.9812452920000005
(3S)Gal(b1-4)[Fuc(a1-3)]Glc(b1-Sp0,7.3770949360000015,5.565346913,10.076181199999999,5.23415791,21.80724268
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp0,3.948894558,7.109484387,9.483675557,6.491150842000001,7.192938899
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,2.734678457,3.095221033,14.04321345,2.96501137,10.51344255
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,3.6083060139999996,8.073691631,50.25401813,11.124577,12.63330009
GlcNAc(b1-3)Gal(b1-3)GalNAc(a1-Sp8,8.940630783,15.61180875,10.68034923,3.01215546,20.52629377
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,12.48849595,10.72741761,6.054552468,13.05194143,11.49356003
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,20.45777142,12.92568122,27.47895837,8.19217801,8.848077948
