IUPAC,TJA-I 0.1ug/ml,TJA-I 1ug/ml,TJA-I 10ug/ml,TJA-I 100ug/ml
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,14.898475,7.597575000000001,5.561199999999998,6.5136750000000045
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp0,6.001125000000003,5.838175,15.355849999999995,15.676100000000002
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp8,6.474124999999999,11.165400000000002,9.020049999999998,6.763199999999999
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,5.770174999999997,4.612074999999999,3.093874999999999,2.4540499999999987
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,7.1622,12.822724999999995,32.278775,20.820825000000006
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,10.6172,10.7167,13.121950000000002,6.832074999999998
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,5.33165,16.554174999999994,13.311399999999995,4.63125
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,10.369274999999998,12.278550000000005,6.295024999999999,20.3994
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,6.98255,5.474675000000001,12.995525000000002,16.492375000000006
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp0,14.828574999999995,12.0758,29.6997,17.068099999999962
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp8,2.599375,28.384425,9.179674999999998,22.886225
Fuc(a1-2)Gal(b1-4)Glc(b1-Sp0,18.03325,10.657375,12.213399999999995,75.488425
Fuc(a1-2)Gal(b1-Sp8,19.715425000000003,12.807175000000004,1.3275250000000014,18.64495
Fuc(a1-3)GlcNAc(b1-Sp8,9.207425,4.5153750000000015,24.799150000000004,6.619
Fuc(a1-4)GlcNAc(b1-Sp8,10.652475,24.017900000000004,4.7371500000000015,3.1539750000000013
Fuc(b1-3)GlcNAc(b1-Sp8,4.721525,18.264575,13.104449999999998,0.8062249999999995
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,5.036525000000003,11.5237,1.411575000000001,9.8436
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,7.6626249999999985,23.160775,9.550799999999992,17.730475000000006
(3S)Gal(b1-4)[Fuc(a1-3)]Glc(b1-Sp0,10.611425000000004,10.087174999999997,15.8125,41.704025
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp0,4.277774999999999,6.9923,11.778075000000005,13.752175000000005
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,9.492975,0.37204999999999977,12.022775,12.304125
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,21.044875,16.679975,6.3104999999999976,19.368025
GlcNAc(b1-3)Gal(b1-3)GalNAc(a1-Sp8,4.383350000000002,29.3036,23.473275,9.270775
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,2.543300000000002,3.1932500000000026,11.877950000000002,16.309724999999997
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,3.0009750000000017,10.828074999999998,18.978500000000004,15.6551
GalNAc(a1-3)GalNAc(b1-Sp8,6.370374999999999,7.2603500000000025,7.452549999999992,9.627875
GalNAc(a1-3)Gal(b1-Sp8,0.2510250000000003,15.397299999999998,23.4658,17.576224999999994
GalNAc(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,3.8172250000000014,-0.018250000000001883,4.251150000000001,-0.0441249999999993
GalNAc(b1-3)GalNAc(a1-Sp8,6.242825,4.084325,27.926575,11.601824999999998
GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-Sp8,3.61955,19.50605,7.417474999999998,7.078225
GalNAc(b1-3)Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,15.888725,12.690074999999995,14.4905,20.235200000000013
GalNAc(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,17.085249999999995,4.7516500000000015,16.764449999999997,42.337249999999926
GalNAc(b1-4)GlcNAc(b1-Sp0,9.370825,28.596675000000033,7.3407750000000025,39.290375000000026
GalNAc(b1-4)GlcNAc(b1-Sp8,13.6148,21.80690000000001,6.64725,113.27644999999998
Gal(a1-2)Gal(b1-Sp8,9.211225,10.795974999999995,10.415350000000002,44.644075
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,11.753174999999995,4.327050000000002,17.439299999999996,51.16257499999999
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp8,48.77775000000001,33.89155,57.04670000000001,49.28547499999999
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,39.18090000000001,31.280525,11.716925000000005,42.464225
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,3.6750500000000006,6.372425,7.8648250000000015,9.948350000000003
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(a1-Sp0,6.862774999999999,-4.318399999999999,13.236025,16.162400000000048
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,1.3241749999999994,27.376075,5.7866,12.569400000000005
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,7.2605749999999984,3.36205,17.56,28.4694
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,4.510625,18.288675,18.680850000000007,19.1064
Gal(a1-4)[Gal(a1-3)]Gal(b1-4)GlcNAc(b1-Sp8,29.147200000000005,12.50575,46.38184999999999,69.65427500000001
Gal(a1-3)GalNAc(a1-Sp8,46.012075,32.39127500000001,27.05089999999999,74.25150000000002
Gal(a1-3)GalNAc(a1-Sp16,21.47285,6.963824999999996,6.873900000000001,48.47772499999999
Gal(a1-3)GalNAc(b1-Sp8,4.475724999999997,5.601049999999999,5.566150000000002,13.842575000000005
Gal(a1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,12.167625,6.892275,12.603774999999995,7.128075000000001
Gal(a1-3)Gal(b1-3)GlcNAc(b1-Sp0,8.266100000000002,3.4037000000000006,7.744749999999998,23.295099999999994
Gal(a1-3)Gal(b1-4)GlcNAc(b1-Sp8,6.987625,4.683200000000001,16.93634999999999,2.6751250000000013
Gal(a1-3)Gal(b1-4)Glc(b1-Sp0,10.2314,16.258149999999997,11.773000000000005,24.161725
Gal(a1-3)Gal(b1-4)Glc(a1-Sp10,9.721975,8.037925000000001,0.5781500000000008,25.98467500000001
Gal(a1-3)Gal(b1-Sp8,8.992424999999997,4.308925000000002,16.054924999999994,5.55335
Gal(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,17.075875,8.825199999999992,32.576125,20.524825
Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,16.186525000000003,16.78854999999999,10.943325000000002,56.84582499999999
Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp8,18.739200000000004,5.158675000000006,13.774950000000004,37.143525
Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,29.2052,41.963775,17.565875,50.780625
Gal(a1-4)GlcNAc(b1-Sp8,10.553275,7.572974999999994,17.62209999999999,24.219524999999976
Gal(a1-6)Glc(b1-Sp8,6.708174999999999,15.097999999999999,6.592625000000003,53.00707500000001
Gal(b1-2)Gal(b1-Sp8,16.408900000000006,16.206999999999994,38.239725,64.33415
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,3.5690250000000017,13.396825,12.591049999999996,4.443974999999998
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,7.35435,-1.1510750000000003,5.898275,0.4232250000000022
Gal(b1-3)[Fuc(a1-4)]GlcNAc(a1-Sp0,13.272899999999998,5.170750000000004,15.765299999999995,21.06725
Gal(b1-3)[Fuc(a1-4)]GlcNAc(a1-Sp8 ,8.462825000000002,5.991624999999999,8.980699999999958,21.2753
Fuc(a1-4)[Gal(b1-3)]GlcNAc(b1-Sp8,11.9698,5.735,4.672374999999995,10.316399999999996
Gal(b1-4)GlcNAc(b1-6)GalNAc(a1-Sp8,14.895174999999995,16.180875,9.594250000000002,24.46575
Gal(b1-4)GlcNAc(b1-6)GalNAc(a1-Sp14,19.933075,9.406125000000003,14.700300000000002,42.379925
GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp8,13.771,22.97945000000001,32.218650000000004,20.83330000000001
GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp14,12.6743,5.48915,4.718950000000001,14.626175000000005
Neu5Ac(a2-6)[Gal(b1-3)]GalNAc(a1-Sp8,10.374325000000002,17.981049999999996,20.927575000000004,24.945625
Neu5Ac(a2-6)[Gal(b1-3)]GalNAc(a1-Sp14,0.08602500000000203,22.5906,25.00945,7.5658499999999975
Neu5Ac(b2-6)[Gal(b1-3)]GalNAc(a1-Sp8,5.534349999999997,12.201375,-0.9913249999999998,7.549000000000001
Neu5Ac(a2-6)[Gal(b1-3)]GlcNAc(b1-4)Gal(b1-4)Glc(b1-Sp10,0.9467250000000008,8.176350000000003,0.6499749999999995,4.483874999999999
Gal(b1-3)GalNAc(a1-Sp8,11.087524999999998,15.013399999999995,11.114825,22.999475000000004
Gal(b1-3)GalNAc(a1-Sp14,10.200549999999991,3.541599999999999,7.870375000000001,18.287425
Gal(b1-3)GalNAc(a1-Sp16,9.53775,16.607800000000005,9.63145,49.4957
Gal(b1-3)GalNAc(b1-Sp8,13.905249999999995,10.352625000000009,20.22595,20.60405
Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,9.922075,4.544549999999997,6.4352,5.933149999999998
Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,6.798424999999997,-0.5478500000000022,5.5162999999999975,40.22855
Gal(b1-3)GalNAc(b1-4)Gal(b1-4)Glc(b1-Sp8,9.177475,13.587399999999995,19.740750000000006,16.540149999999993
Gal(b1-3)Gal(b1-Sp8,17.4133,14.613600000000002,22.853574999999992,21.969000000000005
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,8.207849999999999,2.604275000000001,12.029775000000004,-6.111700000000001
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,18.83,6.864099999999999,1.1539499999999985,10.43525
Gal(b1-3)GlcNAc(b1-Sp0,7.830699999999997,6.4831499999999975,14.2651,373.55915000000016
Gal(b1-3)GlcNAc(b1-Sp8,18.7005,14.550950000000007,12.539274999999995,29.489500000000003
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,6.376574999999999,4.111575,28.987525,25.828825
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,6.570974999999999,-2.6035249999999994,18.589850000000006,11.30055
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,7.989349999999997,13.833849999999998,17.554125000000006,0.2434000000000012
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,0.7276250000000006,5.525425,7.638024999999992,-0.16037499999999927
Gal(b1-4)(6S)Glc(b1-Sp0,18.215125,9.35565,15.412075000000002,41.552025
Gal(b1-4)(6S)Glc(b1-Sp8,20.214424999999995,29.020924999999995,53.170549999999984,38.32012499999999
Gal(b1-4)GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,3.270100000000001,8.043699999999998,5.6595749999999985,8.6369
Gal(b1-4)GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,0.939474999999999,6.341824999999997,8.350625,12.146025000000016
Gal(b1-4)GlcNAc(b1-3)GalNAc(a1-Sp8,12.639225,8.043849999999999,1.0856499999999976,22.2603
Gal(b1-4)GlcNAc(b1-3)GalNAc(a1-Sp14,11.080425000000002,3.781974999999999,17.975300000000004,43.788075
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,14.066549999999998,6.273375,9.6155,17.309425000000005
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,1.9386500000000024,17.106649999999995,3.2335999999999987,5.071425000000001
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,13.877599999999996,2.6213749999999987,5.912975000000001,15.996975
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,10.162725000000004,22.921525,39.24125,10.302399999999997
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,5.195425,5.503074999999999,15.109625,26.690225
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp8,11.426724999999998,9.79595,13.239249999999995,20.575025
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp14,15.676200000000005,21.97685,16.600250000000006,35.484775
Gal(b1-4)GlcNAc(b1-Sp0,16.252274999999994,12.32925,9.89215,24.130475000000004
Gal(b1-4)GlcNAc(b1-Sp8,-0.6889499999999984,-4.420675000000001,6.302575000000001,18.356825
Gal(b1-4)GlcNAc(b1-Sp23,3.97185,3.2125,9.344225000000002,21.990075
Gal(b1-4)Glc(b1-Sp0,11.228725000000004,3.2263249999999988,18.7441,15.201474999999995
Gal(b1-4)Glc(b1-Sp8,12.422249999999998,14.813225,12.109199999999996,28.240749999999927
GlcNAc(a1-3)Gal(b1-4)GlcNAc(b1-Sp8,4.3366500000000014,22.0054,8.274899999999999,10.962125
GlcNAc(a1-6)Gal(b1-4)GlcNAc(b1-Sp8,0.8726250000000011,5.3836,23.982675,524.965825
GlcNAc(b1-2)Gal(b1-3)GalNAc(a1-Sp8,9.598025000000002,0.8073499999999996,14.353374999999998,9.635849999999998
GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc(a1-Sp8,23.21285,4.3816000000000015,8.054199999999998,8.630349999999998
GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc(a1-Sp14,6.085399999999997,7.0202500000000025,4.789675000000001,7.2266999999999975
GlcNAc(b1-6)[GlcNAc(b1-3)]Gal(b1-4)GlcNAc(b1-Sp8,13.78845,1.086875,12.944,-1.1233500000000003
GlcNAc(b1-3)GalNAc(a1-Sp8,22.2435,13.956175000000002,22.046524999999995,21.708275000000004
GlcNAc(b1-3)GalNAc(a1-Sp14,8.563075000000005,12.807050000000002,3.743499999999999,40.78192500000002
GlcNAc(b1-3)Gal(b1-Sp8,16.436724999999996,1.1035500000000005,11.55985,12.14135
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,1.5725,16.689700000000002,2.77585,17.543325
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp8,21.453000000000007,0.14474999999999838,3.5223000000000004,15.802400000000004
GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,7.880124999999998,6.625499999999998,20.140725,29.0742
GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,12.797899999999998,12.171575,41.13105,9.795850000000003
GlcNAc(b1-4)(a1-MDPLys,3.457775,8.851899999999997,16.733674999999998,11.922600000000005
GlcNAc(b1-6)[GlcNAc(b1-4)]GalNAc(a1-Sp8,10.912799999999995,8.014725000000002,12.181625,1.6645249999999994
GlcNAc(b1-4)Gal(b1-4)GlcNAc(b1-Sp8,-4.68145,4.430425000000003,-4.472899999999999,-8.975500000000002
GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,5.561349999999997,3.71865,12.3147,34.646175
GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,9.7054,5.311724999999999,16.950924999999998,-1.994299999999999
GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,12.5527,9.7031,7.470700000000001,15.053824999999998
GlcNAc(b1-6)GalNAc(a1-Sp8,25.01347500000001,11.26655,40.55167499999999,41.12197499999999
GlcNAc(b1-6)GalNAc(a1-Sp14,1.425575000000002,5.3098249999999885,15.090299999999996,16.299175000000005
GlcNAc(b1-6)Gal(b1-4)GlcNAc(b1-Sp8,7.082925000000002,7.511850000000003,15.8104,9.610825
Glc(a1-4)Glc(b1-Sp8,8.42935,23.47002500000001,27.32992500000001,14.874625000000005
Glc(a1-4)Glc(a1-Sp8,3.384924999999998,3.0226000000000024,11.219750000000005,36.144725
