IUPAC,SNA (0.001ug/ml),SNA (0.005ug/ml),SNA (0.1ug/ml),SNA (0.5ug/ml),SNA 0.5ug/ml,SNA (1ug/ml),SNA (5ug/ml),SNA 10ug/ml,SNA 100ug/ml
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,75.75994999999998,12.639925000000005,21.63805,4.12255,156.40184999999997,48.94357500000001,8.987525000000002,206.15532499999995,-88.701325
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(a1-Sp8,22.996575,7.456174999999997,4.207049999999997,9.687349999999997,-42.854175,-1.7172999999999912,23.429475,205.0901,-46.235
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,-8.815275,4.157725000000001,8.835799999999997,-3.712349999999999,770.5678499999997,-27.980599999999995,2.4079749999999978,505.680875,448.737675
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,-0.8102250000000062,9.800349999999998,27.656675,18.042175,174.369375,-23.121075,2.8013250000000016,314.7684250000001,-55.03904999999999
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(a1-Sp0,153.8352,23.42535,25.207300000000004,42.524025,302.048375,128.462125,23.83895,348.40654999999987,-8.547650000000004
(3S)Gal(b1-4)Glc(b1-Sp8,16.792075,4.800699999999999,8.47055,9.77595,-47.224075000000006,-5.172125000000005,2.8936750000000018,1373.3494250000006,20.971925
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,10.678349999999998,5.821299999999999,11.5897,2.721550000000001,-77.478275,2.986725,3.9552500000000013,1882.2075,20.84595
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,6.4938499999999975,3.6984000000000012,6.6296250000000025,5.475900000000001,21.669650000000004,-0.6764749999999999,2.5748250000000006,1347.1120499999995,-35.97172499999999
(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,0.1606000000000023,12.072649999999998,5.466800000000001,2.632575000000001,-95.8707,2.227824999999996,3.1714749999999983,145.31817500000002,106.429625
(3S)Gal(b1-3)GalNAc(a1-Sp8,-6.03285,5.716900000000001,12.5481,1.3059749999999983,157.31577499999997,-5.6846250000000005,3.1990999999999983,252.406525,22.909700000000008
(3S)Gal(b1-3)GlcNAc(b1-Sp0,-3.7375,10.876075,8.317600000000002,5.5459,68.30595,-10.650299999999998,20.024975,33.05607500000001,15.905900000000004
(3S)Gal(b1-3)GlcNAc(b1-Sp8,-3.037099999999999,3.336325000000004,-3.5332,3.8169,-18.448000000000008,-8.863775,8.568150000000005,215.6182,-95.789475
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp0 ,-1.2588749999999962,13.553025000000002,7.505800000000002,7.953075000000003,-23.44592500000001,-1.4472000000000025,7.0025999999999975,278.451475,-46.47547500000001
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp8,8.038325,1.2614499999999982,8.462725000000002,1.9335750000000007,-7.940525000000004,-14.659174999999998,5.010149999999996,188.104925,336.09602499999994
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,9.505425,6.658825,14.637025,28.641525,-3.810325000000013,14.489399999999993,3.3430750000000025,445.903325,-25.96777499999996
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8,-12.7809,16.682375000000004,-1.1954000000000002,6.2225,61.91564999999997,-6.3517750000000035,0.6952750000000005,1241.8719500000002,-137.46759999999998
(3S)Gal(b1-4)GlcNAc(b1-Sp0,11.161099999999996,1.297799999999997,10.255850000000002,4.954475000000004,543.6066999999998,-4.2621249999999975,-4.448824999999999,153.609975,-48.92842499999998
(3S)Gal(b1-4)GlcNAc(b1-Sp8,0.12245000000000016,1.8540999999999992,4.157625,3.5756750000000044,-28.9024,-5.353524999999999,8.172549999999998,74.64994999999998,55.308425
(3S)Gal(b1-Sp8,3.5980999999999987,8.607100000000003,17.98485,1.9185000000000016,211.60925,-1.2323249999999994,11.373225,-4.869375,67.792225
(6S)(4S)Gal(b1-4)GlcNAc(b1-Sp0,7.3465500000000015,-3.502349999999999,6.228375,9.72895,-74.77839999999998,28.71405,2.132200000000001,209.6475250000001,-28.980025
(4S)Gal(b1-4)GlcNAc(b1-Sp8,-10.699749999999998,-1.8328749999999987,4.005600000000001,-5.8911,-2.669774999999998,-20.490575000000003,2.644375,-6.168824999999997,-9.221599999999997
(6P)Man(a1-Sp8,9.1534,4.438775000000003,14.836100000000002,11.5225,-79.08167499999998,36.9375,12.790375,1043.1994,85.3545
