IUPAC,ECL 0.01ug/ml,ECL 0.5ug/ml,ECL 1ug/ml,ECL 5ug/ml,ECL 50ug/ml
GlcNAc(b1-3)Gal(b1-3)GalNAc(a1-Sp8,13.7284,18.175475,17.1706,-11.37705,24.769375
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,-2.550325,-5.895125,-18.69915,-5.35305,-31.388825
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,12.8132,15.28005,19.1775,-11.80955,11.858625
GalNAc(a1-3)GalNAc(b1-Sp8,-13.308275,-0.263575,-9.968575,-6.5823,-25.0132
GalNAc(a1-3)Gal(b1-Sp8,23.355725,2.0623,16.1278,2.442,14.2373
GalNAc(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,11.29795,10.317175,-9.0594,-9.392425,-1.2088
GalNAc(b1-3)GalNAc(a1-Sp8,10.71985,19.164625,-2.949925,15.3062,20.671275
GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-Sp8,13.759725,39.152525,24.03175,-10.1981,13.652675
GalNAc(b1-3)Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,2.96755,14.984675,10.772075,9.90935,-11.6383
GalNAc(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,4.25775,20.257275,13.078325,-4.95845,3.900525
GalNAc(b1-4)GlcNAc(b1-Sp0,0.010275,42.331475,66.000875,1950.786875,9957.88655
GalNAc(b1-4)GlcNAc(b1-Sp8,5.561375,26.534,9.9391,682.307425,7398.331775
Gal(a1-2)Gal(b1-Sp8,-0.155475,3.481975,-2.969275,8.14255,6.036275
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,9.637775,4.052825,20.369675,-8.820625,12.3111
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp8,16.177075,19.3179,17.75585,7.643325,1.819275
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,24.9911,12.1997,43.50575,11.335675,26.7269
