Index,IUPAC,IUPAC (Unselected)
56,Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-Sp9,Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-Sp9
57,Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp9,Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp9
58,Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8
59,Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp8,Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp8
60,Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp14,Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp14
61,Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0
62,Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp9,Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp9
63,Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8
64,Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10
65,Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp0,Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp0
66,Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp8,Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp8
67,Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0
68,Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0
69,Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0
70,Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8
71,Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0
72,Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0
73,Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp0,Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp0
74,Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp8,Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp8
75,Fuc(a1-2)Gal(b1-4)Glc(b1-Sp0,Fuc(a1-2)Gal(b1-4)Glc(b1-Sp0
76,Fuc(a1-2)Gal(b1-Sp8,Fuc(a1-2)Gal(b1-Sp8
77,Fuc(a1-3)GlcNAc(b1-Sp8,Fuc(a1-3)GlcNAc(b1-Sp8
78,Fuc(a1-4)GlcNAc(b1-Sp8,Fuc(a1-4)GlcNAc(b1-Sp8
79,Fuc(b1-3)GlcNAc(b1-Sp8,Fuc(b1-3)GlcNAc(b1-Sp8
80,GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0
81,GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0
82,(3S)Gal(b1-4)[Fuc(a1-3)]Glc(b1-Sp0,(3S)Gal(b1-4)[Fuc(a1-3)]Glc(b1-Sp0
83,GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp0,GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp0
84,GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8
85,GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0
86,GlcNAc(b1-3)Gal(b1-3)GalNAc(a1-Sp8,GlcNAc(b1-3)Gal(b1-3)GalNAc(a1-Sp8
87,GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp8
88,GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp18
89,GalNAc(a1-3)GalNAc(b1-Sp8,GalNAc(a1-3)GalNAc(b1-Sp8
90,GalNAc(a1-3)Gal(b1-Sp8,GalNAc(a1-3)Gal(b1-Sp8
91,GalNAc(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,GalNAc(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8
92,GalNAc(b1-3)GalNAc(a1-Sp8,GalNAc(b1-3)GalNAc(a1-Sp8
93,GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-Sp8,GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-Sp8
94,GalNAc(b1-3)Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,GalNAc(b1-3)Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0
95,GalNAc(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,GalNAc(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0
