Index,IUPAC
76,Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc
77,Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)Man
78,Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc
79,Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)[Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)]Gal(b1-4)Glc
80,Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-4)Gal
81,Fuc(a1-2)Gal(b1-3)[Fuc(b1-4)]GlcNAc
82,Fuc(a1-2)Gal(b1-3)[Gal(b1-3)GlcNAc(b1-6)]GalNAc
83,Fuc(a1-2)Gal(b1-3)[Gal(b1-4)GlcNAc(b1-6)]GalNAc
84,Fuc(a1-2)Gal(b1-3)[Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)GlcNAc(b1-6)]GalNAc
85,Fuc(a1-2)Gal(b1-3)[Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)]GalNAc
86,Fuc(a1-2)Gal(b1-3)[Gal(b1-6)]GalNAc
87,Fuc(a1-2)Gal(b1-3)[GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-6)]GalNAc
88,Fuc(a1-2)Gal(b1-3)[GalNAc(b1-6)]GlcNAc
89,Fuc(a1-2)Gal(b1-3)[GlcNAc(a1-4)Gal(b1-4)GlcNAc(b1-6)]GalNAc
90,Fuc(a1-2)Gal(b1-3)[GlcNAc(b1-3)GlcNAc(b1-6)]GalNAc
91,Fuc(a1-2)Gal(b1-3)[GlcNAc(b1-3)[Fuc(a1-4)]GlcNAc(b1-6)]GalNAc
92,Fuc(a1-2)Gal(b1-3)[GlcNAc(b1-4)Gal(b1-4)GlcNAc(b1-6)]GalNAc
93,Fuc(a1-2)Gal(b1-3)[GlcNAc(b1-6)]GalNAc
94,Fuc(a1-2)Gal(b1-3)[Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)]GalNAc
95,Fuc(a1-2)Gal(b1-3)[Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)]GalNAc
96,Fuc(a1-2)Gal(b1-3)[Neu5Ac(a2-6)]GalNAc
97,Fuc(a1-2)Gal(b1-3)[Neu5Ac(a2-6)]GlcNAc(b1-3)Gal(b1-3)Glc
98,Fuc(a1-2)Gal(b1-4)Gal(b1-4)GlcNAc
99,Fuc(a1-2)Gal(b1-4)GalNAc
100,Fuc(a1-2)Gal(b1-4)GalNAc(a1-3)[Fuc(a1-2)Gal(b1-4)GalNAc(a1-6)]Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc
101,Fuc(a1-2)Gal(b1-4)GalNAc(b1-3)Gal
102,Fuc(a1-2)Gal(b1-4)GalNAc(b1-3)Gal(b1-4)Glc
103,Fuc(a1-2)Gal(b1-4)GlcNAc(b1-2)Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-2)Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc
104,Fuc(a1-2)Gal(b1-4)GlcNAc(b1-2)Gal(b1-4)Glc
