Index,IUPAC
204,Man(a1-2)Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-Sp9
205,Man(a1-2)Man(a1-3)Man(a1-Sp9
206,Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12
207,Man(a1-2)Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12
208,Man(a1-2)Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12
209,Man(a1-6)[Man(a1-3)]Man(a1-Sp9
210,Man(a1-2)Man(a1-2)Man(a1-6)[Man(a1-3)]Man(a1-Sp9
211,Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12
212,Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12
213,Man(b1-4)GlcNAc(b1-Sp0
214,Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0
215,(3S)Gal(b1-4)[Fuc(a1-3)](6S)GlcNAc(b1-Sp8
216,Fuc(a1-2)(6S)Gal(b1-4)GlcNAc(b1-Sp0
217,Fuc(a1-2)Gal(b1-4)(6S)GlcNAc(b1-Sp8
218,Fuc(a1-2)(6S)Gal(b1-4)(6S)Glc(b1-Sp0
219,Neu5Ac(a2-3)Gal(b1-3)GalNAc(a1-Sp8
220,Neu5Ac(a2-3)Gal(b1-3)GalNAc(a1-Sp14
221,GalNAc(b1-4)[Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0
222,GalNAc(b1-4)[Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0
223,Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)Glc(b1-Sp0
